tumors	patients	mock_pseudospace	tumors.1	patients.1	tgfb_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	52.7207277640523	OV	OV.TCGA.04.1331.01A.01R.1569.13	69.0280818928054
OV	OV.TCGA.04.1341.01A.01R.1564.13	49.4315427177526	OV	OV.TCGA.04.1341.01A.01R.1564.13	58.0188784537663
OV	OV.TCGA.04.1343.01A.01R.1564.13	51.0276679340764	OV	OV.TCGA.04.1343.01A.01R.1564.13	45.8546220957779
OV	OV.TCGA.04.1347.01A.01R.1564.13	51.1135452485723	OV	OV.TCGA.04.1347.01A.01R.1564.13	45.2751231140508
OV	OV.TCGA.04.1356.01A.01R.1569.13	52.0927410632936	OV	OV.TCGA.04.1356.01A.01R.1569.13	54.8750821141852
OV	OV.TCGA.04.1357.01A.01R.1565.13	49.4047980833575	OV	OV.TCGA.04.1357.01A.01R.1565.13	48.6172017800681
OV	OV.TCGA.04.1361.01A.01R.1565.13	49.2964808075657	OV	OV.TCGA.04.1361.01A.01R.1565.13	50.7177340056211
OV	OV.TCGA.04.1362.01A.01R.1565.13	43.8887120278456	OV	OV.TCGA.04.1362.01A.01R.1565.13	30.6112576747575
OV	OV.TCGA.04.1542.01A.01R.1566.13	45.9693202059818	OV	OV.TCGA.04.1542.01A.01R.1566.13	38.14451088654
OV	OV.TCGA.04.1648.01A.01R.1567.13	49.1222815674383	OV	OV.TCGA.04.1648.01A.01R.1567.13	34.1125582146465
OV	OV.TCGA.04.1651.01A.01R.1567.13	49.1278511076071	OV	OV.TCGA.04.1651.01A.01R.1567.13	42.2905577622665
OV	OV.TCGA.04.1655.01A.01R.1566.13	50.0499296359559	OV	OV.TCGA.04.1655.01A.01R.1566.13	41.8673587195652
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	55.1548111175343	LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	43.2480466895756
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	52.5075740997933	LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	37.4213191207612
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	63.2613521548606	LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	67.7951488237561
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	48.2613722849883	LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	36.5005183438067
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	52.7245339224287	LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	60.3409295463258
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	51.8812103515216	LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	57.4814011528358
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	61.8045603738349	LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	66.1427659439229
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	48.0092311761451	LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	37.3722532887775
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	60.5004984468852	LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	92.7892558660881
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	60.990280712254	LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	80.2914694090237
