tumors	patients	mock_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	50.2738779435869
OV	OV.TCGA.04.1341.01A.01R.1564.13	41.484870819501
OV	OV.TCGA.04.1343.01A.01R.1564.13	51.5536515727986
OV	OV.TCGA.04.1347.01A.01R.1564.13	47.6079028339524
OV	OV.TCGA.04.1356.01A.01R.1569.13	38.3607594289446
OV	OV.TCGA.04.1357.01A.01R.1565.13	42.5180021733098
OV	OV.TCGA.04.1361.01A.01R.1565.13	43.9375702942788
OV	OV.TCGA.04.1362.01A.01R.1565.13	31.5480588657206
OV	OV.TCGA.04.1542.01A.01R.1566.13	33.3581139049177
OV	OV.TCGA.04.1648.01A.01R.1567.13	37.3744282791619
OV	OV.TCGA.04.1651.01A.01R.1567.13	40.0313363690443
OV	OV.TCGA.04.1655.01A.01R.1566.13	46.7869985256675
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	47.5164185723087
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	42.5556867222562
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	53.1374760244715
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	33.3991598332361
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	34.3367310741612
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	35.9499847124684
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	39.1520332158833
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	31.440573257246
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	44.0089731012047
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	54.5370856102229
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	48.7778055761686
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	36.9647810428466
LUAD	LUAD.TCGA.05.4405.01A.21R.1858.07	48.691530753848
LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	33.2592677895575
LUAD	LUAD.TCGA.05.4417.01A.22R.1858.07	49.4218787187819
LUAD	LUAD.TCGA.05.4418.01A.01R.1206.07	36.9769365182751
LUAD	LUAD.TCGA.05.4420.01A.01R.1206.07	40.6735717281677
LUAD	LUAD.TCGA.05.4422.01A.01R.1206.07	30.5430173015464
LUAD	LUAD.TCGA.05.4425.01A.01R.1755.07	39.3447771092171
LUAD	LUAD.TCGA.05.4426.01A.01R.1206.07	51.9991605104064
LUAD	LUAD.TCGA.05.4427.01A.21R.1858.07	56.4717041742857
LUAD	LUAD.TCGA.05.4432.01A.01R.1206.07	48.3265165859543
LUAD	LUAD.TCGA.05.4433.01A.22R.1858.07	29.3499441352669
LUAD	LUAD.TCGA.05.4434.01A.01R.1206.07	44.5519619187856
LUAD	LUAD.TCGA.05.5423.01A.01R.1628.07	38.9183820772662
LUAD	LUAD.TCGA.05.5425.01A.02R.1628.07	34.753433638641
LUAD	LUAD.TCGA.05.5428.01A.01R.1628.07	36.6235366424678
LUAD	LUAD.TCGA.05.5429.01A.01R.1628.07	37.7254622158662
LUAD	LUAD.TCGA.05.5715.01A.01R.1628.07	39.0689716294507
