tumors	patients	mock_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	46.4438798839651
OV	OV.TCGA.04.1341.01A.01R.1564.13	44.3813763462817
OV	OV.TCGA.04.1343.01A.01R.1564.13	44.3743739267303
OV	OV.TCGA.04.1347.01A.01R.1564.13	39.7495690035207
OV	OV.TCGA.04.1356.01A.01R.1569.13	43.7509305102151
OV	OV.TCGA.04.1357.01A.01R.1565.13	35.4490454657732
OV	OV.TCGA.04.1361.01A.01R.1565.13	44.8307937813708
OV	OV.TCGA.04.1362.01A.01R.1565.13	34.6234888554541
OV	OV.TCGA.04.1542.01A.01R.1566.13	39.7989713376878
OV	OV.TCGA.04.1648.01A.01R.1567.13	52.413642121708
OV	OV.TCGA.04.1651.01A.01R.1567.13	46.3389748798649
OV	OV.TCGA.04.1655.01A.01R.1566.13	42.8182178707128
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	34.1534642895561
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	35.385310069686
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	52.0463555022143
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	31.7906512161072
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	44.5016662959523
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	36.4292500708261
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	49.7812290053739
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	34.396898026707
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	41.8622654816021
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	42.2304789299616
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	42.2942888089735
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	45.3691996737826
LUAD	LUAD.TCGA.05.4405.01A.21R.1858.07	33.0088879243147
LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	52.430091557734
LUAD	LUAD.TCGA.05.4417.01A.22R.1858.07	48.5979197088543
LUAD	LUAD.TCGA.05.4418.01A.01R.1206.07	46.7390741712494
LUAD	LUAD.TCGA.05.4420.01A.01R.1206.07	37.8489874701473
LUAD	LUAD.TCGA.05.4422.01A.01R.1206.07	42.2204618757957
LUAD	LUAD.TCGA.05.4425.01A.01R.1755.07	45.0787032837334
LUAD	LUAD.TCGA.05.4426.01A.01R.1206.07	38.2040485192742
LUAD	LUAD.TCGA.05.4427.01A.21R.1858.07	41.0076716493802
LUAD	LUAD.TCGA.05.4432.01A.01R.1206.07	44.2045491636474
LUAD	LUAD.TCGA.05.4433.01A.22R.1858.07	35.954930255988
LUAD	LUAD.TCGA.05.4434.01A.01R.1206.07	53.2300680698822
LUAD	LUAD.TCGA.05.5423.01A.01R.1628.07	30.0915786287098
LUAD	LUAD.TCGA.05.5425.01A.02R.1628.07	33.7199843799791
LUAD	LUAD.TCGA.05.5428.01A.01R.1628.07	38.595766560407
LUAD	LUAD.TCGA.05.5429.01A.01R.1628.07	50.7165642577031
LUAD	LUAD.TCGA.05.5715.01A.01R.1628.07	37.8278075611373
OV	OV.TCGA.09.0364.01A.02R.1564.13	43.6801255595271
OV	OV.TCGA.09.0369.01A.01R.1564.13	49.2482992226362
OV	OV.TCGA.09.1673.01A.01R.1566.13	38.9045589353536
OV	OV.TCGA.09.2044.01B.01R.1568.13	45.6492511077138
OV	OV.TCGA.09.2051.01A.01R.1568.13	42.9572927553847
OV	OV.TCGA.09.2053.01C.01R.1568.13	47.0269438998271
OV	OV.TCGA.10.0927.01A.02R.1564.13	37.2370529340749
OV	OV.TCGA.10.0928.01A.02R.1564.13	42.5320639193144
OV	OV.TCGA.10.0931.01A.01R.1564.13	39.8802392621571
OV	OV.TCGA.10.0933.01A.01R.1569.13	50.2295975608384
OV	OV.TCGA.10.0937.01A.02R.1564.13	37.102244329247
OV	OV.TCGA.13.0714.01A.01R.1564.13	42.7596112249866
OV	OV.TCGA.13.0726.01A.01R.1564.13	38.7918332021067
OV	OV.TCGA.13.0795.01A.01R.1564.13	37.2757850326143
OV	OV.TCGA.13.0800.01A.01R.1564.13	40.6988922933379
OV	OV.TCGA.13.0804.01A.01R.1564.13	43.3337846297906
OV	OV.TCGA.13.0883.01A.02R.1569.13	42.9029523904716
OV	OV.TCGA.13.0884.01B.01R.1565.13	41.4996207703802
OV	OV.TCGA.13.0885.01A.02R.1569.13	39.4495039180753
OV	OV.TCGA.13.0886.01A.01R.1569.13	47.0241029880862
OV	OV.TCGA.13.0887.01A.01R.1564.13	40.4423604124828
OV	OV.TCGA.13.0888.01A.01R.1564.13	39.8509285041671
OV	OV.TCGA.13.0891.01A.01R.1564.13	32.8632032075925
OV	OV.TCGA.13.0893.01B.01R.1565.13	44.6435782864297
OV	OV.TCGA.13.0897.01A.01R.1564.13	39.0360595989037
OV	OV.TCGA.13.0905.01B.01R.1565.13	42.4306841468197
OV	OV.TCGA.13.0911.01A.01R.1564.13	41.999234500874
OV	OV.TCGA.13.0916.01A.01R.1564.13	40.1448797895377
OV	OV.TCGA.13.0923.01A.01R.1564.13	45.9971892695165
OV	OV.TCGA.13.1403.01A.01R.1565.13	39.7420843779705
OV	OV.TCGA.13.1404.01A.01R.1565.13	47.1210177766209
OV	OV.TCGA.13.1405.01A.01R.1565.13	49.4899364822598
OV	OV.TCGA.13.1411.01A.01R.1565.13	57.1362223259611
OV	OV.TCGA.13.1477.01A.01R.1565.13	48.6998110478363
OV	OV.TCGA.13.1483.01A.01R.1565.13	37.0024721240584
OV	OV.TCGA.13.1487.01A.01R.1565.13	43.8560701681223
OV	OV.TCGA.13.1488.01A.01R.1565.13	38.02825618102
OV	OV.TCGA.13.1489.01A.01R.1565.13	46.5308589259999
OV	OV.TCGA.13.1492.01A.01R.1565.13	49.5975806364011
OV	OV.TCGA.13.1495.01A.01R.1565.13	46.5113954009807
OV	OV.TCGA.13.1496.01A.01R.1565.13	37.8031494001453
OV	OV.TCGA.13.1497.01A.01R.1565.13	43.470965529279
OV	OV.TCGA.13.1498.01A.01R.1565.13	50.4779924772654
OV	OV.TCGA.13.1499.01A.01R.1565.13	56.4893073380404
OV	OV.TCGA.13.1501.01A.01R.1565.13	44.0423694382853
OV	OV.TCGA.13.1505.01A.01R.1565.13	53.4568259813371
OV	OV.TCGA.13.1506.01A.01R.1565.13	40.2323463845568
OV	OV.TCGA.13.1507.01A.01R.1565.13	45.1099385664802
OV	OV.TCGA.13.1509.01A.01R.1565.13	49.9333832760652
OV	OV.TCGA.13.1510.01A.02R.1565.13	43.4189999302374
OV	OV.TCGA.13.1511.01A.01R.1565.13	43.9363804041879
OV	OV.TCGA.13.1512.01A.01R.1565.13	36.0663525363241
OV	OV.TCGA.13.2060.01A.01R.1568.13	48.6367397087253
OV	OV.TCGA.13.A5FT.01A.11R.A406.31	32.6096855050529
LUSC	LUSC.TCGA.18.3406.01A.01R.0980.07	41.3140645655439
LUSC	LUSC.TCGA.18.3408.01A.01R.0980.07	55.9125930281995
LUSC	LUSC.TCGA.18.3410.01A.01R.0980.07	56.9760930695216
LUSC	LUSC.TCGA.18.3411.01A.01R.0980.07	59.9876732980828
LUSC	LUSC.TCGA.18.3412.01A.01R.0980.07	41.658426348847
LUSC	LUSC.TCGA.18.3414.01A.01R.0980.07	41.7019018022749
LUSC	LUSC.TCGA.18.3415.01A.01R.0980.07	55.5545647816269
LUSC	LUSC.TCGA.18.3416.01A.01R.0980.07	45.383881295796
LUSC	LUSC.TCGA.18.3417.01A.01R.1443.07	57.332233091837
LUSC	LUSC.TCGA.18.3421.01A.01R.0980.07	30.2541545831904
LUSC	LUSC.TCGA.18.4083.01A.01R.1100.07	66.3575517712783
LUSC	LUSC.TCGA.18.4721.01A.01R.1443.07	44.057469701067
LUSC	LUSC.TCGA.18.5592.01A.01R.1635.07	60.0924546116338
OV	OV.TCGA.20.0987.01A.02R.1564.13	41.2393556756098
OV	OV.TCGA.20.0991.01A.01R.1564.13	42.4537043846621
