tumors	patients	mock_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	39.0079928882264
OV	OV.TCGA.04.1341.01A.01R.1564.13	38.8862051314172
OV	OV.TCGA.04.1343.01A.01R.1564.13	48.8646269680983
OV	OV.TCGA.04.1347.01A.01R.1564.13	52.7778989098208
OV	OV.TCGA.04.1356.01A.01R.1569.13	41.242938494565
OV	OV.TCGA.04.1357.01A.01R.1565.13	47.8206310840993
OV	OV.TCGA.04.1361.01A.01R.1565.13	42.9160814469043
OV	OV.TCGA.04.1362.01A.01R.1565.13	48.9151578489646
OV	OV.TCGA.04.1542.01A.01R.1566.13	43.0386942350558
OV	OV.TCGA.04.1648.01A.01R.1567.13	44.7089186454829
OV	OV.TCGA.04.1651.01A.01R.1567.13	55.9084721765351
OV	OV.TCGA.04.1655.01A.01R.1566.13	53.2431335676409
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	57.9643224156223
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	51.379151208152
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	55.2480025717725
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	57.1173310489437
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	46.8721364563155
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	49.0485332284575
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	68.1103294994351
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	51.440072232266
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	64.4414622335737
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	55.6175992769275
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	62.5120119278935
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	48.8063611181069
LUAD	LUAD.TCGA.05.4405.01A.21R.1858.07	52.9964461877565
LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	63.7782494145221
LUAD	LUAD.TCGA.05.4417.01A.22R.1858.07	62.8084165182817
LUAD	LUAD.TCGA.05.4418.01A.01R.1206.07	62.6045145487855
LUAD	LUAD.TCGA.05.4420.01A.01R.1206.07	50.4668993728295
LUAD	LUAD.TCGA.05.4422.01A.01R.1206.07	44.4646082225381
LUAD	LUAD.TCGA.05.4425.01A.01R.1755.07	44.53232496489
LUAD	LUAD.TCGA.05.4426.01A.01R.1206.07	63.2977621123607
LUAD	LUAD.TCGA.05.4427.01A.21R.1858.07	61.4111353409704
LUAD	LUAD.TCGA.05.4432.01A.01R.1206.07	41.8602720443613
LUAD	LUAD.TCGA.05.4433.01A.22R.1858.07	40.6117658582806
LUAD	LUAD.TCGA.05.4434.01A.01R.1206.07	63.4054815723374
LUAD	LUAD.TCGA.05.5423.01A.01R.1628.07	56.0696848617086
LUAD	LUAD.TCGA.05.5425.01A.02R.1628.07	60.0939133335822
LUAD	LUAD.TCGA.05.5428.01A.01R.1628.07	57.2614599593659
LUAD	LUAD.TCGA.05.5429.01A.01R.1628.07	44.3526562130962
LUAD	LUAD.TCGA.05.5715.01A.01R.1628.07	50.9492363238748
OV	OV.TCGA.09.0364.01A.02R.1564.13	51.2853179931449
OV	OV.TCGA.09.0369.01A.01R.1564.13	55.676313576234
OV	OV.TCGA.09.1673.01A.01R.1566.13	58.0192461252823
OV	OV.TCGA.09.2044.01B.01R.1568.13	56.7786536828998
OV	OV.TCGA.09.2051.01A.01R.1568.13	45.3534458987793
OV	OV.TCGA.09.2053.01C.01R.1568.13	51.9482015207067
OV	OV.TCGA.10.0927.01A.02R.1564.13	47.3954876906777
OV	OV.TCGA.10.0928.01A.02R.1564.13	43.2095015756595
OV	OV.TCGA.10.0931.01A.01R.1564.13	62.2420871396983
OV	OV.TCGA.10.0933.01A.01R.1569.13	53.3745022026088
OV	OV.TCGA.10.0937.01A.02R.1564.13	52.1593696819929
OV	OV.TCGA.13.0714.01A.01R.1564.13	53.6511633465154
OV	OV.TCGA.13.0726.01A.01R.1564.13	53.6671761804931
OV	OV.TCGA.13.0795.01A.01R.1564.13	53.2552264166072
OV	OV.TCGA.13.0800.01A.01R.1564.13	56.0410197937701
OV	OV.TCGA.13.0804.01A.01R.1564.13	49.7357719638236
OV	OV.TCGA.13.0883.01A.02R.1569.13	50.3509099726959
OV	OV.TCGA.13.0884.01B.01R.1565.13	52.3214582796816
OV	OV.TCGA.13.0885.01A.02R.1569.13	46.7240366414098
OV	OV.TCGA.13.0886.01A.01R.1569.13	51.8769262157665
OV	OV.TCGA.13.0887.01A.01R.1564.13	45.8917955044882
OV	OV.TCGA.13.0888.01A.01R.1564.13	51.734281978959
OV	OV.TCGA.13.0891.01A.01R.1564.13	42.440256333123
OV	OV.TCGA.13.0893.01B.01R.1565.13	45.1246815479265
OV	OV.TCGA.13.0897.01A.01R.1564.13	52.2394720026973
OV	OV.TCGA.13.0905.01B.01R.1565.13	54.9819360666371
