tumors	patients	mock_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	38.8219179089585
OV	OV.TCGA.04.1341.01A.01R.1564.13	41.757089309188
OV	OV.TCGA.04.1343.01A.01R.1564.13	40.4353079695231
OV	OV.TCGA.04.1347.01A.01R.1564.13	41.1092440882834
OV	OV.TCGA.04.1356.01A.01R.1569.13	45.0747824033828
OV	OV.TCGA.04.1357.01A.01R.1565.13	37.1956087102398
OV	OV.TCGA.04.1361.01A.01R.1565.13	36.5750071892964
OV	OV.TCGA.04.1362.01A.01R.1565.13	26.190145280698
OV	OV.TCGA.04.1542.01A.01R.1566.13	42.1954410893737
OV	OV.TCGA.04.1648.01A.01R.1567.13	43.3344263135721
OV	OV.TCGA.04.1651.01A.01R.1567.13	30.3790854351585
OV	OV.TCGA.04.1655.01A.01R.1566.13	41.9183280338645
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	55.6982524668797
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	46.2017056099552
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	58.7964625988747
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	33.124894744492
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	23.8544541510608
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	34.8774098639378
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	51.4980752231252
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	30.0683840932765
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	38.7502343009152
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	52.8228034593423
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	40.1152444497674
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	34.0685599445094
LUAD	LUAD.TCGA.05.4405.01A.21R.1858.07	50.74919256875
LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	59.9045244946332
LUAD	LUAD.TCGA.05.4417.01A.22R.1858.07	32.8863392688632
LUAD	LUAD.TCGA.05.4418.01A.01R.1206.07	37.1675187473521
LUAD	LUAD.TCGA.05.4420.01A.01R.1206.07	32.9345241390225
LUAD	LUAD.TCGA.05.4422.01A.01R.1206.07	18.7786753668752
LUAD	LUAD.TCGA.05.4425.01A.01R.1755.07	43.9413798662285
LUAD	LUAD.TCGA.05.4426.01A.01R.1206.07	63.8591842133803
LUAD	LUAD.TCGA.05.4427.01A.21R.1858.07	72.5292649132571
LUAD	LUAD.TCGA.05.4432.01A.01R.1206.07	45.1533957209616
LUAD	LUAD.TCGA.05.4433.01A.22R.1858.07	27.2533779425017
LUAD	LUAD.TCGA.05.4434.01A.01R.1206.07	40.7343275178653
LUAD	LUAD.TCGA.05.5423.01A.01R.1628.07	35.5488838604937
LUAD	LUAD.TCGA.05.5425.01A.02R.1628.07	39.4754574206565
LUAD	LUAD.TCGA.05.5428.01A.01R.1628.07	37.6563689524429
LUAD	LUAD.TCGA.05.5429.01A.01R.1628.07	31.0836933074652
LUAD	LUAD.TCGA.05.5715.01A.01R.1628.07	33.067311837145
OV	OV.TCGA.09.0364.01A.02R.1564.13	34.2548004650056
OV	OV.TCGA.09.0369.01A.01R.1564.13	40.3619640328782
OV	OV.TCGA.09.1673.01A.01R.1566.13	40.5777502879683
OV	OV.TCGA.09.2044.01B.01R.1568.13	24.0387803142577
OV	OV.TCGA.09.2051.01A.01R.1568.13	32.6045355465658
OV	OV.TCGA.09.2053.01C.01R.1568.13	42.7624453936019
OV	OV.TCGA.10.0927.01A.02R.1564.13	39.7476504120956
OV	OV.TCGA.10.0928.01A.02R.1564.13	40.3103002010455
OV	OV.TCGA.10.0931.01A.01R.1564.13	33.9675209288898
OV	OV.TCGA.10.0933.01A.01R.1569.13	30.3743004045623
OV	OV.TCGA.10.0937.01A.02R.1564.13	40.3894780751205
OV	OV.TCGA.13.0714.01A.01R.1564.13	45.2615322096697
OV	OV.TCGA.13.0726.01A.01R.1564.13	46.7729845197854
OV	OV.TCGA.13.0795.01A.01R.1564.13	37.1332383617653
OV	OV.TCGA.13.0800.01A.01R.1564.13	38.5498530568514
OV	OV.TCGA.13.0804.01A.01R.1564.13	37.3867483018589
OV	OV.TCGA.13.0883.01A.02R.1569.13	57.7487256049014
OV	OV.TCGA.13.0884.01B.01R.1565.13	42.0565529811061
OV	OV.TCGA.13.0885.01A.02R.1569.13	37.2863065924892
OV	OV.TCGA.13.0886.01A.01R.1569.13	38.6552446262006
OV	OV.TCGA.13.0887.01A.01R.1564.13	33.7721221736033
OV	OV.TCGA.13.0888.01A.01R.1564.13	38.3719223007744
OV	OV.TCGA.13.0891.01A.01R.1564.13	38.8112307119298
OV	OV.TCGA.13.0893.01B.01R.1565.13	39.7603375958453
