tumors	patients	mock_pseudospace
OV	OV.TCGA.04.1331.01A.01R.1569.13	57.790331585957
OV	OV.TCGA.04.1341.01A.01R.1564.13	52.7734576991944
OV	OV.TCGA.04.1343.01A.01R.1564.13	46.705798181356
OV	OV.TCGA.04.1347.01A.01R.1564.13	63.985563794233
OV	OV.TCGA.04.1356.01A.01R.1569.13	70.7556464430062
OV	OV.TCGA.04.1357.01A.01R.1565.13	63.7189566416177
OV	OV.TCGA.04.1361.01A.01R.1565.13	44.8858798488693
OV	OV.TCGA.04.1362.01A.01R.1565.13	54.7389636429044
OV	OV.TCGA.04.1542.01A.01R.1566.13	63.6254450341126
OV	OV.TCGA.04.1648.01A.01R.1567.13	61.3107086492634
OV	OV.TCGA.04.1651.01A.01R.1567.13	53.3180901437312
OV	OV.TCGA.04.1655.01A.01R.1566.13	50.4941192635592
LUAD	LUAD.TCGA.05.4244.01A.01R.1107.07	63.1329527358869
LUAD	LUAD.TCGA.05.4249.01A.01R.1107.07	69.7509839958321
LUAD	LUAD.TCGA.05.4250.01A.01R.1107.07	64.0051521461427
LUAD	LUAD.TCGA.05.4384.01A.01R.1755.07	70.4346485253398
LUAD	LUAD.TCGA.05.4389.01A.01R.1206.07	67.0443249432295
LUAD	LUAD.TCGA.05.4390.01A.02R.1755.07	67.1919797801988
LUAD	LUAD.TCGA.05.4395.01A.01R.1206.07	50.8534789279826
LUAD	LUAD.TCGA.05.4396.01A.21R.1858.07	75.1845922634335
LUAD	LUAD.TCGA.05.4397.01A.01R.1206.07	66.6470234806504
LUAD	LUAD.TCGA.05.4398.01A.01R.1206.07	66.5419863948418
LUAD	LUAD.TCGA.05.4402.01A.01R.1206.07	51.9460789625741
LUAD	LUAD.TCGA.05.4403.01A.01R.1206.07	55.1222107199412
LUAD	LUAD.TCGA.05.4405.01A.21R.1858.07	64.8795009175737
LUAD	LUAD.TCGA.05.4415.01A.22R.1858.07	70.3337612761031
LUAD	LUAD.TCGA.05.4417.01A.22R.1858.07	69.8131699796415
LUAD	LUAD.TCGA.05.4418.01A.01R.1206.07	63.9092092230845
LUAD	LUAD.TCGA.05.4420.01A.01R.1206.07	74.574105238901
LUAD	LUAD.TCGA.05.4422.01A.01R.1206.07	65.2959076696034
LUAD	LUAD.TCGA.05.4425.01A.01R.1755.07	66.2567218790503
LUAD	LUAD.TCGA.05.4426.01A.01R.1206.07	53.1327675496195
LUAD	LUAD.TCGA.05.4427.01A.21R.1858.07	72.1694163007308
LUAD	LUAD.TCGA.05.4432.01A.01R.1206.07	66.2463193046293
LUAD	LUAD.TCGA.05.4433.01A.22R.1858.07	66.3824581505957
LUAD	LUAD.TCGA.05.4434.01A.01R.1206.07	47.1968175602849
LUAD	LUAD.TCGA.05.5423.01A.01R.1628.07	66.2985273502457
LUAD	LUAD.TCGA.05.5425.01A.02R.1628.07	71.4497280916739
LUAD	LUAD.TCGA.05.5428.01A.01R.1628.07	74.8008838721889
LUAD	LUAD.TCGA.05.5429.01A.01R.1628.07	55.1731233794956
LUAD	LUAD.TCGA.05.5715.01A.01R.1628.07	64.6207071789602
OV	OV.TCGA.09.0364.01A.02R.1564.13	65.3323399845413
OV	OV.TCGA.09.0369.01A.01R.1564.13	54.8038568108001
OV	OV.TCGA.09.1673.01A.01R.1566.13	56.943369397481
OV	OV.TCGA.09.2044.01B.01R.1568.13	52.2845321108657
OV	OV.TCGA.09.2051.01A.01R.1568.13	60.5516929940767
OV	OV.TCGA.09.2053.01C.01R.1568.13	53.4209096748885
