patients	pseudospace
X23764	57.1294296234976
X23736	69.1898944894936
X23802	77.2081354931489
X24045	53.8906559502257
X23805	60.1647871117161
X23808	64.5663186812117
X23940	66.843970220478
X24077	58.3159400868872
X24229	65.1596881886994
X24177	61.3142030099209
X13764	59.4921838512695
X24243	64.6558162443299
X24359	67.156138235158
X24294	57.0372881311673
X24295	68.0246410257668
X24363	52.4085845336456
X24358	58.8824513489592
X24464	66.6115484818913
X24424	56.414759555304
X24423	46.586481793734
X24465	68.4504209711576
X13904	51.8038156294953
X24550	69.9930200282903
X24838	66.1485146837478
X25027	64.8144503648171
X25358	56.5871059112796
X25134	50.8650968129768
X25315	71.8071589542971
X25352	70.4989483843102
X25317	52.7304875213793
X25318	36.4318114418892
X25356	53.727331065137
X13931	58.5331649400512
X25438	51.1158672873594
X25419	58.2743538345288
X25559	50.9559846004288
X25439	51.425051404387
X25500	46.7316579248424
X25436	58.0238555850148
X25483	65.557973501667
X25435	57.9556701899237
X25440	58.3671637086339
X25437	54.8839773364409
X14231	71.607040257084
X25572	71.5112118407253
X25424	52.790798457605
X25426	76.0777344344137
X25484	65.4473694288987
X25496	52.1788591739404
X25593	52.8173276959983
X25441	62.212149002139
X25535	56.5080576350787
X25589	53.4718704291249
X25658	54.2177844352903
X13947	39.8859827360804
X25494	63.5891990600374
X25497	53.8667595212463
X25498	60.7043380657824
X25582	63.387970134622
X25501	59.778756904393
X28132	52.7230701200374
X25594	47.6332929985423
X25590	54.0389328558213
X25604	47.4457814646018
X25603	53.5475644025348
X14232	51.1295700994899
X25560	64.6564738834726
X25583	72.6875523086022
X25664	63.483191560838
X25662	48.2568800467061
X25657	68.8608004335899
X25965	59.0798099807702
X25755	64.0975131140663
X25719	60.9427781238526
X25720	49.684825240522
X25721	58.1972767103141
X14446	52.7806763747919
X25744	72.0136605973126
X26066	72.4349621177921
X25731	60.2561860015333
X25921	56.1298682544378
X25722	54.6187318828419
X25777	64.0091731331344
X25768	46.5479694929295
X25751	59.4080145607895
X25752	60.4808728182131
X25753	61.3711934755329
X14498	60.1848579766553
X25766	53.8914888120613
X25767	58.4551506709499
X26054	49.4796096458605
X25979	64.2639756167117
X25901	58.4935940959099
X25980	67.4454510464686
X25966	54.4252227465918
X25899	54.6762554220598
X25923	57.7325893902633
X25988	53.7214392639036
X14519	64.5496278914197
X25816	58.951880929093
X25890	65.0946510220373
X26052	59.1526822054052
X25981	63.8292638771772
X26051	54.8037054636585
X25964	64.5988438572192
X25982	47.5900315966515
X26851	63.9705506252557
X25902	49.3739632754575
X25984	54.9724233817101
X14891	69.0346935902544
X11004	57.3497507766663
X25989	71.8410024993678
X25976	65.3817722226305
X25958	65.7524565467909
X25977	72.9010874724438
X25962	44.5901891573616
X26239	63.9487564762081
X25959	68.2604963592779
X25960	51.8815491771723
X25961	57.4451130185006
X26016	59.4956578691004
X15122	67.2397167575119
X25990	48.0669627331245
X26125	47.8615925575418
X26017	50.8543532783832
X26123	64.0337787907507
X25991	73.3516013997586
X26266	62.1844743680123
X30811	54.4047827221097
X26124	56.4846105925851
X26376	47.2178901310789
X26416	72.6711853279715
X15227	65.2138336612616
X26409	57.3143881216881
X27028	76.7568826347455
X26850	48.0548701401396
X26465	65.772374649096
X27217	48.156312212624
X27177	67.9752034500461
X27025	69.0552361152804
X26825	55.983763311336
X26852	59.0981784062999
X27026	63.2542735319559
X15148	69.9409368235926
X27338	52.9743530892823
X27178	55.1503669488506
X27034	56.5169937798867
X27078	54.439144309572
X27036	69.9192157453337
X27037	68.3890220991806
X27329	58.5914211654799
X27090	65.0793502370654
X27216	48.7584907566623
X27388	59.8766987874489
X15123	71.0334671287909
X27228	69.7507174098507
X27219	63.1491966251333
X27339	60.0089082409843
X27545	59.3856796594069
X27327	63.6410295165595
X27328	67.885836596724
X27697	58.5199510928496
X27722	66.6579119553171
X28392	48.8873522779364
X27519	62.5529997896225
X15268	67.4800855230687
X28123	66.236192737147
X27502	57.9637710279994
X27765	63.7218200358
X27647	59.416827767306
X27503	59.2565314676229
X27504	55.6541139695299
X27795	56.4831384952384
X27563	53.8168688798102
X28125	62.5666742326882
X30265	52.6661131871289
X15844	57.2620063247655
X28124	56.2693459865187
X28003	63.0963008722768
X27721	60.7834723262467
X27707	70.1245027154524
X27792	63.5120603563819
X27706	65.283920826057
X27784	64.8530838678489
X28225	52.8634235424228
X28126	45.8025087740293
X28170	57.674167110467
X16385	58.1619299070119
X27723	63.2400383479164
X27794	71.0322816766505
X27981	66.9907676335745
X28012	52.2641362159906
X28312	68.3645108010086
X28178	68.0954753786379
X28171	59.6315214065367
X28130	61.8277395558699
