patients	pseudospace
X23764	72.3390057588825
X23736	75.8182630259069
X23802	72.6482086637963
X24045	66.1101746744296
X23805	68.825125863936
X23808	75.3614922564032
X23940	85.444413595386
X24077	81.9813479919165
X24229	71.0407272952713
X24177	62.8540876288445
X13764	77.0819322711776
X24243	71.8766313592818
X24359	74.8020364302172
X24294	66.6893712531229
X24295	83.1944858270236
X24363	80.9488078329475
X24358	71.0035328527082
X24464	63.7194276113797
X24424	79.2983590907302
X24423	66.884295523301
X24465	67.812491987209
X13904	73.4301218131666
X24550	63.605255968504
X24838	67.1657029790693
X25027	80.4573900816489
X25358	74.2669131974455
X25134	67.3632461782942
X25315	74.248412905519
X25352	71.5117578372576
X25317	72.1170129037359
X25318	59.049150024671
X25356	69.8565987311369
X13931	82.7670619746607
X25438	75.8518205912455
X25419	81.3891185913338
X25559	77.3946768474909
X25439	76.2458558847699
X25500	77.67637125945
X25436	79.2122971594837
X25483	69.9232275997539
X25435	63.436275573837
X25440	77.5949719704293
X25437	74.8873542816979
X14231	75.1630045911186
X25572	65.4017925402703
X25424	76.2393472455568
X25426	81.9316749528457
X25484	65.2470871764774
X25496	69.4741418198749
X25593	81.1147076170599
X25441	81.6709567468987
X25535	78.3147471945139
X25589	80.5043699788209
X25658	70.0451045543707
X13947	70.616827310344
X25494	81.1132587982801
X25497	73.5058976622141
X25498	78.3570840839616
X25582	86.707512615521
X25501	78.4984795697613
X28132	81.567456714941
X25594	65.5523860416688
X25590	75.0966763402758
X25604	67.4206900988214
X25603	77.1739654544756
X14232	69.3666702406404
X25560	85.5612603597223
X25583	66.7061102911853
X25664	84.2616133436268
X25662	62.47495050444
X25657	75.7032583839781
X25965	79.1314052286103
X25755	77.9965715033055
X25719	79.5480292001698
X25720	65.8375038236776
X25721	60.0120201929554
X14446	81.9189485427111
X25744	66.2534084600599
X26066	67.6823662472593
X25731	71.2638236953968
X25921	68.0204744140416
X25722	74.2452353158296
X25777	74.8573004143253
X25768	72.8930563660319
X25751	79.1705469544048
X25752	59.3661955795399
X25753	79.0393248017724
X14498	61.2373344362255
X25766	71.2667811493612
X25767	77.8299461693468
X26054	63.7449486945555
X25979	83.6408270634037
X25901	72.5299196455511
X25980	71.8918729324482
X25966	64.6057128126763
X25899	80.6057038376273
X25923	81.3456032874285
X25988	68.1952190319986
X14519	64.257474357425
X25816	77.6062998912502
X25890	82.5223121415759
X26052	66.0295560026999
X25981	76.0803116365081
X26051	72.5797060030336
X25964	77.0667559437843
X25982	63.9100461884508
X26851	75.5150743152286
X25902	63.771809045984
X25984	73.5781754277801
X14891	69.5413416731059
X11004	76.5077091505236
X25989	63.554814777669
X25976	82.0547750345576
X25958	78.2405086058808
X25977	74.2262507901517
X25962	56.2561590485468
X26239	72.6562092331191
X25959	60.5238216059642
X25960	73.2409238602846
X25961	79.1049808353762
X26016	77.4711268703454
X15122	51.9645852166547
X25990	60.4651047401875
X26125	74.8261663188921
X26017	78.1726310307923
X26123	73.2470903379392
X25991	69.9052423890472
X26266	60.3180001935899
X30811	78.4739925941933
X26124	78.3592267548182
X26376	65.590948602227
X26416	76.9249728858628
X15227	64.9209002296239
X26409	69.2367688397813
X27028	81.7735454287836
X26850	62.5210263445345
X26465	68.3318539146805
X27217	79.5219703700926
X27177	81.0479114004695
X27025	65.7656384651537
X26825	73.6452317329631
X26852	82.7139459658014
X27026	77.6603591319891
X15148	80.5066925844166
X27338	69.0280861607016
X27178	69.5960566928076
X27034	54.3263037101051
X27078	80.5160821893928
X27036	64.066991498076
X27037	68.5668104329486
X27329	67.878829983953
X27090	75.1204744883367
X27216	70.6356409578315
X27388	71.045108873169
X15123	79.5980892902251
X27228	75.9363275586601
X27219	63.3968231428991
X27339	83.6909703117595
X27545	67.3459357938498
X27327	59.98420185478
X27328	79.8633169198597
X27697	66.6370533463061
X27722	64.3279935743379
X28392	69.1399445439089
