patients	pseudospace
X23764	50.6645918702351
X23736	44.6713229276127
X23802	53.6720473602218
X24045	35.9651864904272
X23805	59.1944503733327
X23808	48.0145128965942
X23940	66.1436093870273
X24077	48.5509944420457
X24229	58.4683453411293
X24177	45.2276886268762
X13764	59.9952452195767
X24243	62.7308061434623
X24359	72.6817060052963
X24294	56.5499274067821
X24295	47.5664855905709
X24363	47.4047996297932
X24358	52.4393162398243
X24464	52.8184039851809
X24424	41.148879887852
X24423	44.8812625786648
X24465	54.1701071507997
X13904	43.0683917035701
X24550	51.2798198532142
X24838	36.3586092422041
X25027	41.0614859331924
X25358	58.178579319926
X25134	57.3337152103438
X25315	55.8635639162454
X25352	48.3340544769888
X25317	59.5079433337548
X25318	38.2975684796402
X25356	30.9602302093575
X13931	51.0712620508246
X25438	40.6502974216525
X25419	38.6751453876892
X25559	55.2606959702159
X25439	45.435260114212
X25500	46.1472445525869
X25436	47.7666117883385
X25483	44.7666829321212
X25435	40.3857512548025
X25440	48.1047397866753
X25437	47.3925024393519
X14231	54.9458924339602
X25572	54.4965696350433
X25424	46.6679499307902
X25426	47.1576254139161
X25484	58.0315565839499
X25496	46.5343194446551
X25593	51.2833185650883
X25441	46.7865775383742
X25535	49.5803208166873
X25589	60.9073196774928
X25658	44.4531381651257
X13947	43.0764505051091
X25494	52.0009916793061
X25497	41.1797439866649
X25498	45.3270067652776
X25582	58.4008955293448
X25501	42.5140262980237
X28132	56.6350873520687
X25594	42.0377321457316
X25590	49.9243213112949
X25604	46.8164012372315
X25603	51.1930386332865
X14232	47.6911853449032
X25560	64.9261031238599
X25583	60.3902230023034
X25664	55.3030107318347
X25662	40.0887858241707
X25657	52.6210420022564
X25965	50.8919497549223
X25755	45.1698430828461
X25719	47.1821511691099
X25720	45.9333546046349
X25721	38.5720592696611
X14446	48.2685853545906
X25744	45.078496694098
X26066	54.1755640194324
X25731	53.1236932014404
X25921	48.0696004246604
X25722	48.0208890748678
X25777	47.4629857795642
X25768	44.6471543964279
X25751	46.4850562220698
X25752	35.3438163619045
X25753	50.9937683925695
X14498	51.5457805382081
X25766	52.3364609582245
X25767	40.2724051737432
X26054	32.843088262797
X25979	46.6750440186875
X25901	51.1550962325886
X25980	54.7274295013016
X25966	63.2507122790117
X25899	57.5126385947802
X25923	51.4919328188189
X25988	54.0499774962638
X14519	58.7601662354592
X25816	45.0858034760069
X25890	57.6671764020065
X26052	45.7859191214493
X25981	49.7063929590838
X26051	45.5552310725151
X25964	51.387251489312
X25982	33.0625079443163
X26851	48.8388307682932
X25902	36.3164846622086
X25984	40.7591546197598
X14891	53.9508867706988
X11004	43.2593645707387
X25989	54.4245985521431
X25976	59.3410709433234
X25958	45.6713572661313
X25977	47.8705653403481
X25962	35.2304568236058
X26239	52.238674412222
X25959	41.9453193598109
X25960	45.5656890758573
X25961	52.6176856098541
X26016	53.4898472669157
X15122	39.0443891976606
X25990	32.575639531708
X26125	39.9584439399602
X26017	39.6323783536974
X26123	58.5079054416574
X25991	43.9315389044972
X26266	37.175225189257
X30811	54.5499307191781
X26124	43.1149028691596
X26376	33.3036827627948
X26416	55.9173345483074
X15227	53.8413848870478
X26409	39.0633907678841
X27028	48.0649038858054
X26850	32.1619412744198
X26465	58.0026558275322
X27217	44.480406680118
X27177	48.8837407749931
X27025	49.8381967319548
X26825	59.6908481323503
X26852	58.0486111667535
X27026	47.4926821817107
X15148	53.6234205878606
X27338	52.010232396513
X27178	42.4744249246415
X27034	34.8825291935861
X27078	40.3838671366229
X27036	56.8821588388815
X27037	44.0385135396425
X27329	35.711749465936
X27090	48.23791728411
X27216	35.5225340305748
X27388	45.4082179507621
X15123	51.9907313100068
X27228	52.8345174674902
X27219	36.2174618521389
X27339	46.8366214861851
X27545	50.0701219048351
X27327	35.8052333362875
X27328	52.0079781467109
X27697	48.2695825953273
X27722	52.227021648562
X28392	49.2782546036488
X27519	46.610521505322
X15268	53.1020748896646
X28123	54.3920843211705
X27502	58.1449559068539
X27765	29.3452330789313
X27647	43.5327253543034
X27503	30.5045922131783
X27504	55.8236563865517
X27795	38.1722495505207
X27563	45.237323164485
X28125	49.0083366027236
X30265	38.696420074775
X15844	43.6611736332412
X28124	50.8314711367717
X28003	44.9523717992813
X27721	45.8608032175234
X27707	52.4643565272982
