patients	pseudospace
X23764	48.8488168957711
X23736	58.9682816196189
X23802	47.9327183966213
X24045	39.2419016694193
X23805	41.4855486423748
X23808	44.4400560246987
X23940	60.6040356004243
X24077	45.1640486139285
X24229	46.0969160881272
X24177	42.3668604139232
X13764	57.6524201571645
X24243	60.3435032078841
X24359	58.8629884503057
X24294	50.1113827952614
X24295	60.7175962323746
X24363	46.4668227022577
X24358	56.5059825246043
X24464	39.41283669572
X24424	49.5592092492656
X24423	46.1984201066965
X24465	50.0248829500093
X13904	43.0858255465594
X24550	51.8222599764339
X24838	46.5890787364227
X25027	56.0277821113324
X25358	58.3552333464455
X25134	56.7379298962464
X25315	47.939701475273
X25352	46.4879290452772
X25317	47.353075157159
X25318	32.9979583687076
X25356	35.2485398230029
X13931	62.4034139569524
X25438	50.4090132405403
X25419	42.5347778304669
X25559	57.5253544093084
X25439	47.7661785244926
X25500	48.3360952591311
X25436	54.996799704624
X25483	46.2457662033397
X25435	47.5175817366977
X25440	50.6337882833771
X25437	43.8464011337346
X14231	51.111948866217
X25572	43.7420436753433
X25424	36.9161965178761
X25426	46.4438159976254
X25484	50.1086813583637
X25496	41.6870231388389
X25593	54.0224088548511
X25441	56.8565172404817
X25535	57.0154831501219
X25589	59.5151056390205
X25658	43.6372332554706
X13947	46.933509420565
X25494	60.5970266367809
X25497	49.3506805010063
X25498	42.4807963082587
X25582	67.5399507961457
X25501	42.1462414261503
X28132	54.8299591484501
X25594	38.9574389989447
X25590	48.8631299015915
X25604	45.5710418933337
X25603	49.9138018015825
X14232	54.3727186780407
X25560	56.89415886179
X25583	38.9958824735746
X25664	57.5854938831409
X25662	38.6123900210135
X25657	56.9675901499207
X25965	57.0816749150076
X25755	51.4729056034687
X25719	46.6916424211443
X25720	37.3648407915403
X25721	34.3919081887018
X14446	52.8792963436695
X25744	39.0497523634268
X26066	47.072535336032
X25731	50.7236950570132
X25921	65.6423775851478
X25722	50.0840541611437
X25777	52.9957788768672
X25768	49.6618962108016
X25751	54.5043950430621
X25752	38.5180836441616
X25753	45.4274879278322
X14498	42.2832260330796
X25766	56.312755280111
X25767	54.1923956605598
X26054	32.0092064183673
X25979	54.9987921250128
X25901	51.3313287332405
X25980	55.2663591809819
X25966	51.8524050969594
X25899	60.7706893179477
X25923	62.3573251280951
X25988	59.6994488744456
X14519	49.0259959349409
X25816	46.1111490578517
X25890	56.9026077134563
X26052	53.8766572681398
X25981	48.2609900008538
X26051	46.4296924051626
X25964	62.4007760913976
