patients	pseudospace
X23764	54.2203507407739
X23736	47.5081620648443
X23802	58.0128447206646
X24045	45.0873849988803
X23805	54.7562449287402
X23808	54.9362155560206
X23940	46.1328017768423
X24077	32.8643515800434
X24229	49.5654202025012
X24177	34.2046146882293
X13764	29.5561355139919
X24243	55.2389751940905
X24359	46.7669476282305
X24294	55.3883879358318
X24295	48.3627473131409
X24363	22.4197827643162
X24358	37.3091036344443
X24464	43.635671662172
X24424	44.2076866685438
X24423	29.1455199965003
X24465	47.4410648027013
X13904	24.9196497256734
X24550	40.6425480401764
X24838	32.0005085748093
X25027	48.3228128152869
X25358	39.825102991526
X25134	44.3415117515959
X25315	53.6231930630568
X25352	62.1113256784109
X25317	49.355294862629
X25318	37.4388647837642
X25356	34.9505854243616
X13931	35.5908495999625
X25438	32.3775250955964
X25419	26.4799003692425
X25559	45.5418789591814
X25439	33.387919227513
X25500	22.0540583034768
X25436	24.4013796856766
X25483	44.8599313834478
X25435	41.4987942003212
X25440	28.0386189544707
X25437	25.4309673654392
X14231	46.3696074617316
X25572	63.747336826327
X25424	22.8575369475938
X25426	74.7352145200432
X25484	46.6553187912611
X25496	31.2519296335505
X25593	36.3157003153516
X25441	39.2986419583443
X25535	40.4540643861745
X25589	28.2540290283349
X25658	34.1758041574658
X13947	33.5877712731256
X25494	36.8507364898025
X25497	23.4943575315569
X25498	39.239692705694
X25582	49.0306383811155
X25501	36.3441091428357
X28132	42.5802213475872
X25594	28.187122146921
X25590	32.1951326505759
X25604	33.7175870209966
X25603	50.5357898506983
X14232	40.7346490939192
X25560	40.7728235318584
X25583	48.2044992783908
X25664	48.5586598570077
X25662	30.8892380896541
X25657	42.629443923734
X25965	30.6378313431789
X25755	38.1365259360072
X25719	22.5974550326356
X25720	32.8671347382626
X25721	42.4450926792973
X14446	31.9784036170024
X25744	60.1480826895214
X26066	63.7770412756262
X25731	39.2282166996172
X25921	47.769586024104
X25722	33.3919316488836
X25777	44.7348976924967
X25768	26.8955414327599
X25751	34.8242282635111
X25752	40.1882565850565
X25753	44.2778644472137
X14498	58.8397668622026
X25766	26.5867182174488
X25767	39.3843980310914
X26054	36.6932384111934
X25979	46.9999549467582
X25901	33.3258566880021
X25980	49.1311512453046
X25966	45.8017955116259
X25899	53.9934934453758
X25923	54.4232621990437
X25988	50.2726244941859
X14519	52.0055837884819
X25816	35.6948322277719
X25890	47.349751337863
X26052	38.5618929897422
X25981	38.8482392281847
X26051	29.932223883519
X25964	48.0533357097974
X25982	31.4021537280881
X26851	43.7426158259944
X25902	30.7952496084153
X25984	26.8955414327599
X14891	36.0413844880261
X11004	30.6021569149346
X25989	57.2724065927714
X25976	42.8063029135059
X25958	50.420189078181
X25977	66.0100876751275
X25962	44.4007635376971
X26239	45.0527871151095
X25959	43.0506758558991
X25960	29.7666233955447
X25961	33.9510155965658
X26016	38.7991324898446
X15122	49.2601967886931
X25990	33.4596427530766
X26125	21.0435750477797
X26017	28.248557252619
X26123	30.9472724671457
X25991	49.0953054597706
X26266	41.9927293472213
X30811	33.5041914386796
X26124	29.4681075648325
X26376	27.6208318462711
X26416	59.7206095816346
X15227	47.6854682420663
X26409	32.7881028319317
X27028	70.9344735832303
X26850	41.409532718467
X26465	39.6228223940992
X27217	26.3309070484502
X27177	44.5643835259978
X27025	65.8699772291779
X26825	48.1874345589694
X26852	47.7596464872294
X27026	36.3015085626757
X15148	34.3210496180366
X27338	39.1742513621783
X27178	29.014605899533
X27034	46.3616060617203
X27078	30.1328040609703
X27036	52.5959860968674
X27037	49.3000559767468
X27329	39.2888034177476
X27090	44.7446188642935
X27216	32.8113214188567
X27388	45.6999224513541
X15123	51.0276503981297
X27228	42.0034875341887
X27219	36.5586233396465
X27339	37.755926178256
X27545	47.3889657866548
X27327	43.5580137775239
X27328	50.0225792703851
X27697	44.4945035132438
X27722	51.9097844013652
X28392	42.1800713466186
X27519	34.1475609155843
X15268	35.683637634525
X28123	47.4035920080381
X27502	40.544107380813
X27765	38.8004389951721
X27647	41.2656614349946
X27503	39.9324159222867
X27504	30.8570358520761
X27795	21.4391940700223
X27563	30.0552201011115
X28125	39.9083425256027
X30265	46.3936631623388
X15844	39.7999022375545
X28124	39.5718772282021
X28003	43.3792062806864
X27721	34.8238449038819
X27707	46.1608627048289
X27792	44.7714254860374
X27706	59.896710306499
X27784	49.3289036017141
X28225	41.9318922040628
X28126	32.3719978414966
X28170	40.8491292045237
X16385	39.2959136676891
X27723	44.8056693649316
X27794	64.9231790992063
X27981	63.29134728915
X28012	56.3409763082104
X28312	58.5636511966624
X28178	44.5807239278202
X28171	48.6237624381965
X28130	36.6403853415252
X28131	47.3309541504249
X28212	45.8506057331363
X16500	41.5496124791544
X28382	38.1828969858041
X28325	23.3496422484838
X28494	39.8227188308711
X28224	62.6327041106035
X28226	33.238731470454
X28278	38.2437917936002
X29759	25.1342339337589
X28391	43.0773352002672
X28374	43.8529021672129
X28381	36.7982465317102
X16501	51.8221265739875
X28324	43.5115518079861
X28326	42.6973209789581
X30321	38.2699343215209
