patients	pseudospace
X23764	63.3918014901125
X23736	54.5682332565118
X23802	54.4069586823066
X24045	60.5597180579912
X23805	68.2770432947338
X23808	68.4454197037666
X23940	62.4777223112724
X24077	71.0372370959096
X24229	56.2126323167771
X24177	65.5806447863273
X13764	56.607746755267
X24243	70.3846282881006
X24359	61.6748857304049
X24294	63.6835942214074
X24295	61.529783752429
X24363	64.4141004496892
X24358	72.380758638713
X24464	50.2388474864612
X24424	74.1787294262111
X24423	64.414574173689
X24465	70.3740072663954
X13904	66.7113132709202
X24550	60.966538808696
X24838	53.0751201129961
X25027	69.1362920245512
X25358	66.1784125560578
X25134	67.8380075194523
X25315	63.9575427823206
X25352	66.3177897661664
X25317	69.3346885832621
X25318	46.2090901482819
X25356	53.2917738804978
X13931	59.1573787126304
X25438	74.0612605663139
X25419	62.3324373652521
X25559	64.0539765466154
X25439	63.2265901417554
X25500	63.6489884210928
X25436	44.2857958118702
X25483	56.2033423126209
X25435	62.426315645156
X25440	67.6313508666095
X25437	62.0180063195336
X14231	69.2951639882894
X25572	63.1662824610109
X25424	63.6759708510005
X25426	61.8614791670244
X25484	64.2079546415568
X25496	59.9337295411545
X25593	52.4150629684313
X25441	69.1636827862272
X25535	61.7239833591983
X25589	54.077991744956
X25658	67.0561807769035
X13947	65.3428913937489
X25494	56.8461787565034
X25497	74.1554899917844
X25498	63.0217702715416
X25582	69.2534575554766
X25501	67.4392165952635
X28132	61.8543290557251
X25594	48.3335199134337
X25590	66.8964956039806
X25604	51.1837111801632
X25603	53.2803734073321
X14232	69.9723513886929
X25560	60.1812431934164
X25583	56.2313551485671
X25664	64.2616712042014
X25662	57.4085357838492
X25657	60.8914016712892
X25965	56.8805725745485
X25755	69.2787516206014
X25719	70.3928733560354
X25720	58.5084386616001
X25721	49.4393339436996
X14446	70.7642108985071
X25744	55.196995019484
X26066	57.7733768178212
X25731	69.1610516518187
X25921	65.3120818252561
X25722	53.8608046319649
X25777	57.6439860099493
X25768	59.3984114966005
X25751	76.8500844134335
X25752	52.2081105338587
X25753	67.990253264145
X14498	52.2257545861766
X25766	66.1899210215787
X25767	54.6325870559441
X26054	52.4104799753465
X25979	64.6419633485304
X25901	72.9129386603737
X25980	66.9204087332832
X25966	68.4364551250809
X25899	71.1011373474747
X25923	59.814467468756
X25988	60.7687656718559
X14519	64.1537680729489
X25816	68.6459230201832
X25890	65.12250875953
X26052	63.0554598331319
X25981	68.7556549593074
X26051	54.5056402234018
X25964	66.0032070887983
X25982	53.6108094575467
X26851	68.4357822102493
X25902	49.1010200049246
X25984	63.4250880704615
X14891	69.9469302004698
X11004	71.087320998611
X25989	60.116978755823
X25976	59.6462398015191
X25958	58.8891798645613
X25977	55.192742464172
X25962	56.4420271084423
X26239	69.2030837685976
X25959	48.3380188006933
X25960	70.8461839944123
X25961	69.1963565487819
X26016	61.422076500922
X15122	54.5773084078224
X25990	57.2103156045248
X26125	68.0828571408535
X26017	62.9277188813836
X26123	44.2688079249484
X25991	54.9279218900709
X26266	49.8553154885991
X30811	68.6342521108046
X26124	72.5734600654837
X26376	48.0039125505171
X26416	65.854269082998
X15227	60.6766659417093
X26409	50.4435932087861
X27028	60.8377574659655
X26850	48.1798759689237
X26465	67.0413303042212
X27217	69.6464854194256
X27177	63.461287832599
X27025	55.114138186824
X26825	63.9438344535197
X26852	63.5909454479267
X27026	67.4847436101691
X15148	57.1235713759836
X27338	64.799350582016
X27178	64.1218122627721
X27034	52.8422354443293
X27078	67.3996512405799
X27036	47.3606097373523
X27037	58.9720321487926
X27329	58.9590868824545
X27090	63.2178088313515
X27216	61.1591983093622
X27388	74.590043116079
X15123	65.8160563922172
X27228	62.9366227995324
X27219	55.9646003510709
X27339	67.9290199158945
X27545	70.4132611994175
X27327	60.3691215957439
X27328	62.556038961073
X27697	58.396720291353
X27722	67.1788305080257
X28392	64.9200857242493
X27519	56.9839228520635
X15268	55.5781011615005
X28123	50.1440269276311
X27502	58.770185239038
X27765	56.1682539295622
X27647	66.829984869164
X27503	43.6787767464743
X27504	69.2928423621505
X27795	67.3164517515206
X27563	63.0950368595829
X28125	68.4483962680655
X30265	58.5296971826523
X15844	65.7160093070509
X28124	71.0409862803346
X28003	59.7735610146833
X27721	70.7356650588162
X27707	66.5269310023203
X27792	57.1098205451557
X27706	58.2098421437096
X27784	63.9703637332484
X28225	48.2302916864938
X28126	61.8560429180243
X28170	55.2188197137702
X16385	65.7112448852545
X27723	63.6418912089281
X27794	69.3375552323246
X27981	63.567584916677
X28012	72.3466376789595
X28312	55.8626768909409
X28178	61.760018011289
X28171	56.5805047146617
X28130	68.8528717078616
X28131	59.0484200525514
X28212	53.9421701685767
X16500	64.8700292702308
X28382	53.0341568372967
X28325	51.9175122847949
X28494	68.7921681051358
X28224	62.5534120593648
X28226	68.0171120599731
X28278	67.5458444999677
X29759	60.1978552610093
X28391	53.8749885889985
X28374	52.6149729080031
X28381	55.0545085421545
X16501	60.2470259522824
X28324	69.9664697462791
X28326	61.384833883349
X30321	67.9839015047454
X29147	57.5721571300435
X30083	45.973991883999
X28666	69.3391121954858
X28667	56.3860319245615
X28384	56.1569877943695
X31978	57.5225685732451
X30082	58.5892385570773
X16689	64.7568598932757
X11307	58.113377108658
X28665	48.5955173497213
X29999	67.7492541457963
X34122	57.9542157462349
X28380	68.7512436097445
X29148	61.6001563613473
X28495	65.1288534495027
X28430	63.7308062146651
X28668	67.5489123186126
X28422	66.1143706922322
X28427	68.3702493258816
X16949	56.4772988633593
X28428	63.1993208710724
X28421	70.8422672825523
X30425	55.2486748048059
X28590	68.782091242876
X29149	57.9742150003487
X30251	71.9651006507503
X30431	61.4845273465404
X30222	60.2922537379089
X30159	69.6305562784032
X30497	69.8263239372839
X17584	64.0287187531581
X28496	66.4825078038205
X28497	68.9740317373717
X28638	60.8715947049794
X29146	53.5086912238833
X30252	59.9933562481027
X30498	52.6847376585842
X30487	70.6291488247037
X30221	55.908219000041
X30032	61.6742612224546
X29761	54.6781213673087
X17284	57.6175075910694
X30011	43.0562423875405
X29766	59.9926003424981
X30635	68.8515837859326
X30000	66.5608923971991
X30500	66.7429110044877
X30080	70.1634594349674
X30009	59.4315164646428
X30490	68.5591151185662
X30311	68.6567274508448
X30078	68.4007879160708
X17557	58.0219876551704
X30081	62.0802060601614
X30220	60.4023626836658
X30310	59.9583482826157
X30248	47.4608366783035
X30313	56.5854485263186
X31037	65.8495236858499
X30253	64.2584822778269
X30896	61.0341524914449
X30254	61.8029511785198
X30606	52.5940713195184
X17827	71.7076809644945
X30309	71.1386358241804
X30607	56.1652417676172
X30250	63.8454985359032
X30784	57.6915653616245
X30504	67.1179233383385
X30491	56.6783106361732
X30809	56.0696640079618
X30426	67.1901117571952
X30505	55.4601357512083
X31043	55.4631417857195
X18154	56.5463744121587
X30519	47.4307172576335
X30489	63.9990002047036
X30492	68.4927652418703
X30488	52.1985676696055
X30616	66.5460710922842
X31189	61.4473909179717
X30608	62.6296306397161
X30609	67.0895761474539
X31031	62.5648207165398
X30895	64.9196351338674
X18153	64.0783701663717
X30810	67.6948838185898
X31185	51.0282249062298
X30807	69.0924001919971
X30821	70.7369584172085
X31190	60.3646386658966
X32354	64.8507734367213
X30897	72.3053233117125
X30822	68.7450718963433
X30902	55.0361370294528
X31982	52.8848754042186
X18228	70.443848491628
X31030	60.9908344999993
X31034	64.1862433714166
X31191	60.1102073425464
X31369	60.4324283092836
X31370	63.5974234365917
X31870	56.3154188353923
X31042	66.4000801892146
X31518	66.1120033892022
X31095	49.7789472380323
X31183	55.5752988018974
X18624	63.1133301135179
X31184	68.1493599831963
X31194	70.0468456409819
X31509	55.8821133536012
X32033	63.3372487094892
X32395	58.738591990594
X31979	71.8349623741362
X32274	61.1830258156664
X32353	53.2022868855382
X31869	71.3211390049653
X32034	55.6466789313669
X18568	64.5941007881812
X11698	48.3814450464679
X31980	56.8717133328184
X33373	54.110245761034
X31911	65.928488393166
X32557	54.0223911840846
X31981	62.4989240375947
X31923	58.976475931518
X32015	53.8284720576027
X32559	48.9994105928598
X32337	50.0353120624494
X32558	58.5691631229595
X18843	69.6021923583314
X32571	55.1753993933079
X32277	67.9317543767296
X32654	42.0119036641975
X32350	59.6334207192893
X32572	67.3465918524639
X32397	54.4441945606545
X32667	64.5369984067029
X32394	63.2006240220981
X32959	66.2898907374319
X32573	67.1269050163275
X18625	58.4526907426668
X32973	60.9687158853295
X32960	60.9977403846228
X32398	55.3955309774304
X32408	51.5330421836194
X32656	64.5818004127177
X33389	54.5768938301495
X33033	63.7595830379995
X33201	54.6852780190681
X32897	61.690363617759
X33083	66.4581108322915
X18650	53.7198149590704
X36717	55.7687442661969
X33034	46.9914805247231
X33154	54.39789586376
X32971	64.6209825465801
X33155	59.2530554214627
X32972	62.224290700384
X33127	72.5380098873075
X33129	59.0717790892051
X33375	55.6068968408141
X33987	65.8960975977545
X18844	68.3413813496514
X33374	64.9094962801727
X33387	65.7282056001253
X33532	60.7041600337561
X34211	55.4744619837627
X33388	45.9991356009264
X33480	67.7261066710265
X33546	69.0906901132914
X34121	53.4768265030362
X33988	60.4401456830349
X33740	67.640325382275
X18880	65.0272738584012
X34071	52.786899042521
X33764	67.6356994051343
X34252	51.3786661789997
X34162	55.5960022546314
X34115	55.1668955765236
X34215	67.2692567093865
X34117	53.4686966743485
X34161	70.8434495959705
X34118	65.9227159342997
X34159	60.925042504598
X19512	50.5623066330719
X34120	58.4121815570763
X35337	61.3167673181581
X35258	57.3647305607741
X34288	56.9542056675248
X34332	63.224853038578
X36037	48.8387105222953
X34491	62.2813822882491
X35289	61.228892609713
X36749	66.1586622325933
X35234	52.0939977715023
X19652	63.241081002231
X36063	62.4119591941623
X35260	61.6260625188808
X35290	60.8209345294842
X36062	61.9819223120609
X34708	46.4197416546998
X35336	57.8053585822475
X37077	49.7357791280462
X36718	70.6666998893378
X36684	59.6584642765017
X36621	47.9186337638915
X19661	66.0951437211719
X36622	70.4841676575969
X37013	50.2786451278859
X36509	62.4996914422283
X36068	50.0794496885124
X36067	61.1787872197457
X36700	53.7513228436197
X37078	51.6656955604058
X36065	57.3548947570577
X37093	67.1578420759123
X36069	62.3687318837324
X19843	57.5563012111469
X36748	56.2334106672416
X36686	52.0127182462951
X37311	62.7862200336789
X37076	53.5825900533446
X36701	49.2926916919887
X36750	58.5754383513718
X37312	55.3212948559975
X36962	72.1617111087973
X37080	72.9186370479733
X37146	56.8669586680152
X20034	56.6744893966766
X12255	69.5680951961833
X36963	55.196995019484
X37026	64.9120991169356
X37095	59.4288562922105
X37025	63.0928398329216
X37249	52.0465319594099
X37027	64.7277600518772
X37619	48.4689350750574
X37155	60.3287635036567
X37719	66.4535885762353
X37097	43.9869922165504
X20115	67.1291649734754
X38506	67.0658734126434
X37365	65.2491040301158
X38501	57.2449877108702
X37145	62.9938426533309
X38060	51.3257858859251
X37620	53.0641903050144
