patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	57.4392887370917
GBM.TCGA.02.0055.01A.01R.1849.01	53.2225940517589
GBM.TCGA.02.2483.01A.01R.1849.01	61.8403728138728
GBM.TCGA.02.2485.01A.01R.1849.01	52.3735927692267
GBM.TCGA.02.2486.01A.01R.1849.01	55.8968085007568
OV.TCGA.04.1331.01A.01R.1569.13	48.3498821647041
OV.TCGA.04.1341.01A.01R.1564.13	44.3604089839852
OV.TCGA.04.1343.01A.01R.1564.13	45.063270197962
OV.TCGA.04.1347.01A.01R.1564.13	48.5517184279251
OV.TCGA.04.1356.01A.01R.1569.13	44.4198446878545
OV.TCGA.04.1357.01A.01R.1565.13	52.7984013688434
OV.TCGA.04.1361.01A.01R.1565.13	45.8927193284426
OV.TCGA.04.1362.01A.01R.1565.13	54.7885324928846
OV.TCGA.04.1542.01A.01R.1566.13	46.2329426834454
OV.TCGA.04.1648.01A.01R.1567.13	38.8144550370949
OV.TCGA.04.1651.01A.01R.1567.13	50.6223340646812
OV.TCGA.04.1655.01A.01R.1566.13	45.5531930752306
LUAD.TCGA.05.4244.01A.01R.1107.07	51.5374595653321
LUAD.TCGA.05.4249.01A.01R.1107.07	45.5890175668314
LUAD.TCGA.05.4250.01A.01R.1107.07	49.5009347919274
LUAD.TCGA.05.4384.01A.01R.1755.07	47.6696042287997
LUAD.TCGA.05.4389.01A.01R.1206.07	40.1695716873017
LUAD.TCGA.05.4390.01A.02R.1755.07	47.7596422899294
LUAD.TCGA.05.4395.01A.01R.1206.07	52.3134071176026
LUAD.TCGA.05.4396.01A.21R.1858.07	37.5920003690062
LUAD.TCGA.05.4397.01A.01R.1206.07	49.4142197694727
LUAD.TCGA.05.4398.01A.01R.1206.07	47.532297624356
LUAD.TCGA.05.4402.01A.01R.1206.07	49.7421032950998
LUAD.TCGA.05.4403.01A.01R.1206.07	29.5764332783497
LUAD.TCGA.05.4405.01A.21R.1858.07	56.5095265973878
LUAD.TCGA.05.4415.01A.22R.1858.07	47.8051262631858
LUAD.TCGA.05.4417.01A.22R.1858.07	55.9931345094712
LUAD.TCGA.05.4418.01A.01R.1206.07	40.034983437492
LUAD.TCGA.05.4420.01A.01R.1206.07	46.1771019561845
LUAD.TCGA.05.4422.01A.01R.1206.07	37.2742156703104
LUAD.TCGA.05.4425.01A.01R.1755.07	41.3465141189373
LUAD.TCGA.05.4426.01A.01R.1206.07	48.650213047097
LUAD.TCGA.05.4427.01A.21R.1858.07	54.4272070343299
LUAD.TCGA.05.4432.01A.01R.1206.07	42.8059462065137
LUAD.TCGA.05.4433.01A.22R.1858.07	35.4983066237436
LUAD.TCGA.05.4434.01A.01R.1206.07	46.373959200739
LUAD.TCGA.05.5423.01A.01R.1628.07	50.503957243388
LUAD.TCGA.05.5425.01A.02R.1628.07	43.5409275488078
