patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	56.8755203567388
GBM.TCGA.02.0055.01A.01R.1849.01	50.2576268150888
GBM.TCGA.02.2483.01A.01R.1849.01	56.619197793985
GBM.TCGA.02.2485.01A.01R.1849.01	52.3735927692267
GBM.TCGA.02.2486.01A.01R.1849.01	55.6948218455722
OV.TCGA.04.1331.01A.01R.1569.13	48.6566965458544
OV.TCGA.04.1341.01A.01R.1564.13	45.8350079177763
OV.TCGA.04.1343.01A.01R.1564.13	45.3684468082283
OV.TCGA.04.1347.01A.01R.1564.13	47.7022737285024
OV.TCGA.04.1356.01A.01R.1569.13	44.5842378098668
OV.TCGA.04.1357.01A.01R.1565.13	53.8391762737749
OV.TCGA.04.1361.01A.01R.1565.13	45.4472491029822
OV.TCGA.04.1362.01A.01R.1565.13	52.4266770637031
OV.TCGA.04.1542.01A.01R.1566.13	46.6625957925606
OV.TCGA.04.1648.01A.01R.1567.13	43.0244318902595
OV.TCGA.04.1651.01A.01R.1567.13	50.5268120071352
OV.TCGA.04.1655.01A.01R.1566.13	45.8479917839355
LUAD.TCGA.05.4244.01A.01R.1107.07	52.8423589340667
LUAD.TCGA.05.4249.01A.01R.1107.07	44.679028529289
LUAD.TCGA.05.4250.01A.01R.1107.07	50.1793630701539
LUAD.TCGA.05.4384.01A.01R.1755.07	45.2491659563471
LUAD.TCGA.05.4389.01A.01R.1206.07	40.1695716873017
LUAD.TCGA.05.4390.01A.02R.1755.07	48.9505737789633
LUAD.TCGA.05.4395.01A.01R.1206.07	48.9824344004605
LUAD.TCGA.05.4396.01A.21R.1858.07	37.4685146556161
LUAD.TCGA.05.4397.01A.01R.1206.07	46.2774791956263
LUAD.TCGA.05.4398.01A.01R.1206.07	49.2043770707681
LUAD.TCGA.05.4402.01A.01R.1206.07	50.9005516615681
LUAD.TCGA.05.4403.01A.01R.1206.07	33.0229844420298
LUAD.TCGA.05.4405.01A.21R.1858.07	54.5279593692106
LUAD.TCGA.05.4415.01A.22R.1858.07	38.456733476792
LUAD.TCGA.05.4417.01A.22R.1858.07	55.3179499937642
LUAD.TCGA.05.4418.01A.01R.1206.07	38.6551314234112
LUAD.TCGA.05.4420.01A.01R.1206.07	46.629315844402
LUAD.TCGA.05.4422.01A.01R.1206.07	36.3009164557692
LUAD.TCGA.05.4425.01A.01R.1755.07	42.5884721158439
LUAD.TCGA.05.4426.01A.01R.1206.07	48.650213047097
LUAD.TCGA.05.4427.01A.21R.1858.07	53.0347761795993
LUAD.TCGA.05.4432.01A.01R.1206.07	46.2584601282371
LUAD.TCGA.05.4433.01A.22R.1858.07	34.2166390818583
LUAD.TCGA.05.4434.01A.01R.1206.07	48.4013330969231
LUAD.TCGA.05.5423.01A.01R.1628.07	50.6602141729091
LUAD.TCGA.05.5425.01A.02R.1628.07	41.5338688942736
LUAD.TCGA.05.5428.01A.01R.1628.07	52.7814466928741
LUAD.TCGA.05.5429.01A.01R.1628.07	33.1363743606986
LUAD.TCGA.05.5715.01A.01R.1628.07	42.8362969907405
GBM.TCGA.06.0125.01A.01R.1849.01	54.2449190063276
GBM.TCGA.06.0125.02A.11R.2005.01	51.2356588934377
GBM.TCGA.06.0129.01A.01R.1849.01	53.6672357023887
GBM.TCGA.06.0152.02A.01R.2005.01	52.1458809700453
GBM.TCGA.06.0157.01A.01R.1849.01	52.0752969522283
GBM.TCGA.06.0158.01A.01R.1849.01	52.3735927692267
GBM.TCGA.06.0168.01A.01R.1849.01	53.5224848219292
GBM.TCGA.06.0174.01A.01R.1849.01	53.7155164271797
GBM.TCGA.06.0184.01A.01R.1849.01	49.6332183444865
GBM.TCGA.06.0187.01A.01R.1849.01	55.5830714288606
GBM.TCGA.06.0190.01A.01R.1849.01	53.4629704024842
GBM.TCGA.06.0190.02A.01R.2005.01	50.6574301103518
GBM.TCGA.06.0210.02A.01R.2005.01	50.1126675921147
GBM.TCGA.06.0211.01B.01R.1849.01	52.2568484574794
GBM.TCGA.06.0211.02A.02R.2005.01	53.3740566100332
GBM.TCGA.06.0219.01A.01R.1849.01	56.1216973248261
GBM.TCGA.06.0221.02A.11R.2005.01	58.4657991982954
GBM.TCGA.06.0238.01A.02R.1849.01	56.9011227929106
GBM.TCGA.06.0644.01A.02R.1849.01	51.9637483195933
GBM.TCGA.06.0645.01A.01R.1849.01	53.405485723057
GBM.TCGA.06.0646.01A.01R.1849.01	53.3658224932867
GBM.TCGA.06.0649.01B.01R.1849.01	54.2345497933117
GBM.TCGA.06.0686.01A.01R.1849.01	56.9501575524642
GBM.TCGA.06.0743.01A.01R.1849.01	54.7689833524996
GBM.TCGA.06.0744.01A.01R.1849.01	53.9158549636272
GBM.TCGA.06.0745.01A.01R.1849.01	53.9633579266263
GBM.TCGA.06.0747.01A.01R.1849.01	53.9614098070333
GBM.TCGA.06.0749.01A.01R.1849.01	57.6532280150932
GBM.TCGA.06.0750.01A.01R.1849.01	51.6137223594663
GBM.TCGA.06.0878.01A.01R.1849.01	57.2581002739459
GBM.TCGA.06.0882.01A.01R.1849.01	53.3449236997344
GBM.TCGA.06.1804.01A.01R.1849.01	56.8755203567388
GBM.TCGA.06.2557.01A.01R.1849.01	52.4439305902907
GBM.TCGA.06.2558.01A.01R.1849.01	55.3597407175184
GBM.TCGA.06.2559.01A.01R.1849.01	53.6840873141559
