patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	66.8182817215042
GBM.TCGA.02.0055.01A.01R.1849.01	69.6345554717438
GBM.TCGA.02.2483.01A.01R.1849.01	75.8227639350487
GBM.TCGA.02.2485.01A.01R.1849.01	74.470327751337
GBM.TCGA.02.2486.01A.01R.1849.01	59.3797544352383
OV.TCGA.04.1331.01A.01R.1569.13	56.3634241721711
OV.TCGA.04.1341.01A.01R.1564.13	46.957804311339
OV.TCGA.04.1343.01A.01R.1564.13	51.3302440700741
OV.TCGA.04.1347.01A.01R.1564.13	47.6596332959933
OV.TCGA.04.1356.01A.01R.1569.13	34.940081789444
OV.TCGA.04.1357.01A.01R.1565.13	45.7581680552464
OV.TCGA.04.1361.01A.01R.1565.13	43.0778663504085
OV.TCGA.04.1362.01A.01R.1565.13	33.0134268385328
OV.TCGA.04.1542.01A.01R.1566.13	37.1950424864084
OV.TCGA.04.1648.01A.01R.1567.13	38.5771994450684
OV.TCGA.04.1651.01A.01R.1567.13	40.0965193268934
OV.TCGA.04.1655.01A.01R.1566.13	46.4676763944567
LUAD.TCGA.05.4244.01A.01R.1107.07	45.5477641017711
LUAD.TCGA.05.4249.01A.01R.1107.07	45.0424519679336
LUAD.TCGA.05.4250.01A.01R.1107.07	55.2168625044523
LUAD.TCGA.05.4384.01A.01R.1755.07	32.9974338890586
LUAD.TCGA.05.4389.01A.01R.1206.07	36.2855299953134
LUAD.TCGA.05.4390.01A.02R.1755.07	35.3629525452938
LUAD.TCGA.05.4395.01A.01R.1206.07	38.1740080624064
LUAD.TCGA.05.4396.01A.21R.1858.07	32.5509099097384
LUAD.TCGA.05.4397.01A.01R.1206.07	50.8274010879219
LUAD.TCGA.05.4398.01A.01R.1206.07	58.3742006662336
LUAD.TCGA.05.4402.01A.01R.1206.07	45.3902966312372
LUAD.TCGA.05.4403.01A.01R.1206.07	37.3246231371172
LUAD.TCGA.05.4405.01A.21R.1858.07	49.4588388284311
LUAD.TCGA.05.4415.01A.22R.1858.07	29.4755516942221
LUAD.TCGA.05.4417.01A.22R.1858.07	49.8474601394924
LUAD.TCGA.05.4418.01A.01R.1206.07	37.5981827171289
LUAD.TCGA.05.4420.01A.01R.1206.07	38.9183073057337
LUAD.TCGA.05.4422.01A.01R.1206.07	31.7610833187084
LUAD.TCGA.05.4425.01A.01R.1755.07	38.7320927264266
LUAD.TCGA.05.4426.01A.01R.1206.07	49.7798307828138
LUAD.TCGA.05.4427.01A.21R.1858.07	54.9209484073998
LUAD.TCGA.05.4432.01A.01R.1206.07	42.2069095365569
LUAD.TCGA.05.4433.01A.22R.1858.07	28.321702354428
LUAD.TCGA.05.4434.01A.01R.1206.07	41.7153257944071
LUAD.TCGA.05.5423.01A.01R.1628.07	43.142981162615
LUAD.TCGA.05.5425.01A.02R.1628.07	37.8048481544873
LUAD.TCGA.05.5428.01A.01R.1628.07	37.5952498070377
LUAD.TCGA.05.5429.01A.01R.1628.07	38.1323370106687
LUAD.TCGA.05.5715.01A.01R.1628.07	39.3642405456086
GBM.TCGA.06.0125.01A.01R.1849.01	72.4821827825187
GBM.TCGA.06.0125.02A.11R.2005.01	70.4393063063732
GBM.TCGA.06.0129.01A.01R.1849.01	71.4835037424857
GBM.TCGA.06.0152.02A.01R.2005.01	74.796552459272
GBM.TCGA.06.0157.01A.01R.1849.01	75.8509271200367
GBM.TCGA.06.0158.01A.01R.1849.01	72.7293729613082
GBM.TCGA.06.0168.01A.01R.1849.01	56.4489072964557
GBM.TCGA.06.0174.01A.01R.1849.01	72.7925545259066
GBM.TCGA.06.0184.01A.01R.1849.01	72.2443310470188
GBM.TCGA.06.0187.01A.01R.1849.01	73.1214706316133
GBM.TCGA.06.0190.01A.01R.1849.01	69.2676540668566
GBM.TCGA.06.0190.02A.01R.2005.01	66.6476662586886
GBM.TCGA.06.0210.02A.01R.2005.01	76.8260068308175
GBM.TCGA.06.0211.01B.01R.1849.01	76.7310350514763
GBM.TCGA.06.0211.02A.02R.2005.01	70.8408279428934
GBM.TCGA.06.0219.01A.01R.1849.01	75.1845879530065
GBM.TCGA.06.0221.02A.11R.2005.01	67.9924041353436
GBM.TCGA.06.0238.01A.02R.1849.01	71.2987857546309
GBM.TCGA.06.0644.01A.02R.1849.01	68.9373129684625
GBM.TCGA.06.0645.01A.01R.1849.01	70.4348551896141
GBM.TCGA.06.0646.01A.01R.1849.01	72.0141820883521
GBM.TCGA.06.0649.01B.01R.1849.01	60.7934141615736
GBM.TCGA.06.0686.01A.01R.1849.01	65.7887113589599
GBM.TCGA.06.0743.01A.01R.1849.01	72.7293729613082
GBM.TCGA.06.0744.01A.01R.1849.01	75.9481360514347
GBM.TCGA.06.0745.01A.01R.1849.01	66.7322694335973
GBM.TCGA.06.0747.01A.01R.1849.01	69.4212201516917
GBM.TCGA.06.0749.01A.01R.1849.01	58.1577467775646
GBM.TCGA.06.0750.01A.01R.1849.01	66.2857470720035
GBM.TCGA.06.0878.01A.01R.1849.01	63.0534686541066
GBM.TCGA.06.0882.01A.01R.1849.01	67.4014956375985
GBM.TCGA.06.1804.01A.01R.1849.01	79.4732726068688
GBM.TCGA.06.2557.01A.01R.1849.01	74.2441649395336
GBM.TCGA.06.2558.01A.01R.1849.01	78.7808886846944
GBM.TCGA.06.2559.01A.01R.1849.01	78.3109078726095
GBM.TCGA.06.2561.01A.02R.1849.01	62.3222164807171
GBM.TCGA.06.2562.01A.01R.1849.01	70.9876184190899
GBM.TCGA.06.2563.01A.01R.1849.01	81.3047438143602
GBM.TCGA.06.2564.01A.01R.1849.01	75.426975829791
GBM.TCGA.06.2565.01A.01R.1849.01	69.5753082993375
GBM.TCGA.06.2567.01A.01R.1849.01	74.9187194103777
GBM.TCGA.06.2569.01A.01R.1849.01	71.9061531312715
GBM.TCGA.06.2570.01A.01R.1849.01	74.9990656153159
GBM.TCGA.06.5408.01A.01R.1849.01	74.796552459272
GBM.TCGA.06.5411.01A.01R.1849.01	70.282298744556
GBM.TCGA.06.5413.01A.01R.1849.01	71.0605850897462
GBM.TCGA.06.5414.01A.01R.1849.01	72.9359482939227
GBM.TCGA.06.5418.01A.01R.1849.01	70.1151978157026
GBM.TCGA.06.5856.01A.01R.1849.01	74.7356005441321
GBM.TCGA.06.5858.01A.01R.1849.01	69.592878605649
GBM.TCGA.06.5859.01A.01R.1849.01	70.9032954887952
GBM.TCGA.08.0386.01A.01R.1849.01	75.5317992779615
OV.TCGA.09.0364.01A.02R.1564.13	43.9343020761207
OV.TCGA.09.0369.01A.01R.1564.13	63.4395226773264
OV.TCGA.09.1673.01A.01R.1566.13	41.2606069349198
OV.TCGA.09.2044.01B.01R.1568.13	43.04890462727
OV.TCGA.09.2051.01A.01R.1568.13	45.3062794820259
OV.TCGA.09.2053.01C.01R.1568.13	39.3011938612968
