patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	67.5371487672995
GBM.TCGA.02.0055.01A.01R.1849.01	67.5936871923941
GBM.TCGA.02.2483.01A.01R.1849.01	73.5384163681185
GBM.TCGA.02.2485.01A.01R.1849.01	76.1082562085939
GBM.TCGA.02.2486.01A.01R.1849.01	60.8591442950191
OV.TCGA.04.1331.01A.01R.1569.13	52.6170978977178
OV.TCGA.04.1341.01A.01R.1564.13	44.0292955118186
OV.TCGA.04.1343.01A.01R.1564.13	51.3302440700741
OV.TCGA.04.1347.01A.01R.1564.13	50.938698628425
OV.TCGA.04.1356.01A.01R.1569.13	34.940081789444
OV.TCGA.04.1357.01A.01R.1565.13	42.20663374677
OV.TCGA.04.1361.01A.01R.1565.13	44.0772618793727
OV.TCGA.04.1362.01A.01R.1565.13	31.3253965644996
OV.TCGA.04.1542.01A.01R.1566.13	37.1950424864084
OV.TCGA.04.1648.01A.01R.1567.13	36.8827291707866
OV.TCGA.04.1651.01A.01R.1567.13	40.0965193268934
OV.TCGA.04.1655.01A.01R.1566.13	46.4676763944567
LUAD.TCGA.05.4244.01A.01R.1107.07	41.81614432413
LUAD.TCGA.05.4249.01A.01R.1107.07	43.0607079850873
LUAD.TCGA.05.4250.01A.01R.1107.07	55.2168625044523
LUAD.TCGA.05.4384.01A.01R.1755.07	31.9455343954486
LUAD.TCGA.05.4389.01A.01R.1206.07	34.9356902107178
LUAD.TCGA.05.4390.01A.02R.1755.07	34.58746284583
LUAD.TCGA.05.4395.01A.01R.1206.07	36.9207130451012
LUAD.TCGA.05.4396.01A.21R.1858.07	32.6763575715546
LUAD.TCGA.05.4397.01A.01R.1206.07	50.8274010879219
LUAD.TCGA.05.4398.01A.01R.1206.07	58.3742006662336
LUAD.TCGA.05.4402.01A.01R.1206.07	47.4285649086447
LUAD.TCGA.05.4403.01A.01R.1206.07	40.1404347465422
LUAD.TCGA.05.4405.01A.21R.1858.07	49.3325372648675
LUAD.TCGA.05.4415.01A.22R.1858.07	29.9953894657962
LUAD.TCGA.05.4417.01A.22R.1858.07	49.5327523641559
LUAD.TCGA.05.4418.01A.01R.1206.07	38.2356621572314
LUAD.TCGA.05.4420.01A.01R.1206.07	39.4610585748457
