patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	72.1420643357281
GBM.TCGA.02.0055.01A.01R.1849.01	69.618072025991
GBM.TCGA.02.2483.01A.01R.1849.01	69.5429112526332
GBM.TCGA.02.2485.01A.01R.1849.01	69.8720784912598
GBM.TCGA.02.2486.01A.01R.1849.01	67.7988410705483
OV.TCGA.04.1331.01A.01R.1569.13	60.0373412059293
OV.TCGA.04.1341.01A.01R.1564.13	55.1980389717654
OV.TCGA.04.1343.01A.01R.1564.13	61.6767319591885
OV.TCGA.04.1347.01A.01R.1564.13	57.041230283387
OV.TCGA.04.1356.01A.01R.1569.13	58.5461402985108
OV.TCGA.04.1357.01A.01R.1565.13	55.2651325091366
OV.TCGA.04.1361.01A.01R.1565.13	61.6052016988448
OV.TCGA.04.1362.01A.01R.1565.13	56.773856062273
OV.TCGA.04.1542.01A.01R.1566.13	52.1089423083734
OV.TCGA.04.1648.01A.01R.1567.13	55.4144117638706
OV.TCGA.04.1651.01A.01R.1567.13	53.1403378869996
OV.TCGA.04.1655.01A.01R.1566.13	52.4739687518728
LUAD.TCGA.05.4244.01A.01R.1107.07	64.2396705282449
LUAD.TCGA.05.4249.01A.01R.1107.07	63.5847023670779
LUAD.TCGA.05.4250.01A.01R.1107.07	69.8842021644488
LUAD.TCGA.05.4384.01A.01R.1755.07	52.5806715534536
LUAD.TCGA.05.4389.01A.01R.1206.07	56.4136841633512
LUAD.TCGA.05.4390.01A.02R.1755.07	51.7463513207212
LUAD.TCGA.05.4395.01A.01R.1206.07	62.4103452409562
LUAD.TCGA.05.4396.01A.21R.1858.07	54.5007091926244
LUAD.TCGA.05.4397.01A.01R.1206.07	61.5774220569503
LUAD.TCGA.05.4398.01A.01R.1206.07	64.7544717838979
LUAD.TCGA.05.4402.01A.01R.1206.07	69.1772977758704
LUAD.TCGA.05.4403.01A.01R.1206.07	53.966425443947
LUAD.TCGA.05.4405.01A.21R.1858.07	64.9033373310436
LUAD.TCGA.05.4415.01A.22R.1858.07	58.663994488352
LUAD.TCGA.05.4417.01A.22R.1858.07	61.3749824458937
LUAD.TCGA.05.4418.01A.01R.1206.07	64.5841405022491
LUAD.TCGA.05.4420.01A.01R.1206.07	64.8141092922126
LUAD.TCGA.05.4422.01A.01R.1206.07	54.3175695888208
LUAD.TCGA.05.4425.01A.01R.1755.07	60.8016748934624
LUAD.TCGA.05.4426.01A.01R.1206.07	61.8396288230103
LUAD.TCGA.05.4427.01A.21R.1858.07	67.7170332876819
LUAD.TCGA.05.4432.01A.01R.1206.07	65.5197840786328
LUAD.TCGA.05.4433.01A.22R.1858.07	49.4360310374874
LUAD.TCGA.05.4434.01A.01R.1206.07	67.6005536755324
LUAD.TCGA.05.5423.01A.01R.1628.07	61.365735208632
LUAD.TCGA.05.5425.01A.02R.1628.07	61.0150665127722
LUAD.TCGA.05.5428.01A.01R.1628.07	57.6588834998596
LUAD.TCGA.05.5429.01A.01R.1628.07	55.0708547620428
LUAD.TCGA.05.5715.01A.01R.1628.07	55.758623910886
GBM.TCGA.06.0125.01A.01R.1849.01	69.0008357648241
GBM.TCGA.06.0125.02A.11R.2005.01	73.9010332512162
GBM.TCGA.06.0129.01A.01R.1849.01	63.2100147736757
GBM.TCGA.06.0152.02A.01R.2005.01	69.8249419475688
GBM.TCGA.06.0157.01A.01R.1849.01	70.1823785657319
GBM.TCGA.06.0158.01A.01R.1849.01	70.4025217214542
GBM.TCGA.06.0168.01A.01R.1849.01	61.7950765878833
GBM.TCGA.06.0174.01A.01R.1849.01	69.2091293440505
GBM.TCGA.06.0184.01A.01R.1849.01	72.2894841143676
GBM.TCGA.06.0187.01A.01R.1849.01	69.4370109025224
GBM.TCGA.06.0190.01A.01R.1849.01	67.8422187166847
GBM.TCGA.06.0190.02A.01R.2005.01	72.8245418581302
GBM.TCGA.06.0210.02A.01R.2005.01	71.3541768592156
GBM.TCGA.06.0211.01B.01R.1849.01	70.3677453622101
GBM.TCGA.06.0211.02A.02R.2005.01	67.5109854910583
GBM.TCGA.06.0219.01A.01R.1849.01	65.8965168734917
GBM.TCGA.06.0221.02A.11R.2005.01	63.1468413522113
GBM.TCGA.06.0238.01A.02R.1849.01	68.3589488319749
GBM.TCGA.06.0644.01A.02R.1849.01	67.6157291494545
GBM.TCGA.06.0645.01A.01R.1849.01	66.4640397536518
GBM.TCGA.06.0646.01A.01R.1849.01	69.0685428354648
GBM.TCGA.06.0649.01B.01R.1849.01	74.9115799560819
GBM.TCGA.06.0686.01A.01R.1849.01	65.9996490249276
GBM.TCGA.06.0743.01A.01R.1849.01	71.8258992013987
GBM.TCGA.06.0744.01A.01R.1849.01	69.1820926662425
GBM.TCGA.06.0745.01A.01R.1849.01	66.7403911539438
GBM.TCGA.06.0747.01A.01R.1849.01	68.5411939153358
GBM.TCGA.06.0749.01A.01R.1849.01	65.0848563145981
GBM.TCGA.06.0750.01A.01R.1849.01	70.6861554012512
GBM.TCGA.06.0878.01A.01R.1849.01	66.3809081350842
GBM.TCGA.06.0882.01A.01R.1849.01	67.1075356442788
GBM.TCGA.06.1804.01A.01R.1849.01	71.4209793554208
GBM.TCGA.06.2557.01A.01R.1849.01	65.4798875461271
GBM.TCGA.06.2558.01A.01R.1849.01	69.0714057334116
GBM.TCGA.06.2559.01A.01R.1849.01	68.8793849986563
GBM.TCGA.06.2561.01A.02R.1849.01	64.1304065990779
GBM.TCGA.06.2562.01A.01R.1849.01	67.9577351791061
GBM.TCGA.06.2563.01A.01R.1849.01	70.7956840235051
GBM.TCGA.06.2564.01A.01R.1849.01	71.3758781075967
GBM.TCGA.06.2565.01A.01R.1849.01	72.1275781547281
GBM.TCGA.06.2567.01A.01R.1849.01	69.5663289472774
GBM.TCGA.06.2569.01A.01R.1849.01	74.8497826572034
GBM.TCGA.06.2570.01A.01R.1849.01	71.7591003753879
GBM.TCGA.06.5408.01A.01R.1849.01	67.0225723387159
GBM.TCGA.06.5411.01A.01R.1849.01	69.2452128628587
GBM.TCGA.06.5413.01A.01R.1849.01	69.3727561921009
GBM.TCGA.06.5414.01A.01R.1849.01	66.3267144706515
GBM.TCGA.06.5418.01A.01R.1849.01	68.1757961393206
GBM.TCGA.06.5856.01A.01R.1849.01	69.3000203678673
GBM.TCGA.06.5858.01A.01R.1849.01	70.0900250376228
GBM.TCGA.06.5859.01A.01R.1849.01	71.5298923152223
GBM.TCGA.08.0386.01A.01R.1849.01	69.8704873098774
OV.TCGA.09.0364.01A.02R.1564.13	52.0898838112125
OV.TCGA.09.0369.01A.01R.1564.13	61.0802551534521
OV.TCGA.09.1673.01A.01R.1566.13	58.3201858220518
OV.TCGA.09.2044.01B.01R.1568.13	59.8672071724168
OV.TCGA.09.2051.01A.01R.1568.13	57.1879699919671
OV.TCGA.09.2053.01C.01R.1568.13	56.1428574981735
OV.TCGA.10.0927.01A.02R.1564.13	59.9326377526976
OV.TCGA.10.0928.01A.02R.1564.13	55.1353792815351
OV.TCGA.10.0931.01A.01R.1564.13	60.5583776568583
OV.TCGA.10.0933.01A.01R.1569.13	56.2037325140437
OV.TCGA.10.0937.01A.02R.1564.13	52.84539575865
GBM.TCGA.12.0616.01A.01R.1849.01	61.8777501735899
GBM.TCGA.12.0618.01A.01R.1849.01	70.3567473756046
GBM.TCGA.12.0619.01A.01R.1849.01	66.8458034470142
GBM.TCGA.12.0821.01A.01R.1849.01	70.999826432728
GBM.TCGA.12.3650.01A.01R.1849.01	59.2692052290299
GBM.TCGA.12.3652.01A.01R.1849.01	69.7328313914983
GBM.TCGA.12.3653.01A.01R.1849.01	65.7197774668566
GBM.TCGA.12.5295.01A.01R.1849.01	61.8663747920578
GBM.TCGA.12.5299.01A.02R.1849.01	66.8657082337877
OV.TCGA.13.0714.01A.01R.1564.13	54.4190939149398
OV.TCGA.13.0726.01A.01R.1564.13	59.3344417659262
OV.TCGA.13.0795.01A.01R.1564.13	48.3788680900566
OV.TCGA.13.0800.01A.01R.1564.13	37.565961786511
OV.TCGA.13.0804.01A.01R.1564.13	54.3333370351687
OV.TCGA.13.0883.01A.02R.1569.13	62.4767125520501
OV.TCGA.13.0884.01B.01R.1565.13	50.9590834030207
OV.TCGA.13.0885.01A.02R.1569.13	55.3367354198609
OV.TCGA.13.0886.01A.01R.1569.13	55.8465640195719
OV.TCGA.13.0887.01A.01R.1564.13	57.7279774626932
OV.TCGA.13.0888.01A.01R.1564.13	56.6053215001971
OV.TCGA.13.0891.01A.01R.1564.13	50.6668612306124
OV.TCGA.13.0893.01B.01R.1565.13	53.6152219454832
