patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	58.9407146082057
GBM.TCGA.02.0055.01A.01R.1849.01	62.627878434207
GBM.TCGA.02.2483.01A.01R.1849.01	64.3607547381324
GBM.TCGA.02.2485.01A.01R.1849.01	65.7418618844586
GBM.TCGA.02.2486.01A.01R.1849.01	64.4733992749419
OV.TCGA.04.1331.01A.01R.1569.13	51.9548259551335
OV.TCGA.04.1341.01A.01R.1564.13	55.3962238551594
OV.TCGA.04.1343.01A.01R.1564.13	47.3518592794176
OV.TCGA.04.1347.01A.01R.1564.13	47.4223326534205
OV.TCGA.04.1356.01A.01R.1569.13	58.3417607663172
OV.TCGA.04.1357.01A.01R.1565.13	38.5025349952951
OV.TCGA.04.1361.01A.01R.1565.13	54.5812175225424
OV.TCGA.04.1362.01A.01R.1565.13	47.4569464683411
OV.TCGA.04.1542.01A.01R.1566.13	43.7713914894839
OV.TCGA.04.1648.01A.01R.1567.13	56.7487682842981
OV.TCGA.04.1651.01A.01R.1567.13	47.3590823871842
OV.TCGA.04.1655.01A.01R.1566.13	53.9915665517184
LUAD.TCGA.05.4244.01A.01R.1107.07	69.2233157094482
LUAD.TCGA.05.4249.01A.01R.1107.07	58.0137351630739
LUAD.TCGA.05.4250.01A.01R.1107.07	67.6870167428956
LUAD.TCGA.05.4384.01A.01R.1755.07	58.2959386408597
LUAD.TCGA.05.4389.01A.01R.1206.07	68.6922380050084
LUAD.TCGA.05.4390.01A.02R.1755.07	66.9587777039704
LUAD.TCGA.05.4395.01A.01R.1206.07	70.5623332266112
LUAD.TCGA.05.4396.01A.21R.1858.07	56.5051183847674
LUAD.TCGA.05.4397.01A.01R.1206.07	59.3456977540013
LUAD.TCGA.05.4398.01A.01R.1206.07	57.4488863619457
LUAD.TCGA.05.4402.01A.01R.1206.07	60.5639765611654
LUAD.TCGA.05.4403.01A.01R.1206.07	65.7877566444863
LUAD.TCGA.05.4405.01A.21R.1858.07	56.1142625200249
LUAD.TCGA.05.4415.01A.22R.1858.07	71.8543009418745
LUAD.TCGA.05.4417.01A.22R.1858.07	63.0550994242293
