patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	58.1735360673257
GBM.TCGA.02.0055.01A.01R.1849.01	62.627878434207
GBM.TCGA.02.2483.01A.01R.1849.01	65.0344707796177
GBM.TCGA.02.2485.01A.01R.1849.01	68.5061928973132
GBM.TCGA.02.2486.01A.01R.1849.01	61.9255937597601
OV.TCGA.04.1331.01A.01R.1569.13	51.3561748535549
OV.TCGA.04.1341.01A.01R.1564.13	55.3962238551594
OV.TCGA.04.1343.01A.01R.1564.13	47.3518592794176
OV.TCGA.04.1347.01A.01R.1564.13	46.2007935807241
OV.TCGA.04.1356.01A.01R.1569.13	56.7533800784517
OV.TCGA.04.1357.01A.01R.1565.13	38.5025349952951
OV.TCGA.04.1361.01A.01R.1565.13	53.5716242092284
OV.TCGA.04.1362.01A.01R.1565.13	47.4569464683411
OV.TCGA.04.1542.01A.01R.1566.13	43.5499090152521
OV.TCGA.04.1648.01A.01R.1567.13	56.7487682842981
OV.TCGA.04.1651.01A.01R.1567.13	47.3590823871842
OV.TCGA.04.1655.01A.01R.1566.13	53.9915665517184
LUAD.TCGA.05.4244.01A.01R.1107.07	69.4725600587345
LUAD.TCGA.05.4249.01A.01R.1107.07	55.7032252817975
LUAD.TCGA.05.4250.01A.01R.1107.07	65.8616427031002
LUAD.TCGA.05.4384.01A.01R.1755.07	60.3481330893305
LUAD.TCGA.05.4389.01A.01R.1206.07	69.3420221007745
LUAD.TCGA.05.4390.01A.02R.1755.07	65.1938541097061
LUAD.TCGA.05.4395.01A.01R.1206.07	66.2006695780836
LUAD.TCGA.05.4396.01A.21R.1858.07	56.5051183847674
LUAD.TCGA.05.4397.01A.01R.1206.07	61.1896207703406
LUAD.TCGA.05.4398.01A.01R.1206.07	57.4488863619457
LUAD.TCGA.05.4402.01A.01R.1206.07	60.5639765611654
LUAD.TCGA.05.4403.01A.01R.1206.07	63.1186893189453
LUAD.TCGA.05.4405.01A.21R.1858.07	56.1142625200249
LUAD.TCGA.05.4415.01A.22R.1858.07	73.013625559422
LUAD.TCGA.05.4417.01A.22R.1858.07	65.6020320771874
LUAD.TCGA.05.4418.01A.01R.1206.07	72.3842866069931
LUAD.TCGA.05.4420.01A.01R.1206.07	62.5473909664759
LUAD.TCGA.05.4422.01A.01R.1206.07	68.3662481500353
LUAD.TCGA.05.4425.01A.01R.1755.07	62.8962879663715
LUAD.TCGA.05.4426.01A.01R.1206.07	64.1882966920452
LUAD.TCGA.05.4427.01A.21R.1858.07	67.3743209483232
LUAD.TCGA.05.4432.01A.01R.1206.07	62.4515824178151
LUAD.TCGA.05.4433.01A.22R.1858.07	67.0832908747086
LUAD.TCGA.05.4434.01A.01R.1206.07	64.8955715238587
LUAD.TCGA.05.5423.01A.01R.1628.07	66.7234173719997
LUAD.TCGA.05.5425.01A.02R.1628.07	62.8508856901354
LUAD.TCGA.05.5428.01A.01R.1628.07	64.0184235450588
LUAD.TCGA.05.5429.01A.01R.1628.07	69.3241083861649
LUAD.TCGA.05.5715.01A.01R.1628.07	64.8297461787167
GBM.TCGA.06.0125.01A.01R.1849.01	65.6306163397973
GBM.TCGA.06.0125.02A.11R.2005.01	61.7014241107814
GBM.TCGA.06.0129.01A.01R.1849.01	56.3235963941879
GBM.TCGA.06.0152.02A.01R.2005.01	68.555787238898
GBM.TCGA.06.0157.01A.01R.1849.01	67.5126725100837
GBM.TCGA.06.0158.01A.01R.1849.01	63.7569010959654
GBM.TCGA.06.0168.01A.01R.1849.01	60.4164037017969
GBM.TCGA.06.0174.01A.01R.1849.01	67.5203665739246
GBM.TCGA.06.0184.01A.01R.1849.01	64.5869265818074
GBM.TCGA.06.0187.01A.01R.1849.01	65.6142184416214
GBM.TCGA.06.0190.01A.01R.1849.01	64.7764725607525
GBM.TCGA.06.0190.02A.01R.2005.01	63.7694512190962
GBM.TCGA.06.0210.02A.01R.2005.01	61.8082580376524
GBM.TCGA.06.0211.01B.01R.1849.01	66.3535120265135
GBM.TCGA.06.0211.02A.02R.2005.01	70.495390653237
GBM.TCGA.06.0219.01A.01R.1849.01	66.3233716984403
GBM.TCGA.06.0221.02A.11R.2005.01	60.8520993335786
GBM.TCGA.06.0238.01A.02R.1849.01	60.5555410459793
GBM.TCGA.06.0644.01A.02R.1849.01	64.3559836376119
GBM.TCGA.06.0645.01A.01R.1849.01	65.2271645954874
GBM.TCGA.06.0646.01A.01R.1849.01	68.3583730333917
GBM.TCGA.06.0649.01B.01R.1849.01	61.6060471603928
GBM.TCGA.06.0686.01A.01R.1849.01	60.6979195810017
GBM.TCGA.06.0743.01A.01R.1849.01	65.3823891915228
GBM.TCGA.06.0744.01A.01R.1849.01	59.6640283831441
GBM.TCGA.06.0745.01A.01R.1849.01	66.7541629980467
GBM.TCGA.06.0747.01A.01R.1849.01	65.1587473620027
GBM.TCGA.06.0749.01A.01R.1849.01	58.520575887161
GBM.TCGA.06.0750.01A.01R.1849.01	66.2048010508178
GBM.TCGA.06.0878.01A.01R.1849.01	63.4565349066015
GBM.TCGA.06.0882.01A.01R.1849.01	60.881449010567
GBM.TCGA.06.1804.01A.01R.1849.01	60.8022267655592
GBM.TCGA.06.2557.01A.01R.1849.01	55.5461877997338
GBM.TCGA.06.2558.01A.01R.1849.01	64.9471397981352
GBM.TCGA.06.2559.01A.01R.1849.01	67.5203665739246
GBM.TCGA.06.2561.01A.02R.1849.01	62.5626831208624
GBM.TCGA.06.2562.01A.01R.1849.01	67.7376958387868
GBM.TCGA.06.2563.01A.01R.1849.01	61.935481300605
GBM.TCGA.06.2564.01A.01R.1849.01	61.9106155053615
GBM.TCGA.06.2565.01A.01R.1849.01	62.399730893917
GBM.TCGA.06.2567.01A.01R.1849.01	63.262465277244
GBM.TCGA.06.2569.01A.01R.1849.01	60.8534682107101
GBM.TCGA.06.2570.01A.01R.1849.01	63.9645096219425
GBM.TCGA.06.5408.01A.01R.1849.01	67.7176676074276
GBM.TCGA.06.5411.01A.01R.1849.01	62.0853842990901
GBM.TCGA.06.5413.01A.01R.1849.01	67.7418055183378
GBM.TCGA.06.5414.01A.01R.1849.01	66.0168118628553
GBM.TCGA.06.5418.01A.01R.1849.01	65.4582058655346
GBM.TCGA.06.5856.01A.01R.1849.01	66.9789266926841
GBM.TCGA.06.5858.01A.01R.1849.01	66.4436887349359
GBM.TCGA.06.5859.01A.01R.1849.01	64.2355990300783
GBM.TCGA.08.0386.01A.01R.1849.01	63.0130912715801
OV.TCGA.09.0364.01A.02R.1564.13	51.8234721267632
OV.TCGA.09.0369.01A.01R.1564.13	48.5935701694348
OV.TCGA.09.1673.01A.01R.1566.13	44.8653174507803
OV.TCGA.09.2044.01B.01R.1568.13	50.4744010007983
OV.TCGA.09.2051.01A.01R.1568.13	50.0114117907208
OV.TCGA.09.2053.01C.01R.1568.13	49.9651923313615
OV.TCGA.10.0927.01A.02R.1564.13	45.2585141878282
OV.TCGA.10.0928.01A.02R.1564.13	52.8736955120021
OV.TCGA.10.0931.01A.01R.1564.13	48.8550530606056
OV.TCGA.10.0933.01A.01R.1569.13	51.3586788795463
OV.TCGA.10.0937.01A.02R.1564.13	45.0654750192522
GBM.TCGA.12.0616.01A.01R.1849.01	61.8071061794682
GBM.TCGA.12.0618.01A.01R.1849.01	69.9653792848639
GBM.TCGA.12.0619.01A.01R.1849.01	68.1781584921436
GBM.TCGA.12.0821.01A.01R.1849.01	70.5964521033198
GBM.TCGA.12.3650.01A.01R.1849.01	57.5326700228096
GBM.TCGA.12.3652.01A.01R.1849.01	67.6368539407698
GBM.TCGA.12.3653.01A.01R.1849.01	58.758816318884
GBM.TCGA.12.5295.01A.01R.1849.01	57.5690822656438
GBM.TCGA.12.5299.01A.02R.1849.01	68.6637582896821
OV.TCGA.13.0714.01A.01R.1564.13	44.1244656946433
OV.TCGA.13.0726.01A.01R.1564.13	49.9013894823295
OV.TCGA.13.0795.01A.01R.1564.13	41.9661998204731
OV.TCGA.13.0800.01A.01R.1564.13	38.7348524129962
OV.TCGA.13.0804.01A.01R.1564.13	49.3917501035892
OV.TCGA.13.0883.01A.02R.1569.13	50.5522617747739
OV.TCGA.13.0884.01B.01R.1565.13	38.3149668226806
OV.TCGA.13.0885.01A.02R.1569.13	43.297379456693
OV.TCGA.13.0886.01A.01R.1569.13	55.9510872910616
OV.TCGA.13.0887.01A.01R.1564.13	52.4172351386903
OV.TCGA.13.0888.01A.01R.1564.13	53.2453576866235
OV.TCGA.13.0891.01A.01R.1564.13	50.465044574235
OV.TCGA.13.0893.01B.01R.1565.13	49.1544169361761
OV.TCGA.13.0897.01A.01R.1564.13	54.5408653146184
OV.TCGA.13.0905.01B.01R.1565.13	46.6884368798306
OV.TCGA.13.0911.01A.01R.1564.13	50.3146377253989
OV.TCGA.13.0916.01A.01R.1564.13	49.1299110722863
OV.TCGA.13.0923.01A.01R.1564.13	51.1729561433596
OV.TCGA.13.1403.01A.01R.1565.13	47.4569464683411
