patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	59.674053952871
GBM.TCGA.02.0055.01A.01R.1849.01	69.7969014818395
GBM.TCGA.02.2483.01A.01R.1849.01	56.9785510639734
GBM.TCGA.02.2485.01A.01R.1849.01	56.8728138938426
GBM.TCGA.02.2486.01A.01R.1849.01	61.8145145097207
OV.TCGA.04.1331.01A.01R.1569.13	43.1600872519744
OV.TCGA.04.1341.01A.01R.1564.13	37.4637676876613
OV.TCGA.04.1343.01A.01R.1564.13	36.5607529658781
OV.TCGA.04.1347.01A.01R.1564.13	39.0685856611376
OV.TCGA.04.1356.01A.01R.1569.13	39.191575505355
OV.TCGA.04.1357.01A.01R.1565.13	31.7619899812346
OV.TCGA.04.1361.01A.01R.1565.13	43.8517497633147
OV.TCGA.04.1362.01A.01R.1565.13	38.299951444065
OV.TCGA.04.1542.01A.01R.1566.13	33.8942546113422
OV.TCGA.04.1648.01A.01R.1567.13	46.8653644675622
OV.TCGA.04.1651.01A.01R.1567.13	43.5794209424637
OV.TCGA.04.1655.01A.01R.1566.13	43.6360484941173
LUAD.TCGA.05.4244.01A.01R.1107.07	30.0412136786417
LUAD.TCGA.05.4249.01A.01R.1107.07	33.73110490632
LUAD.TCGA.05.4250.01A.01R.1107.07	45.5098162373345
LUAD.TCGA.05.4384.01A.01R.1755.07	32.1925591676619
LUAD.TCGA.05.4389.01A.01R.1206.07	34.382177894564
LUAD.TCGA.05.4390.01A.02R.1755.07	32.288059063948
LUAD.TCGA.05.4395.01A.01R.1206.07	45.77751847282
LUAD.TCGA.05.4396.01A.21R.1858.07	34.6197654621803
LUAD.TCGA.05.4397.01A.01R.1206.07	39.2104865300231
LUAD.TCGA.05.4398.01A.01R.1206.07	41.1290846909112
LUAD.TCGA.05.4402.01A.01R.1206.07	41.7998676785063
LUAD.TCGA.05.4403.01A.01R.1206.07	47.2720972477577
LUAD.TCGA.05.4405.01A.21R.1858.07	32.1799975545233
LUAD.TCGA.05.4415.01A.22R.1858.07	54.3071350602564
LUAD.TCGA.05.4417.01A.22R.1858.07	40.7578278996058
LUAD.TCGA.05.4418.01A.01R.1206.07	39.6196603295543
LUAD.TCGA.05.4420.01A.01R.1206.07	34.7023186910086
LUAD.TCGA.05.4422.01A.01R.1206.07	28.3404658644274
LUAD.TCGA.05.4425.01A.01R.1755.07	40.3395638983766
LUAD.TCGA.05.4426.01A.01R.1206.07	45.6842598478283
LUAD.TCGA.05.4427.01A.21R.1858.07	36.3125727521973
LUAD.TCGA.05.4432.01A.01R.1206.07	41.3406223106791
LUAD.TCGA.05.4433.01A.22R.1858.07	37.6477996555521
LUAD.TCGA.05.4434.01A.01R.1206.07	46.5328235854989
LUAD.TCGA.05.5423.01A.01R.1628.07	32.0349528051624
LUAD.TCGA.05.5425.01A.02R.1628.07	30.8200116043795
LUAD.TCGA.05.5428.01A.01R.1628.07	32.8385236842561
LUAD.TCGA.05.5429.01A.01R.1628.07	48.4692470105052
LUAD.TCGA.05.5715.01A.01R.1628.07	37.4480409136652
GBM.TCGA.06.0125.01A.01R.1849.01	66.154926480853
GBM.TCGA.06.0125.02A.11R.2005.01	65.1488164031203
GBM.TCGA.06.0129.01A.01R.1849.01	51.4347234249077
GBM.TCGA.06.0152.02A.01R.2005.01	64.1394641010232
GBM.TCGA.06.0157.01A.01R.1849.01	60.8731894145711
GBM.TCGA.06.0158.01A.01R.1849.01	58.9843314028374
GBM.TCGA.06.0168.01A.01R.1849.01	56.5476422023528
GBM.TCGA.06.0174.01A.01R.1849.01	63.2417336317711
GBM.TCGA.06.0184.01A.01R.1849.01	61.930606862294
GBM.TCGA.06.0187.01A.01R.1849.01	63.5551257660539
GBM.TCGA.06.0190.01A.01R.1849.01	64.1099050573684
GBM.TCGA.06.0190.02A.01R.2005.01	72.0787899805463
GBM.TCGA.06.0210.02A.01R.2005.01	60.1224055873904
GBM.TCGA.06.0211.01B.01R.1849.01	63.3476493186024
GBM.TCGA.06.0211.02A.02R.2005.01	62.3364024077613
GBM.TCGA.06.0219.01A.01R.1849.01	56.4841928877643
GBM.TCGA.06.0221.02A.11R.2005.01	56.6218650593855
