patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	61.0666832743052
GBM.TCGA.02.0055.01A.01R.1849.01	72.3764264670517
GBM.TCGA.02.2483.01A.01R.1849.01	55.6886183509177
GBM.TCGA.02.2485.01A.01R.1849.01	50.8938119166572
GBM.TCGA.02.2486.01A.01R.1849.01	61.8145145097207
OV.TCGA.04.1331.01A.01R.1569.13	43.8199266785461
OV.TCGA.04.1341.01A.01R.1564.13	37.4637676876613
OV.TCGA.04.1343.01A.01R.1564.13	30.882232117455
OV.TCGA.04.1347.01A.01R.1564.13	42.3149079823201
OV.TCGA.04.1356.01A.01R.1569.13	37.6647302934208
OV.TCGA.04.1357.01A.01R.1565.13	28.4917572091451
OV.TCGA.04.1361.01A.01R.1565.13	44.4212611874577
OV.TCGA.04.1362.01A.01R.1565.13	39.8919105055809
OV.TCGA.04.1542.01A.01R.1566.13	33.9998824692976
OV.TCGA.04.1648.01A.01R.1567.13	43.5769810674097
OV.TCGA.04.1651.01A.01R.1567.13	44.6082729707629
OV.TCGA.04.1655.01A.01R.1566.13	42.6678331382484
LUAD.TCGA.05.4244.01A.01R.1107.07	29.7452563767739
LUAD.TCGA.05.4249.01A.01R.1107.07	29.8069510655362
LUAD.TCGA.05.4250.01A.01R.1107.07	46.9663138325972
LUAD.TCGA.05.4384.01A.01R.1755.07	34.8616134410551
LUAD.TCGA.05.4389.01A.01R.1206.07	34.382177894564
LUAD.TCGA.05.4390.01A.02R.1755.07	31.2077610441645
LUAD.TCGA.05.4395.01A.01R.1206.07	46.0876085355631
LUAD.TCGA.05.4396.01A.21R.1858.07	32.5526177908771
LUAD.TCGA.05.4397.01A.01R.1206.07	38.1369947765386
LUAD.TCGA.05.4398.01A.01R.1206.07	41.8999978146881
LUAD.TCGA.05.4402.01A.01R.1206.07	41.5788189765944
LUAD.TCGA.05.4403.01A.01R.1206.07	44.8210878918243
LUAD.TCGA.05.4405.01A.21R.1858.07	32.1799975545233
LUAD.TCGA.05.4415.01A.22R.1858.07	56.4806598418105
LUAD.TCGA.05.4417.01A.22R.1858.07	41.7930206743356
LUAD.TCGA.05.4418.01A.01R.1206.07	39.6196603295543
LUAD.TCGA.05.4420.01A.01R.1206.07	31.6433266890383
LUAD.TCGA.05.4422.01A.01R.1206.07	27.4286339227271
LUAD.TCGA.05.4425.01A.01R.1755.07	40.3395638983766
LUAD.TCGA.05.4426.01A.01R.1206.07	43.3642669727954
LUAD.TCGA.05.4427.01A.21R.1858.07	37.2714059463106
LUAD.TCGA.05.4432.01A.01R.1206.07	40.2653294177259
LUAD.TCGA.05.4433.01A.22R.1858.07	39.1175242646944
LUAD.TCGA.05.4434.01A.01R.1206.07	44.8809551877273
LUAD.TCGA.05.5423.01A.01R.1628.07	31.8208883226941
LUAD.TCGA.05.5425.01A.02R.1628.07	31.9500414934174
LUAD.TCGA.05.5428.01A.01R.1628.07	30.6333126557304
LUAD.TCGA.05.5429.01A.01R.1628.07	48.4692470105052
LUAD.TCGA.05.5715.01A.01R.1628.07	37.3485640952447
GBM.TCGA.06.0125.01A.01R.1849.01	63.725954564037
GBM.TCGA.06.0125.02A.11R.2005.01	62.7494611044306
GBM.TCGA.06.0129.01A.01R.1849.01	53.6676984106588
GBM.TCGA.06.0152.02A.01R.2005.01	63.5551257660539
GBM.TCGA.06.0157.01A.01R.1849.01	60.8731894145711
GBM.TCGA.06.0158.01A.01R.1849.01	55.5321312648354
GBM.TCGA.06.0168.01A.01R.1849.01	54.0416592545276
GBM.TCGA.06.0174.01A.01R.1849.01	61.7669955603306
GBM.TCGA.06.0184.01A.01R.1849.01	57.5029684701279
GBM.TCGA.06.0187.01A.01R.1849.01	59.9600316620886
GBM.TCGA.06.0190.01A.01R.1849.01	65.1079307347762
GBM.TCGA.06.0190.02A.01R.2005.01	72.0787899805463
GBM.TCGA.06.0210.02A.01R.2005.01	60.1224055873904
GBM.TCGA.06.0211.01B.01R.1849.01	64.132658909214
GBM.TCGA.06.0211.02A.02R.2005.01	58.9839242959213
GBM.TCGA.06.0219.01A.01R.1849.01	53.9297014371054
GBM.TCGA.06.0221.02A.11R.2005.01	59.2860637341322
GBM.TCGA.06.0238.01A.02R.1849.01	55.3825316597272
GBM.TCGA.06.0644.01A.02R.1849.01	68.2908944599385
GBM.TCGA.06.0645.01A.01R.1849.01	59.3070151682301
GBM.TCGA.06.0646.01A.01R.1849.01	59.5058190359176
GBM.TCGA.06.0649.01B.01R.1849.01	58.6775602291981
GBM.TCGA.06.0686.01A.01R.1849.01	59.6190047398626
GBM.TCGA.06.0743.01A.01R.1849.01	59.5391427221101
GBM.TCGA.06.0744.01A.01R.1849.01	51.3824068166012
GBM.TCGA.06.0745.01A.01R.1849.01	55.8549693593569
GBM.TCGA.06.0747.01A.01R.1849.01	60.8561738978752
GBM.TCGA.06.0749.01A.01R.1849.01	52.741078611813
GBM.TCGA.06.0750.01A.01R.1849.01	62.793612211492
GBM.TCGA.06.0878.01A.01R.1849.01	62.7326074185103
GBM.TCGA.06.0882.01A.01R.1849.01	53.7593089687081
GBM.TCGA.06.1804.01A.01R.1849.01	52.7905581708736
GBM.TCGA.06.2557.01A.01R.1849.01	62.7354692586008
GBM.TCGA.06.2558.01A.01R.1849.01	56.9038907812103
GBM.TCGA.06.2559.01A.01R.1849.01	60.2220250306105
GBM.TCGA.06.2561.01A.02R.1849.01	61.2663144664956
GBM.TCGA.06.2562.01A.01R.1849.01	66.1076853143832
GBM.TCGA.06.2563.01A.01R.1849.01	64.6917701372029
GBM.TCGA.06.2564.01A.01R.1849.01	61.2844747962435
GBM.TCGA.06.2565.01A.01R.1849.01	64.6922358144501
GBM.TCGA.06.2567.01A.01R.1849.01	56.8321285979262
GBM.TCGA.06.2569.01A.01R.1849.01	76.739755106062
GBM.TCGA.06.2570.01A.01R.1849.01	62.3790530982994
GBM.TCGA.06.5408.01A.01R.1849.01	66.2866232796705
GBM.TCGA.06.5411.01A.01R.1849.01	53.8671361090309
GBM.TCGA.06.5413.01A.01R.1849.01	66.8990623065167
GBM.TCGA.06.5414.01A.01R.1849.01	63.5551257660539
GBM.TCGA.06.5418.01A.01R.1849.01	55.4515170367632
GBM.TCGA.06.5856.01A.01R.1849.01	63.5004719832619
GBM.TCGA.06.5858.01A.01R.1849.01	61.5119577436661
GBM.TCGA.06.5859.01A.01R.1849.01	56.0210571049503
GBM.TCGA.08.0386.01A.01R.1849.01	50.7792481006887
OV.TCGA.09.0364.01A.02R.1564.13	43.0547999132776
OV.TCGA.09.0369.01A.01R.1564.13	44.0216220973863
OV.TCGA.09.1673.01A.01R.1566.13	41.7039565831995
OV.TCGA.09.2044.01B.01R.1568.13	38.8534307578679
OV.TCGA.09.2051.01A.01R.1568.13	44.0826947886517
OV.TCGA.09.2053.01C.01R.1568.13	50.1135528241324
OV.TCGA.10.0927.01A.02R.1564.13	33.5529918532244
OV.TCGA.10.0928.01A.02R.1564.13	48.850831291891
OV.TCGA.10.0931.01A.01R.1564.13	34.2280079991193
OV.TCGA.10.0933.01A.01R.1569.13	50.254881648422
OV.TCGA.10.0937.01A.02R.1564.13	33.2252915819157
GBM.TCGA.12.0616.01A.01R.1849.01	59.5032251548879
GBM.TCGA.12.0618.01A.01R.1849.01	54.5240429091675
GBM.TCGA.12.0619.01A.01R.1849.01	62.7221587205663
GBM.TCGA.12.0821.01A.01R.1849.01	64.3331415862599
GBM.TCGA.12.3650.01A.01R.1849.01	59.6190047398626
GBM.TCGA.12.3652.01A.01R.1849.01	61.795723237025
GBM.TCGA.12.3653.01A.01R.1849.01	53.4368408284141
GBM.TCGA.12.5295.01A.01R.1849.01	61.1282783987587
GBM.TCGA.12.5299.01A.02R.1849.01	61.2082712464161
OV.TCGA.13.0714.01A.01R.1564.13	40.0442325952774
OV.TCGA.13.0726.01A.01R.1564.13	36.0009424161429
OV.TCGA.13.0795.01A.01R.1564.13	27.4689642668405
OV.TCGA.13.0800.01A.01R.1564.13	41.4663547903293
OV.TCGA.13.0804.01A.01R.1564.13	37.2942781914576
OV.TCGA.13.0883.01A.02R.1569.13	44.7420056846108
OV.TCGA.13.0884.01B.01R.1565.13	38.5385808408584
OV.TCGA.13.0885.01A.02R.1569.13	29.4584912355439
OV.TCGA.13.0886.01A.01R.1569.13	43.0714134489136
OV.TCGA.13.0887.01A.01R.1564.13	35.0585857614001
OV.TCGA.13.0888.01A.01R.1564.13	38.6764258667956
OV.TCGA.13.0891.01A.01R.1564.13	32.714567292235
OV.TCGA.13.0893.01B.01R.1565.13	35.9554280920337
OV.TCGA.13.0897.01A.01R.1564.13	40.6945725041942
OV.TCGA.13.0905.01B.01R.1565.13	41.6723768052017
OV.TCGA.13.0911.01A.01R.1564.13	44.1489493229187
OV.TCGA.13.0916.01A.01R.1564.13	32.5527122656566
OV.TCGA.13.0923.01A.01R.1564.13	47.0545581154375
OV.TCGA.13.1403.01A.01R.1565.13	40.9958901385944
OV.TCGA.13.1404.01A.01R.1565.13	48.1635744236648
OV.TCGA.13.1405.01A.01R.1565.13	51.6279489622955
OV.TCGA.13.1411.01A.01R.1565.13	51.8466294150146
OV.TCGA.13.1477.01A.01R.1565.13	47.3788987577776
OV.TCGA.13.1483.01A.01R.1565.13	42.3270048760598
OV.TCGA.13.1487.01A.01R.1565.13	43.5602339183105
OV.TCGA.13.1488.01A.01R.1565.13	38.5858546443315
OV.TCGA.13.1489.01A.01R.1565.13	39.5825182426645
OV.TCGA.13.1492.01A.01R.1565.13	55.0267522879596
OV.TCGA.13.1495.01A.01R.1565.13	47.9050202057389
OV.TCGA.13.1496.01A.01R.1565.13	40.1799300327515
OV.TCGA.13.1497.01A.01R.1565.13	40.345308160285
OV.TCGA.13.1498.01A.01R.1565.13	48.4731953285925
OV.TCGA.13.1499.01A.01R.1565.13	61.3359058278761
OV.TCGA.13.1501.01A.01R.1565.13	41.237451259091
OV.TCGA.13.1505.01A.01R.1565.13	57.3451865831967
