patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	70.7489392193305
GBM.TCGA.02.0055.01A.01R.1849.01	78.1962833003774
GBM.TCGA.02.2483.01A.01R.1849.01	71.8431349507211
GBM.TCGA.02.2485.01A.01R.1849.01	78.625242625192
GBM.TCGA.02.2486.01A.01R.1849.01	84.5132811759554
OV.TCGA.04.1331.01A.01R.1569.13	69.3377925468836
OV.TCGA.04.1341.01A.01R.1564.13	61.3939539961771
OV.TCGA.04.1343.01A.01R.1564.13	68.7818144764634
OV.TCGA.04.1347.01A.01R.1564.13	51.835134794141
OV.TCGA.04.1356.01A.01R.1569.13	81.0832531330338
OV.TCGA.04.1357.01A.01R.1565.13	66.1200946640043
OV.TCGA.04.1361.01A.01R.1565.13	56.3481932821455
OV.TCGA.04.1362.01A.01R.1565.13	73.3954866320373
OV.TCGA.04.1542.01A.01R.1566.13	49.9932432423044
OV.TCGA.04.1648.01A.01R.1567.13	75.8966841369347
OV.TCGA.04.1651.01A.01R.1567.13	73.0802267117999
OV.TCGA.04.1655.01A.01R.1566.13	61.9125115518158
LUAD.TCGA.05.4244.01A.01R.1107.07	77.5152036671808
LUAD.TCGA.05.4249.01A.01R.1107.07	75.9893697510888
LUAD.TCGA.05.4250.01A.01R.1107.07	82.1568882180841
LUAD.TCGA.05.4384.01A.01R.1755.07	66.1284838060893
LUAD.TCGA.05.4389.01A.01R.1206.07	66.5599820392286
LUAD.TCGA.05.4390.01A.02R.1755.07	72.618138964029
LUAD.TCGA.05.4395.01A.01R.1206.07	85.067880607692
LUAD.TCGA.05.4396.01A.21R.1858.07	79.1182241509287
LUAD.TCGA.05.4397.01A.01R.1206.07	77.5501169087217
LUAD.TCGA.05.4398.01A.01R.1206.07	79.9505054471417
LUAD.TCGA.05.4402.01A.01R.1206.07	76.0384053086134
LUAD.TCGA.05.4403.01A.01R.1206.07	79.2138282664888
LUAD.TCGA.05.4405.01A.21R.1858.07	59.8587396973972
LUAD.TCGA.05.4415.01A.22R.1858.07	79.4313279938604
LUAD.TCGA.05.4417.01A.22R.1858.07	77.8154831091239
