patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	49.357962627053
GBM.TCGA.02.0055.01A.01R.1849.01	39.7523574021983
GBM.TCGA.02.2483.01A.01R.1849.01	51.7883132194823
GBM.TCGA.02.2485.01A.01R.1849.01	45.8962142028982
GBM.TCGA.02.2486.01A.01R.1849.01	42.4379622785138
OV.TCGA.04.1331.01A.01R.1569.13	31.8123921496121
OV.TCGA.04.1341.01A.01R.1564.13	36.2045292476377
OV.TCGA.04.1343.01A.01R.1564.13	38.8851147939898
OV.TCGA.04.1347.01A.01R.1564.13	45.8259642642021
OV.TCGA.04.1356.01A.01R.1569.13	48.2211433516949
OV.TCGA.04.1357.01A.01R.1565.13	45.6908295247868
OV.TCGA.04.1361.01A.01R.1565.13	42.7305201242819
OV.TCGA.04.1362.01A.01R.1565.13	38.5330022017137
OV.TCGA.04.1542.01A.01R.1566.13	37.4528541761302
OV.TCGA.04.1648.01A.01R.1567.13	40.0419066914798
OV.TCGA.04.1651.01A.01R.1567.13	39.0824990725597
OV.TCGA.04.1655.01A.01R.1566.13	49.6479187766905
LUAD.TCGA.05.4244.01A.01R.1107.07	60.2251738780979
LUAD.TCGA.05.4249.01A.01R.1107.07	46.6572124987199
LUAD.TCGA.05.4250.01A.01R.1107.07	50.7846483428078
LUAD.TCGA.05.4384.01A.01R.1755.07	54.938171757952
LUAD.TCGA.05.4389.01A.01R.1206.07	62.7117689780281
LUAD.TCGA.05.4390.01A.02R.1755.07	53.6130822298325
LUAD.TCGA.05.4395.01A.01R.1206.07	65.4775351994729
LUAD.TCGA.05.4396.01A.21R.1858.07	59.0246681698135
LUAD.TCGA.05.4397.01A.01R.1206.07	47.2392997682565
LUAD.TCGA.05.4398.01A.01R.1206.07	49.8999303036488
LUAD.TCGA.05.4402.01A.01R.1206.07	41.1118477202243
LUAD.TCGA.05.4403.01A.01R.1206.07	55.9391678812205
LUAD.TCGA.05.4405.01A.21R.1858.07	60.4574938948499
LUAD.TCGA.05.4415.01A.22R.1858.07	54.9079746566894
LUAD.TCGA.05.4417.01A.22R.1858.07	48.3182015593691
LUAD.TCGA.05.4418.01A.01R.1206.07	66.0887192986564
LUAD.TCGA.05.4420.01A.01R.1206.07	54.2847889335333
LUAD.TCGA.05.4422.01A.01R.1206.07	43.2609011406332
LUAD.TCGA.05.4425.01A.01R.1755.07	61.17364229766
LUAD.TCGA.05.4426.01A.01R.1206.07	53.8542745988679
LUAD.TCGA.05.4427.01A.21R.1858.07	51.8696279251152
LUAD.TCGA.05.4432.01A.01R.1206.07	46.4773788572007
LUAD.TCGA.05.4433.01A.22R.1858.07	58.2304382693824
LUAD.TCGA.05.4434.01A.01R.1206.07	55.0464361153697
LUAD.TCGA.05.5423.01A.01R.1628.07	48.8776759720743
LUAD.TCGA.05.5425.01A.02R.1628.07	58.636993086146
LUAD.TCGA.05.5428.01A.01R.1628.07	55.7528146938394
LUAD.TCGA.05.5429.01A.01R.1628.07	65.832284803074
LUAD.TCGA.05.5715.01A.01R.1628.07	66.8433443215561
GBM.TCGA.06.0125.01A.01R.1849.01	51.1017845470194
GBM.TCGA.06.0125.02A.11R.2005.01	50.0898269229957
GBM.TCGA.06.0129.01A.01R.1849.01	53.4447814345309
GBM.TCGA.06.0152.02A.01R.2005.01	48.8120779633268
GBM.TCGA.06.0157.01A.01R.1849.01	45.515287343697
GBM.TCGA.06.0158.01A.01R.1849.01	51.6298127448989
GBM.TCGA.06.0168.01A.01R.1849.01	45.8205800616842
GBM.TCGA.06.0174.01A.01R.1849.01	49.747851027214
GBM.TCGA.06.0184.01A.01R.1849.01	50.7414521311281
GBM.TCGA.06.0187.01A.01R.1849.01	48.3243366435752
GBM.TCGA.06.0190.01A.01R.1849.01	46.9401403570616
GBM.TCGA.06.0190.02A.01R.2005.01	43.8524119432059
GBM.TCGA.06.0210.02A.01R.2005.01	49.6335025418989
GBM.TCGA.06.0211.01B.01R.1849.01	49.9594424366792
GBM.TCGA.06.0211.02A.02R.2005.01	46.9401403570616
GBM.TCGA.06.0219.01A.01R.1849.01	47.4622492822553
GBM.TCGA.06.0221.02A.11R.2005.01	53.5504251457942
GBM.TCGA.06.0238.01A.02R.1849.01	48.9536642544889
GBM.TCGA.06.0644.01A.02R.1849.01	43.7966977152056
GBM.TCGA.06.0645.01A.01R.1849.01	46.9401403570616
GBM.TCGA.06.0646.01A.01R.1849.01	49.2279407675222
GBM.TCGA.06.0649.01B.01R.1849.01	47.3597427075974
GBM.TCGA.06.0686.01A.01R.1849.01	50.3416922968578
GBM.TCGA.06.0743.01A.01R.1849.01	52.2314270161975
GBM.TCGA.06.0744.01A.01R.1849.01	50.8479375121224
GBM.TCGA.06.0745.01A.01R.1849.01	49.4793066284021
GBM.TCGA.06.0747.01A.01R.1849.01	49.7319956207612
GBM.TCGA.06.0749.01A.01R.1849.01	52.7670603083798
GBM.TCGA.06.0750.01A.01R.1849.01	43.2748936149898
GBM.TCGA.06.0878.01A.01R.1849.01	50.8182986831156
GBM.TCGA.06.0882.01A.01R.1849.01	55.6620655072095
GBM.TCGA.06.1804.01A.01R.1849.01	48.7452367008068
GBM.TCGA.06.2557.01A.01R.1849.01	48.4938409642355
GBM.TCGA.06.2558.01A.01R.1849.01	50.3013412024147
GBM.TCGA.06.2559.01A.01R.1849.01	49.747851027214
GBM.TCGA.06.2561.01A.02R.1849.01	52.8388034723385
GBM.TCGA.06.2562.01A.01R.1849.01	48.5193335865127
GBM.TCGA.06.2563.01A.01R.1849.01	45.8036953492606
GBM.TCGA.06.2564.01A.01R.1849.01	51.1588520316165
GBM.TCGA.06.2565.01A.01R.1849.01	46.8040831258469
GBM.TCGA.06.2567.01A.01R.1849.01	46.5976194494481
GBM.TCGA.06.2569.01A.01R.1849.01	41.2281076966352
GBM.TCGA.06.2570.01A.01R.1849.01	48.3910820751543
GBM.TCGA.06.5408.01A.01R.1849.01	50.8393083375132
GBM.TCGA.06.5411.01A.01R.1849.01	53.7381963735253
GBM.TCGA.06.5413.01A.01R.1849.01	48.3987945834836
GBM.TCGA.06.5414.01A.01R.1849.01	47.6491910957217
GBM.TCGA.06.5418.01A.01R.1849.01	47.6491910957217
GBM.TCGA.06.5856.01A.01R.1849.01	47.1583421094194
