patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	49.9605905593632
GBM.TCGA.02.0055.01A.01R.1849.01	39.7523574021983
GBM.TCGA.02.2483.01A.01R.1849.01	50.8037225659764
GBM.TCGA.02.2485.01A.01R.1849.01	46.4428105126059
GBM.TCGA.02.2486.01A.01R.1849.01	43.9402690045982
OV.TCGA.04.1331.01A.01R.1569.13	31.8123921496121
OV.TCGA.04.1341.01A.01R.1564.13	35.6847704945747
OV.TCGA.04.1343.01A.01R.1564.13	38.8851147939898
OV.TCGA.04.1347.01A.01R.1564.13	48.4893078646418
OV.TCGA.04.1356.01A.01R.1569.13	42.8304196056668
OV.TCGA.04.1357.01A.01R.1565.13	41.4327608997866
OV.TCGA.04.1361.01A.01R.1565.13	43.6321086028726
OV.TCGA.04.1362.01A.01R.1565.13	38.5330022017137
OV.TCGA.04.1542.01A.01R.1566.13	37.7423910372025
OV.TCGA.04.1648.01A.01R.1567.13	40.0419066914798
OV.TCGA.04.1651.01A.01R.1567.13	40.7612429135794
OV.TCGA.04.1655.01A.01R.1566.13	49.6479187766905
LUAD.TCGA.05.4244.01A.01R.1107.07	62.3267627629078
LUAD.TCGA.05.4249.01A.01R.1107.07	48.2717104868212
LUAD.TCGA.05.4250.01A.01R.1107.07	52.8064856693152
LUAD.TCGA.05.4384.01A.01R.1755.07	52.9922296185557
LUAD.TCGA.05.4389.01A.01R.1206.07	62.7117689780281
LUAD.TCGA.05.4390.01A.02R.1755.07	55.9033734101273
LUAD.TCGA.05.4395.01A.01R.1206.07	67.6745094026556
LUAD.TCGA.05.4396.01A.21R.1858.07	65.2708038880052
LUAD.TCGA.05.4397.01A.01R.1206.07	47.2392997682565
LUAD.TCGA.05.4398.01A.01R.1206.07	52.516172254531
LUAD.TCGA.05.4402.01A.01R.1206.07	43.0356278675616
LUAD.TCGA.05.4403.01A.01R.1206.07	53.1696753853505
LUAD.TCGA.05.4405.01A.21R.1858.07	60.5197771837938
LUAD.TCGA.05.4415.01A.22R.1858.07	55.6417233111474
LUAD.TCGA.05.4417.01A.22R.1858.07	48.3182015593691
LUAD.TCGA.05.4418.01A.01R.1206.07	64.7458655021706
LUAD.TCGA.05.4420.01A.01R.1206.07	54.2847889335333
LUAD.TCGA.05.4422.01A.01R.1206.07	46.7785411866136
LUAD.TCGA.05.4425.01A.01R.1755.07	59.2174596436791
LUAD.TCGA.05.4426.01A.01R.1206.07	53.8542745988679
LUAD.TCGA.05.4427.01A.21R.1858.07	51.8696279251152
LUAD.TCGA.05.4432.01A.01R.1206.07	44.7256923004803
LUAD.TCGA.05.4433.01A.22R.1858.07	58.3634890461416
LUAD.TCGA.05.4434.01A.01R.1206.07	55.0464361153697
LUAD.TCGA.05.5423.01A.01R.1628.07	44.9286296029561
LUAD.TCGA.05.5425.01A.02R.1628.07	61.9446414474053
LUAD.TCGA.05.5428.01A.01R.1628.07	62.3493497455287
LUAD.TCGA.05.5429.01A.01R.1628.07	63.592678931451
LUAD.TCGA.05.5715.01A.01R.1628.07	66.8433443215561
GBM.TCGA.06.0125.01A.01R.1849.01	51.4970450729922
GBM.TCGA.06.0125.02A.11R.2005.01	50.2144375942601
GBM.TCGA.06.0129.01A.01R.1849.01	51.7809553380218
GBM.TCGA.06.0152.02A.01R.2005.01	47.2732577626118
GBM.TCGA.06.0157.01A.01R.1849.01	49.5604177584782
GBM.TCGA.06.0158.01A.01R.1849.01	53.1197876299682
GBM.TCGA.06.0168.01A.01R.1849.01	51.6392168105963
GBM.TCGA.06.0174.01A.01R.1849.01	49.8012127874513
GBM.TCGA.06.0184.01A.01R.1849.01	51.6833089668086
GBM.TCGA.06.0187.01A.01R.1849.01	48.4364240172008
GBM.TCGA.06.0190.01A.01R.1849.01	46.9401403570616
GBM.TCGA.06.0190.02A.01R.2005.01	43.8524119432059
GBM.TCGA.06.0210.02A.01R.2005.01	48.4693955024353
GBM.TCGA.06.0211.01B.01R.1849.01	51.5119161366225
GBM.TCGA.06.0211.02A.02R.2005.01	46.9401403570616
GBM.TCGA.06.0219.01A.01R.1849.01	48.8393056902024
GBM.TCGA.06.0221.02A.11R.2005.01	54.4893941067085
GBM.TCGA.06.0238.01A.02R.1849.01	48.566051613017
GBM.TCGA.06.0644.01A.02R.1849.01	43.7966977152056
GBM.TCGA.06.0645.01A.01R.1849.01	46.9401403570616
GBM.TCGA.06.0646.01A.01R.1849.01	49.2279407675222
GBM.TCGA.06.0649.01B.01R.1849.01	45.555787342444
GBM.TCGA.06.0686.01A.01R.1849.01	48.9895618868591
GBM.TCGA.06.0743.01A.01R.1849.01	48.2665179534156
GBM.TCGA.06.0744.01A.01R.1849.01	50.8479375121224
GBM.TCGA.06.0745.01A.01R.1849.01	49.6872303237833
GBM.TCGA.06.0747.01A.01R.1849.01	49.9436023246234
GBM.TCGA.06.0749.01A.01R.1849.01	52.7670603083798
GBM.TCGA.06.0750.01A.01R.1849.01	49.0764411040109
GBM.TCGA.06.0878.01A.01R.1849.01	47.049395594922
GBM.TCGA.06.0882.01A.01R.1849.01	51.5223762775374
GBM.TCGA.06.1804.01A.01R.1849.01	48.7452367008068
GBM.TCGA.06.2557.01A.01R.1849.01	51.9963588058612
GBM.TCGA.06.2558.01A.01R.1849.01	52.1072323121389
GBM.TCGA.06.2559.01A.01R.1849.01	49.747851027214
GBM.TCGA.06.2561.01A.02R.1849.01	52.000198745491
GBM.TCGA.06.2562.01A.01R.1849.01	44.98628615972
GBM.TCGA.06.2563.01A.01R.1849.01	45.308865433205
GBM.TCGA.06.2564.01A.01R.1849.01	49.2869144253513
GBM.TCGA.06.2565.01A.01R.1849.01	46.3776727749504
GBM.TCGA.06.2567.01A.01R.1849.01	48.3009813995917
GBM.TCGA.06.2569.01A.01R.1849.01	42.0927594479805
GBM.TCGA.06.2570.01A.01R.1849.01	50.2888991992921
GBM.TCGA.06.5408.01A.01R.1849.01	49.5169949769225
GBM.TCGA.06.5411.01A.01R.1849.01	54.1582058035518
GBM.TCGA.06.5413.01A.01R.1849.01	48.4682473797514
GBM.TCGA.06.5414.01A.01R.1849.01	49.4730955379088
GBM.TCGA.06.5418.01A.01R.1849.01	47.0005170866989
GBM.TCGA.06.5856.01A.01R.1849.01	46.8176788099394
GBM.TCGA.06.5858.01A.01R.1849.01	45.6793880134069
GBM.TCGA.06.5859.01A.01R.1849.01	48.5669404867077
GBM.TCGA.08.0386.01A.01R.1849.01	47.5026335492368
OV.TCGA.09.0364.01A.02R.1564.13	53.5818767983461
OV.TCGA.09.0369.01A.01R.1564.13	42.1896149431432
OV.TCGA.09.1673.01A.01R.1566.13	42.8696337189876
OV.TCGA.09.2044.01B.01R.1568.13	37.5745983981191
OV.TCGA.09.2051.01A.01R.1568.13	32.2549920283103
OV.TCGA.09.2053.01C.01R.1568.13	36.7979376948797
OV.TCGA.10.0927.01A.02R.1564.13	42.6439264576896
OV.TCGA.10.0928.01A.02R.1564.13	30.4118994062125
OV.TCGA.10.0931.01A.01R.1564.13	39.043993810681
OV.TCGA.10.0933.01A.01R.1569.13	43.5951231122144
OV.TCGA.10.0937.01A.02R.1564.13	43.9249825218978
GBM.TCGA.12.0616.01A.01R.1849.01	44.9405653375965
GBM.TCGA.12.0618.01A.01R.1849.01	48.851933076706
GBM.TCGA.12.0619.01A.01R.1849.01	48.0698631161446
GBM.TCGA.12.0821.01A.01R.1849.01	47.3609406646813
GBM.TCGA.12.3650.01A.01R.1849.01	48.441419152707
GBM.TCGA.12.3652.01A.01R.1849.01	49.1303701321807
GBM.TCGA.12.3653.01A.01R.1849.01	45.6169677079394
GBM.TCGA.12.5295.01A.01R.1849.01	47.6973215432699
GBM.TCGA.12.5299.01A.02R.1849.01	52.2903919380273
OV.TCGA.13.0714.01A.01R.1564.13	43.734183798077
OV.TCGA.13.0726.01A.01R.1564.13	40.1435359664613
OV.TCGA.13.0795.01A.01R.1564.13	43.1162787009056
OV.TCGA.13.0800.01A.01R.1564.13	44.3202517621369
OV.TCGA.13.0804.01A.01R.1564.13	41.660934556
OV.TCGA.13.0883.01A.02R.1569.13	40.126460644021
OV.TCGA.13.0884.01B.01R.1565.13	31.9237078957516
OV.TCGA.13.0885.01A.02R.1569.13	50.2348686784062
OV.TCGA.13.0886.01A.01R.1569.13	33.0603639280157
OV.TCGA.13.0887.01A.01R.1564.13	42.3462314089249
OV.TCGA.13.0888.01A.01R.1564.13	37.7615444164652
OV.TCGA.13.0891.01A.01R.1564.13	40.6387064115994
OV.TCGA.13.0893.01B.01R.1565.13	27.2629924774491
OV.TCGA.13.0897.01A.01R.1564.13	35.326797566823
OV.TCGA.13.0905.01B.01R.1565.13	32.7435680506364
OV.TCGA.13.0911.01A.01R.1564.13	37.1384435031751
OV.TCGA.13.0916.01A.01R.1564.13	33.7051314335689
OV.TCGA.13.0923.01A.01R.1564.13	36.1274554276973
OV.TCGA.13.1403.01A.01R.1565.13	36.3814150158191
OV.TCGA.13.1404.01A.01R.1565.13	29.3798526631467
OV.TCGA.13.1405.01A.01R.1565.13	35.2843537897288
OV.TCGA.13.1411.01A.01R.1565.13	45.4969577446467
OV.TCGA.13.1477.01A.01R.1565.13	35.647537549478
OV.TCGA.13.1483.01A.01R.1565.13	36.3162097509029
OV.TCGA.13.1487.01A.01R.1565.13	42.1672039298496
OV.TCGA.13.1488.01A.01R.1565.13	40.8122271810717
OV.TCGA.13.1489.01A.01R.1565.13	39.9355137540757
OV.TCGA.13.1492.01A.01R.1565.13	36.7604117661336
OV.TCGA.13.1495.01A.01R.1565.13	33.5030066660978
OV.TCGA.13.1496.01A.01R.1565.13	48.0113205261146
OV.TCGA.13.1497.01A.01R.1565.13	36.198673723733
OV.TCGA.13.1498.01A.01R.1565.13	32.0920221832967
OV.TCGA.13.1499.01A.01R.1565.13	43.9124997356749
OV.TCGA.13.1501.01A.01R.1565.13	43.9727573965801
OV.TCGA.13.1505.01A.01R.1565.13	33.8743323019992
OV.TCGA.13.1506.01A.01R.1565.13	37.6455755515423
OV.TCGA.13.1507.01A.01R.1565.13	36.0500216417947
OV.TCGA.13.1509.01A.01R.1565.13	37.3692601930884
OV.TCGA.13.1510.01A.02R.1565.13	37.6783409371449
OV.TCGA.13.1511.01A.01R.1565.13	30.8564512246758
OV.TCGA.13.1512.01A.01R.1565.13	36.3132771872297
OV.TCGA.13.2060.01A.01R.1568.13	36.9511178113442
OV.TCGA.13.A5FT.01A.11R.A406.31	32.6779329480741
GBM.TCGA.14.0736.02A.01R.2005.01	51.302050652677
GBM.TCGA.14.0787.01A.01R.1849.01	46.0996982155977
GBM.TCGA.14.0789.01A.01R.1849.01	52.1207709832872
GBM.TCGA.14.0790.01B.01R.1849.01	45.7726044149526
GBM.TCGA.14.0817.01A.01R.1849.01	46.4263955429974
GBM.TCGA.14.0871.01A.01R.1849.01	43.7870355302803
GBM.TCGA.14.1034.01A.01R.1849.01	43.3416586545546
GBM.TCGA.14.1034.02B.01R.2005.01	44.0920549231995
GBM.TCGA.14.1823.01A.01R.1849.01	42.9534266061756
GBM.TCGA.14.1825.01A.01R.1850.01	46.3476265242868
GBM.TCGA.14.1829.01A.01R.1850.01	46.3984281574572
GBM.TCGA.14.2554.01A.01R.1850.01	44.8041763279395
GBM.TCGA.15.0742.01A.01R.1850.01	51.8038978005796
GBM.TCGA.15.1444.01A.02R.1850.01	54.0573770864761
GBM.TCGA.16.0846.01A.01R.1850.01	55.1184093551578
GBM.TCGA.16.1045.01B.01R.1850.01	51.1059547065127
LUSC.TCGA.18.3406.01A.01R.0980.07	50.1019977627053
LUSC.TCGA.18.3408.01A.01R.0980.07	52.4225061936891
LUSC.TCGA.18.3410.01A.01R.0980.07	45.2657166077996
LUSC.TCGA.18.3411.01A.01R.0980.07	52.703244578383
LUSC.TCGA.18.3412.01A.01R.0980.07	47.7777539078089
LUSC.TCGA.18.3414.01A.01R.0980.07	51.0867833019105
LUSC.TCGA.18.3415.01A.01R.0980.07	54.4227689206363
LUSC.TCGA.18.3416.01A.01R.0980.07	41.2708847330815
LUSC.TCGA.18.3417.01A.01R.1443.07	54.2529953568332
LUSC.TCGA.18.3421.01A.01R.0980.07	55.5849767084172
LUSC.TCGA.18.4083.01A.01R.1100.07	47.8144977506076
LUSC.TCGA.18.4721.01A.01R.1443.07	47.3336312588248
LUSC.TCGA.18.5592.01A.01R.1635.07	54.4520145000823
GBM.TCGA.19.1390.01A.01R.1850.01	51.2269061615034
GBM.TCGA.19.1787.01B.01R.1850.01	48.2212537193113
GBM.TCGA.19.2619.01A.01R.1850.01	54.0478308087414
GBM.TCGA.19.2620.01A.01R.1850.01	50.650579888069
GBM.TCGA.19.2624.01A.01R.1850.01	49.7290563240989
GBM.TCGA.19.2625.01A.01R.1850.01	50.6921078631717
GBM.TCGA.19.2629.01A.01R.1850.01	56.1096536833819
GBM.TCGA.19.4065.01A.01R.2005.01	48.8174500891386
GBM.TCGA.19.4065.02A.11R.2005.01	46.6236066551052
GBM.TCGA.19.5960.01A.11R.1850.01	50.6285467150772
OV.TCGA.20.0987.01A.02R.1564.13	51.5729385901418
OV.TCGA.20.0991.01A.01R.1564.13	48.4529893394007
OV.TCGA.20.1682.01A.01R.1564.13	41.9488605286359
OV.TCGA.20.1683.01A.01R.1566.13	43.0057505499247
OV.TCGA.20.1686.01A.01R.1566.13	47.9229673223669
OV.TCGA.20.1687.01A.01R.1566.13	29.3531952469868
LUSC.TCGA.21.1075.01A.01R.0692.07	49.6799466305444
LUSC.TCGA.21.1080.01A.01R.0692.07	57.6817522330001
LUSC.TCGA.21.1081.01A.01R.0692.07	53.3254712695869
LUSC.TCGA.21.1082.01A.01R.0692.07	55.9222397263109
LUSC.TCGA.21.5782.01A.01R.1635.07	54.3195337325726
LUSC.TCGA.21.5783.01A.41R.2187.07	49.6684638784809
LUSC.TCGA.21.5786.01A.01R.1635.07	52.9268634515728
LUSC.TCGA.21.5787.01A.01R.1635.07	60.7334679348992
LUSC.TCGA.22.0940.01A.01R.0692.07	48.8259577475256
LUSC.TCGA.22.0944.01A.01R.0692.07	59.8026505911335
LUSC.TCGA.22.1002.01A.01R.0692.07	50.8206638154431
LUSC.TCGA.22.1011.01A.01R.0692.07	53.0430885515793
LUSC.TCGA.22.1012.01A.01R.0692.07	48.982594080127
LUSC.TCGA.22.1016.01A.01R.0692.07	43.3223765507537
LUSC.TCGA.22.4591.01A.01R.1201.07	52.9514612620938
LUSC.TCGA.22.4593.01A.21R.1820.07	48.2471649086143
LUSC.TCGA.22.4595.01A.01R.1201.07	54.0049948973503
LUSC.TCGA.22.4596.01A.01R.1201.07	67.2273033897073
LUSC.TCGA.22.4599.01A.01R.1443.07	44.8422509077602
LUSC.TCGA.22.4601.01A.01R.1443.07	54.801025865988
LUSC.TCGA.22.4604.01A.01R.1201.07	53.2026837242748
LUSC.TCGA.22.4607.01A.01R.1201.07	52.5395262264534
LUSC.TCGA.22.4609.01A.21R.2125.07	59.2291000372189
LUSC.TCGA.22.4613.01A.01R.1443.07	47.2252183956842
LUSC.TCGA.22.5471.01A.01R.1635.07	50.9061376422932
LUSC.TCGA.22.5472.01A.01R.1635.07	51.1992096381309
LUSC.TCGA.22.5473.01A.01R.1635.07	46.7684385075556
LUSC.TCGA.22.5474.01A.01R.1635.07	52.4517621525832
LUSC.TCGA.22.5477.01A.01R.1635.07	49.8106368446952
LUSC.TCGA.22.5478.01A.01R.1635.07	49.7197500982054
LUSC.TCGA.22.5480.01A.01R.1635.07	47.8050201611469
LUSC.TCGA.22.5481.01A.31R.1949.07	44.7061945099566
LUSC.TCGA.22.5482.01A.01R.1635.07	60.8078087703561
LUSC.TCGA.22.5483.01A.01R.1820.07	50.0033461791
LUSC.TCGA.22.5485.01A.01R.1635.07	48.0304673384287
LUSC.TCGA.22.5489.01A.01R.1635.07	52.313226042947
LUSC.TCGA.22.5491.01A.01R.1635.07	41.5175282132414
LUSC.TCGA.22.5492.01A.01R.1635.07	51.2217212391767
LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	54.3564303523294
OV.TCGA.23.1021.01B.01R.1564.13	39.2416115911443
OV.TCGA.23.1022.01A.01R.1564.13	38.9711089645305
OV.TCGA.23.1027.01A.02R.1564.13	37.4945948310672
OV.TCGA.23.1029.01B.01R.1567.13	27.1225082714057
