patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	41.5271093561038
GBM.TCGA.02.0055.01A.01R.1849.01	49.6271263097629
GBM.TCGA.02.2483.01A.01R.1849.01	36.871099382474
GBM.TCGA.02.2485.01A.01R.1849.01	43.3840188168568
GBM.TCGA.02.2486.01A.01R.1849.01	43.9919201055606
OV.TCGA.04.1331.01A.01R.1569.13	43.082975477666
OV.TCGA.04.1341.01A.01R.1564.13	40.8919675054897
OV.TCGA.04.1343.01A.01R.1564.13	45.3437571385889
OV.TCGA.04.1347.01A.01R.1564.13	50.1195911745254
OV.TCGA.04.1356.01A.01R.1569.13	44.3239157163498
OV.TCGA.04.1357.01A.01R.1565.13	44.6507085149478
OV.TCGA.04.1361.01A.01R.1565.13	40.7539656367518
OV.TCGA.04.1362.01A.01R.1565.13	52.452498102675
OV.TCGA.04.1542.01A.01R.1566.13	51.3149096448655
OV.TCGA.04.1648.01A.01R.1567.13	40.3533318352558
OV.TCGA.04.1651.01A.01R.1567.13	46.488573483067
OV.TCGA.04.1655.01A.01R.1566.13	49.414642630317
LUAD.TCGA.05.4244.01A.01R.1107.07	47.9115921253807
LUAD.TCGA.05.4249.01A.01R.1107.07	55.2695819569943
LUAD.TCGA.05.4250.01A.01R.1107.07	59.4159428267061
LUAD.TCGA.05.4384.01A.01R.1755.07	50.513946311433
LUAD.TCGA.05.4389.01A.01R.1206.07	43.3475958041367
LUAD.TCGA.05.4390.01A.02R.1755.07	40.3680934033826
LUAD.TCGA.05.4395.01A.01R.1206.07	68.4433523191763
LUAD.TCGA.05.4396.01A.21R.1858.07	41.7759596418928
LUAD.TCGA.05.4397.01A.01R.1206.07	38.2869050035486
LUAD.TCGA.05.4398.01A.01R.1206.07	45.1014801287434
LUAD.TCGA.05.4402.01A.01R.1206.07	48.9286848784427
LUAD.TCGA.05.4403.01A.01R.1206.07	54.698873749507
LUAD.TCGA.05.4405.01A.21R.1858.07	56.3422604850312
LUAD.TCGA.05.4415.01A.22R.1858.07	41.577919053544
LUAD.TCGA.05.4417.01A.22R.1858.07	44.6586325609396
LUAD.TCGA.05.4418.01A.01R.1206.07	63.9130152069146
LUAD.TCGA.05.4420.01A.01R.1206.07	41.1931114028813
LUAD.TCGA.05.4422.01A.01R.1206.07	37.9671231886753
LUAD.TCGA.05.4425.01A.01R.1755.07	53.7479773895144
LUAD.TCGA.05.4426.01A.01R.1206.07	62.4212467321666
LUAD.TCGA.05.4427.01A.21R.1858.07	62.5183997584127
LUAD.TCGA.05.4432.01A.01R.1206.07	38.4909148027354
LUAD.TCGA.05.4433.01A.22R.1858.07	38.6693840059799
LUAD.TCGA.05.4434.01A.01R.1206.07	60.9705847624799
LUAD.TCGA.05.5423.01A.01R.1628.07	52.0816005257044
LUAD.TCGA.05.5425.01A.02R.1628.07	51.3544750774875
LUAD.TCGA.05.5428.01A.01R.1628.07	44.7571827963987
LUAD.TCGA.05.5429.01A.01R.1628.07	49.0178631917171
LUAD.TCGA.05.5715.01A.01R.1628.07	41.4717612981377
GBM.TCGA.06.0125.01A.01R.1849.01	45.0054955479146
GBM.TCGA.06.0125.02A.11R.2005.01	44.359415833952
GBM.TCGA.06.0129.01A.01R.1849.01	38.7216052111666
GBM.TCGA.06.0152.02A.01R.2005.01	42.1451717659319
GBM.TCGA.06.0157.01A.01R.1849.01	47.1111514019552
GBM.TCGA.06.0158.01A.01R.1849.01	46.0989509737341
GBM.TCGA.06.0168.01A.01R.1849.01	54.4685451590816
GBM.TCGA.06.0174.01A.01R.1849.01	48.9831991901608
GBM.TCGA.06.0184.01A.01R.1849.01	38.8105790678972
GBM.TCGA.06.0187.01A.01R.1849.01	39.7763422490223
GBM.TCGA.06.0190.01A.01R.1849.01	38.1105317658845
GBM.TCGA.06.0190.02A.01R.2005.01	49.3512775299133
GBM.TCGA.06.0210.02A.01R.2005.01	42.770236530611
GBM.TCGA.06.0211.01B.01R.1849.01	37.7406385091018
GBM.TCGA.06.0211.02A.02R.2005.01	42.0367956453136
GBM.TCGA.06.0219.01A.01R.1849.01	36.0585455123369
GBM.TCGA.06.0221.02A.11R.2005.01	41.6099477004404
GBM.TCGA.06.0238.01A.02R.1849.01	42.8514627488698
GBM.TCGA.06.0644.01A.02R.1849.01	47.1928643168299
GBM.TCGA.06.0645.01A.01R.1849.01	42.1396445656158
GBM.TCGA.06.0646.01A.01R.1849.01	38.656629634327
GBM.TCGA.06.0649.01B.01R.1849.01	39.5153512792841
GBM.TCGA.06.0686.01A.01R.1849.01	42.1989415609845
GBM.TCGA.06.0743.01A.01R.1849.01	38.3583425576712
GBM.TCGA.06.0744.01A.01R.1849.01	36.2312379430858
GBM.TCGA.06.0745.01A.01R.1849.01	41.1159701401238
GBM.TCGA.06.0747.01A.01R.1849.01	45.5027581599552
GBM.TCGA.06.0749.01A.01R.1849.01	34.5777283259073
GBM.TCGA.06.0750.01A.01R.1849.01	41.2459049810323
GBM.TCGA.06.0878.01A.01R.1849.01	51.5566458439382
GBM.TCGA.06.0882.01A.01R.1849.01	40.3522229704205
GBM.TCGA.06.1804.01A.01R.1849.01	40.0128850545576
GBM.TCGA.06.2557.01A.01R.1849.01	40.9902070566936
GBM.TCGA.06.2558.01A.01R.1849.01	38.5881925033688
GBM.TCGA.06.2559.01A.01R.1849.01	40.6700818336058
GBM.TCGA.06.2561.01A.02R.1849.01	41.8388739683277
GBM.TCGA.06.2562.01A.01R.1849.01	43.3517176928028
GBM.TCGA.06.2563.01A.01R.1849.01	39.9731149898262
GBM.TCGA.06.2564.01A.01R.1849.01	41.1990872495996
GBM.TCGA.06.2565.01A.01R.1849.01	41.6955211299096
GBM.TCGA.06.2567.01A.01R.1849.01	46.1468679620358
GBM.TCGA.06.2569.01A.01R.1849.01	51.9509429420989
GBM.TCGA.06.2570.01A.01R.1849.01	37.211633093108
GBM.TCGA.06.5408.01A.01R.1849.01	48.7373686761707
GBM.TCGA.06.5411.01A.01R.1849.01	42.1420022606767
GBM.TCGA.06.5413.01A.01R.1849.01	45.0054955479146
GBM.TCGA.06.5414.01A.01R.1849.01	39.2221516946129
GBM.TCGA.06.5418.01A.01R.1849.01	37.2828747985596
GBM.TCGA.06.5856.01A.01R.1849.01	44.1808755058525
GBM.TCGA.06.5858.01A.01R.1849.01	44.970417870013
GBM.TCGA.06.5859.01A.01R.1849.01	43.4999611074291
GBM.TCGA.08.0386.01A.01R.1849.01	37.6116145744487
OV.TCGA.09.0364.01A.02R.1564.13	42.5019623095453
OV.TCGA.09.0369.01A.01R.1564.13	42.9184141678058
OV.TCGA.09.1673.01A.01R.1566.13	50.7092420361358
OV.TCGA.09.2044.01B.01R.1568.13	42.100952575906
OV.TCGA.09.2051.01A.01R.1568.13	37.2505244049273
OV.TCGA.09.2053.01C.01R.1568.13	46.6950333222285
OV.TCGA.10.0927.01A.02R.1564.13	50.0026511196632
OV.TCGA.10.0928.01A.02R.1564.13	42.3479142568653
OV.TCGA.10.0931.01A.01R.1564.13	36.9539643894896
OV.TCGA.10.0933.01A.01R.1569.13	43.2769409743753
OV.TCGA.10.0937.01A.02R.1564.13	44.3398194750788
GBM.TCGA.12.0616.01A.01R.1849.01	42.3801117058706
GBM.TCGA.12.0618.01A.01R.1849.01	47.4624867833787
GBM.TCGA.12.0619.01A.01R.1849.01	40.4935474362959
GBM.TCGA.12.0821.01A.01R.1849.01	46.8886027690045
GBM.TCGA.12.3650.01A.01R.1849.01	41.305201976401
GBM.TCGA.12.3652.01A.01R.1849.01	34.8084929425086
GBM.TCGA.12.3653.01A.01R.1849.01	53.4815242799797
GBM.TCGA.12.5295.01A.01R.1849.01	43.4429120783268
GBM.TCGA.12.5299.01A.02R.1849.01	47.2560127146615
OV.TCGA.13.0714.01A.01R.1564.13	50.7568492447328
OV.TCGA.13.0726.01A.01R.1564.13	42.9676352916948
OV.TCGA.13.0795.01A.01R.1564.13	53.2976604832741
OV.TCGA.13.0800.01A.01R.1564.13	50.1587174173145
OV.TCGA.13.0804.01A.01R.1564.13	44.4044208854715
OV.TCGA.13.0883.01A.02R.1569.13	62.9855776958447
OV.TCGA.13.0884.01B.01R.1565.13	53.2193159819753
OV.TCGA.13.0885.01A.02R.1569.13	46.834114389089
OV.TCGA.13.0886.01A.01R.1569.13	46.5412279630835
OV.TCGA.13.0887.01A.01R.1564.13	37.9981467435458
OV.TCGA.13.0888.01A.01R.1564.13	50.724140462566
OV.TCGA.13.0891.01A.01R.1564.13	43.4218282609427
OV.TCGA.13.0893.01B.01R.1565.13	44.88437679312
OV.TCGA.13.0897.01A.01R.1564.13	43.1562403358915
OV.TCGA.13.0905.01B.01R.1565.13	47.1851834210928
OV.TCGA.13.0911.01A.01R.1564.13	45.5872760237166
OV.TCGA.13.0916.01A.01R.1564.13	39.996874898824
OV.TCGA.13.0923.01A.01R.1564.13	36.989292673805
OV.TCGA.13.1403.01A.01R.1565.13	44.9394889003239
OV.TCGA.13.1404.01A.01R.1565.13	52.2685271111649
OV.TCGA.13.1405.01A.01R.1565.13	38.0318730131088
OV.TCGA.13.1411.01A.01R.1565.13	42.5552713726383
OV.TCGA.13.1477.01A.01R.1565.13	51.0296253245448
OV.TCGA.13.1483.01A.01R.1565.13	40.4714970947558
OV.TCGA.13.1487.01A.01R.1565.13	50.4622051097407
OV.TCGA.13.1488.01A.01R.1565.13	41.2503844602329
OV.TCGA.13.1489.01A.01R.1565.13	43.5896255506261
OV.TCGA.13.1492.01A.01R.1565.13	44.1035541362128
OV.TCGA.13.1495.01A.01R.1565.13	40.1619931824039
OV.TCGA.13.1496.01A.01R.1565.13	48.4011645251712
OV.TCGA.13.1497.01A.01R.1565.13	46.6724376414246
OV.TCGA.13.1498.01A.01R.1565.13	46.7616222315104
OV.TCGA.13.1499.01A.01R.1565.13	52.4372238580918
OV.TCGA.13.1501.01A.01R.1565.13	41.5102136451257
OV.TCGA.13.1505.01A.01R.1565.13	57.9272992716828
OV.TCGA.13.1506.01A.01R.1565.13	41.6381077847629
OV.TCGA.13.1507.01A.01R.1565.13	41.9048477619015
OV.TCGA.13.1509.01A.01R.1565.13	48.095426120487
OV.TCGA.13.1510.01A.02R.1565.13	40.9580522319152
OV.TCGA.13.1511.01A.01R.1565.13	39.2941038853119
OV.TCGA.13.1512.01A.01R.1565.13	37.9893439413066
OV.TCGA.13.2060.01A.01R.1568.13	49.3292715349251
OV.TCGA.13.A5FT.01A.11R.A406.31	48.3529120710979
GBM.TCGA.14.0736.02A.01R.2005.01	50.3599285145893
GBM.TCGA.14.0787.01A.01R.1849.01	41.2393393001058
GBM.TCGA.14.0789.01A.01R.1849.01	40.2305633205907
GBM.TCGA.14.0790.01B.01R.1849.01	43.3804456939463
GBM.TCGA.14.0817.01A.01R.1849.01	37.1165402005923
GBM.TCGA.14.0871.01A.01R.1849.01	57.6784315960206
GBM.TCGA.14.1034.01A.01R.1849.01	47.0938592954809
GBM.TCGA.14.1034.02B.01R.2005.01	46.6826432694377
GBM.TCGA.14.1823.01A.01R.1849.01	49.0530177037013
GBM.TCGA.14.1825.01A.01R.1850.01	59.2569448703746
GBM.TCGA.14.1829.01A.01R.1850.01	44.4945489338006
GBM.TCGA.14.2554.01A.01R.1850.01	46.4870087334258
GBM.TCGA.15.0742.01A.01R.1850.01	34.8084929425086
GBM.TCGA.15.1444.01A.02R.1850.01	42.3199403932459
GBM.TCGA.16.0846.01A.01R.1850.01	40.6020190718589
GBM.TCGA.16.1045.01B.01R.1850.01	45.9644470235577
LUSC.TCGA.18.3406.01A.01R.0980.07	67.3153388518918
LUSC.TCGA.18.3408.01A.01R.0980.07	55.1017590886767
LUSC.TCGA.18.3410.01A.01R.0980.07	49.6993801233994
LUSC.TCGA.18.3411.01A.01R.0980.07	47.2435773792257
LUSC.TCGA.18.3412.01A.01R.0980.07	65.7722177054923
LUSC.TCGA.18.3414.01A.01R.0980.07	65.8322621014657
LUSC.TCGA.18.3415.01A.01R.0980.07	54.3340673072495
LUSC.TCGA.18.3416.01A.01R.0980.07	49.7770265503996
LUSC.TCGA.18.3417.01A.01R.1443.07	45.5314784541173
LUSC.TCGA.18.3421.01A.01R.0980.07	47.4261257469178
LUSC.TCGA.18.4083.01A.01R.1100.07	53.0353824337127
LUSC.TCGA.18.4721.01A.01R.1443.07	50.2092287204217
LUSC.TCGA.18.5592.01A.01R.1635.07	61.8907020775254
GBM.TCGA.19.1390.01A.01R.1850.01	36.634545447511
GBM.TCGA.19.1787.01B.01R.1850.01	47.4444886461373
GBM.TCGA.19.2619.01A.01R.1850.01	43.590168307151
GBM.TCGA.19.2620.01A.01R.1850.01	46.6985076201248
GBM.TCGA.19.2624.01A.01R.1850.01	49.5782728102994
GBM.TCGA.19.2625.01A.01R.1850.01	38.8934119187238
GBM.TCGA.19.2629.01A.01R.1850.01	40.1552127186723
GBM.TCGA.19.4065.01A.01R.2005.01	41.9809578142639
GBM.TCGA.19.4065.02A.11R.2005.01	44.0028120534116
GBM.TCGA.19.5960.01A.11R.1850.01	39.8728016870202
OV.TCGA.20.0987.01A.02R.1564.13	50.9043065998881
OV.TCGA.20.0991.01A.01R.1564.13	45.4931118956548
OV.TCGA.20.1682.01A.01R.1564.13	38.7676710170761
OV.TCGA.20.1683.01A.01R.1566.13	42.0809819267005
OV.TCGA.20.1686.01A.01R.1566.13	35.5741217437682
OV.TCGA.20.1687.01A.01R.1566.13	53.829703534085
LUSC.TCGA.21.1075.01A.01R.0692.07	50.1006604172543
LUSC.TCGA.21.1080.01A.01R.0692.07	55.3991421687046
LUSC.TCGA.21.1081.01A.01R.0692.07	60.3179612450872
LUSC.TCGA.21.1082.01A.01R.0692.07	60.1568120737837
LUSC.TCGA.21.5782.01A.01R.1635.07	46.4552290414171
LUSC.TCGA.21.5783.01A.41R.2187.07	52.0861354211956
LUSC.TCGA.21.5786.01A.01R.1635.07	57.3745127657388
LUSC.TCGA.21.5787.01A.01R.1635.07	47.6098050681962
LUSC.TCGA.22.0940.01A.01R.0692.07	55.0998124145481
LUSC.TCGA.22.0944.01A.01R.0692.07	65.7360955390115
LUSC.TCGA.22.1002.01A.01R.0692.07	48.1881325537936
LUSC.TCGA.22.1011.01A.01R.0692.07	47.9514671041211
LUSC.TCGA.22.1012.01A.01R.0692.07	45.8492569661257
LUSC.TCGA.22.1016.01A.01R.0692.07	51.6444407890741
LUSC.TCGA.22.4591.01A.01R.1201.07	40.9025146241372
LUSC.TCGA.22.4593.01A.21R.1820.07	64.6674497812932
LUSC.TCGA.22.4595.01A.01R.1201.07	53.6259303084663
LUSC.TCGA.22.4596.01A.01R.1201.07	56.3252337999233
LUSC.TCGA.22.4599.01A.01R.1443.07	53.1339330234206
LUSC.TCGA.22.4601.01A.01R.1443.07	57.7384064911874
LUSC.TCGA.22.4604.01A.01R.1201.07	60.4177448951375
LUSC.TCGA.22.4607.01A.01R.1201.07	56.8377373369186
LUSC.TCGA.22.4609.01A.21R.2125.07	59.4236901638311
LUSC.TCGA.22.4613.01A.01R.1443.07	51.7244222973162
LUSC.TCGA.22.5471.01A.01R.1635.07	48.8518312859244
LUSC.TCGA.22.5472.01A.01R.1635.07	60.7621291674441
