patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	40.7378306397566
GBM.TCGA.02.0055.01A.01R.1849.01	50.3705942087085
GBM.TCGA.02.2483.01A.01R.1849.01	38.6506588877492
GBM.TCGA.02.2485.01A.01R.1849.01	43.3840188168568
GBM.TCGA.02.2486.01A.01R.1849.01	44.2451821763444
OV.TCGA.04.1331.01A.01R.1569.13	46.4625965491451
OV.TCGA.04.1341.01A.01R.1564.13	44.5298809231759
OV.TCGA.04.1343.01A.01R.1564.13	45.7383403829026
OV.TCGA.04.1347.01A.01R.1564.13	52.2623347446145
OV.TCGA.04.1356.01A.01R.1569.13	44.3239157163498
OV.TCGA.04.1357.01A.01R.1565.13	46.5038056888541
OV.TCGA.04.1361.01A.01R.1565.13	38.983256594751
OV.TCGA.04.1362.01A.01R.1565.13	52.452498102675
OV.TCGA.04.1542.01A.01R.1566.13	52.6677939642888
OV.TCGA.04.1648.01A.01R.1567.13	41.9684555336981
OV.TCGA.04.1651.01A.01R.1567.13	46.488573483067
OV.TCGA.04.1655.01A.01R.1566.13	50.1766260785738
LUAD.TCGA.05.4244.01A.01R.1107.07	46.2935678821609
LUAD.TCGA.05.4249.01A.01R.1107.07	55.2695819569943
LUAD.TCGA.05.4250.01A.01R.1107.07	61.0166649235294
LUAD.TCGA.05.4384.01A.01R.1755.07	49.9019329500791
LUAD.TCGA.05.4389.01A.01R.1206.07	42.1036688351327
LUAD.TCGA.05.4390.01A.02R.1755.07	41.7544514590013
LUAD.TCGA.05.4395.01A.01R.1206.07	68.4433523191763
LUAD.TCGA.05.4396.01A.21R.1858.07	36.5793603473695
LUAD.TCGA.05.4397.01A.01R.1206.07	38.8829438037729
LUAD.TCGA.05.4398.01A.01R.1206.07	45.1014801287434
LUAD.TCGA.05.4402.01A.01R.1206.07	48.9286848784427
LUAD.TCGA.05.4403.01A.01R.1206.07	54.698873749507
LUAD.TCGA.05.4405.01A.21R.1858.07	55.7725036794574
LUAD.TCGA.05.4415.01A.22R.1858.07	37.8896738497185
LUAD.TCGA.05.4417.01A.22R.1858.07	45.7097416098281
LUAD.TCGA.05.4418.01A.01R.1206.07	59.3678670312761
LUAD.TCGA.05.4420.01A.01R.1206.07	41.1931114028813
LUAD.TCGA.05.4422.01A.01R.1206.07	36.7129204580999
LUAD.TCGA.05.4425.01A.01R.1755.07	55.3488104375564
LUAD.TCGA.05.4426.01A.01R.1206.07	62.4212467321666
LUAD.TCGA.05.4427.01A.21R.1858.07	60.2721479693518
LUAD.TCGA.05.4432.01A.01R.1206.07	38.4909148027354
LUAD.TCGA.05.4433.01A.22R.1858.07	38.5378692954451
LUAD.TCGA.05.4434.01A.01R.1206.07	55.8022467419964
LUAD.TCGA.05.5423.01A.01R.1628.07	51.118577320246
LUAD.TCGA.05.5425.01A.02R.1628.07	51.3544750774875
LUAD.TCGA.05.5428.01A.01R.1628.07	47.1983188905493
