patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	45.9873065945706
GBM.TCGA.02.0055.01A.01R.1849.01	60.5946412277463
GBM.TCGA.02.2483.01A.01R.1849.01	48.732477322812
GBM.TCGA.02.2485.01A.01R.1849.01	57.590328339643
GBM.TCGA.02.2486.01A.01R.1849.01	62.6875713514477
OV.TCGA.04.1331.01A.01R.1569.13	44.0388862176365
OV.TCGA.04.1341.01A.01R.1564.13	39.3151196476141
OV.TCGA.04.1343.01A.01R.1564.13	46.9014084322302
OV.TCGA.04.1347.01A.01R.1564.13	53.7333363814911
OV.TCGA.04.1356.01A.01R.1569.13	48.8502605658511
OV.TCGA.04.1357.01A.01R.1565.13	53.1917569906853
OV.TCGA.04.1361.01A.01R.1565.13	39.7761690921025
OV.TCGA.04.1362.01A.01R.1565.13	58.9882084671262
OV.TCGA.04.1542.01A.01R.1566.13	42.7371878660978
OV.TCGA.04.1648.01A.01R.1567.13	45.7731363063054
OV.TCGA.04.1651.01A.01R.1567.13	56.4633059631239
OV.TCGA.04.1655.01A.01R.1566.13	51.1953107881738
LUAD.TCGA.05.4244.01A.01R.1107.07	60.8648807991407
LUAD.TCGA.05.4249.01A.01R.1107.07	55.6329760417454
LUAD.TCGA.05.4250.01A.01R.1107.07	63.0628930496187
LUAD.TCGA.05.4384.01A.01R.1755.07	47.5956465957412
LUAD.TCGA.05.4389.01A.01R.1206.07	52.4379098597503
LUAD.TCGA.05.4390.01A.02R.1755.07	46.7791386029497
LUAD.TCGA.05.4395.01A.01R.1206.07	68.1501945733958
LUAD.TCGA.05.4396.01A.21R.1858.07	48.1727780544595
LUAD.TCGA.05.4397.01A.01R.1206.07	65.2706930556054
LUAD.TCGA.05.4398.01A.01R.1206.07	61.4283916042377
LUAD.TCGA.05.4402.01A.01R.1206.07	65.7196223732537
LUAD.TCGA.05.4403.01A.01R.1206.07	51.2084746820174
LUAD.TCGA.05.4405.01A.21R.1858.07	52.1437072639039
LUAD.TCGA.05.4415.01A.22R.1858.07	61.3897722836431
LUAD.TCGA.05.4417.01A.22R.1858.07	61.4437737075789
LUAD.TCGA.05.4418.01A.01R.1206.07	65.4872719289751
LUAD.TCGA.05.4420.01A.01R.1206.07	56.8631990884766
LUAD.TCGA.05.4422.01A.01R.1206.07	50.6704720999476
LUAD.TCGA.05.4425.01A.01R.1755.07	47.8185241895362
LUAD.TCGA.05.4426.01A.01R.1206.07	62.9096404073134
LUAD.TCGA.05.4427.01A.21R.1858.07	62.5180951155868
LUAD.TCGA.05.4432.01A.01R.1206.07	46.8504485258131
LUAD.TCGA.05.4433.01A.22R.1858.07	40.3628421436707
LUAD.TCGA.05.4434.01A.01R.1206.07	63.2304464676602
LUAD.TCGA.05.5423.01A.01R.1628.07	62.1913597965836
LUAD.TCGA.05.5425.01A.02R.1628.07	57.0116616930225
LUAD.TCGA.05.5428.01A.01R.1628.07	67.5759538259227
LUAD.TCGA.05.5429.01A.01R.1628.07	49.796741628539
LUAD.TCGA.05.5715.01A.01R.1628.07	51.7980937150552
GBM.TCGA.06.0125.01A.01R.1849.01	48.9971150051372
GBM.TCGA.06.0125.02A.11R.2005.01	45.9794038945371
GBM.TCGA.06.0129.01A.01R.1849.01	45.32598257697
GBM.TCGA.06.0152.02A.01R.2005.01	50.7272803542795
GBM.TCGA.06.0157.01A.01R.1849.01	47.8201477455902
GBM.TCGA.06.0158.01A.01R.1849.01	50.4043716810654
GBM.TCGA.06.0168.01A.01R.1849.01	45.1136988164713
GBM.TCGA.06.0174.01A.01R.1849.01	53.8042217382552
GBM.TCGA.06.0184.01A.01R.1849.01	45.4334525264428
GBM.TCGA.06.0187.01A.01R.1849.01	49.5701436306311
GBM.TCGA.06.0190.01A.01R.1849.01	49.4480198526883
GBM.TCGA.06.0190.02A.01R.2005.01	51.4053206652465
GBM.TCGA.06.0210.02A.01R.2005.01	43.646523177506
GBM.TCGA.06.0211.01B.01R.1849.01	49.567172061113
GBM.TCGA.06.0211.02A.02R.2005.01	51.551549248824
GBM.TCGA.06.0219.01A.01R.1849.01	50.5909483244125
GBM.TCGA.06.0221.02A.11R.2005.01	48.8793093786234
GBM.TCGA.06.0238.01A.02R.1849.01	55.4183230855074
GBM.TCGA.06.0644.01A.02R.1849.01	54.3663961214202
GBM.TCGA.06.0645.01A.01R.1849.01	49.5066142530976
GBM.TCGA.06.0646.01A.01R.1849.01	54.3865813228276
GBM.TCGA.06.0649.01B.01R.1849.01	46.1878013672322
GBM.TCGA.06.0686.01A.01R.1849.01	39.9308837027772
GBM.TCGA.06.0743.01A.01R.1849.01	46.7290088398744
GBM.TCGA.06.0744.01A.01R.1849.01	46.4711675759559
GBM.TCGA.06.0745.01A.01R.1849.01	45.1795823802212
GBM.TCGA.06.0747.01A.01R.1849.01	55.0001268169724
GBM.TCGA.06.0749.01A.01R.1849.01	43.9482798867642
GBM.TCGA.06.0750.01A.01R.1849.01	49.5066142530976
GBM.TCGA.06.0878.01A.01R.1849.01	44.9581319069357
GBM.TCGA.06.0882.01A.01R.1849.01	48.1927182114524
GBM.TCGA.06.1804.01A.01R.1849.01	51.7500710099302
GBM.TCGA.06.2557.01A.01R.1849.01	52.7557560031601
GBM.TCGA.06.2558.01A.01R.1849.01	47.5605286919553
GBM.TCGA.06.2559.01A.01R.1849.01	53.8042217382552
GBM.TCGA.06.2561.01A.02R.1849.01	39.6306030949627
GBM.TCGA.06.2562.01A.01R.1849.01	61.3159959099649
GBM.TCGA.06.2563.01A.01R.1849.01	46.0536025770969
GBM.TCGA.06.2564.01A.01R.1849.01	45.2421790454685
GBM.TCGA.06.2565.01A.01R.1849.01	50.4168858085936
GBM.TCGA.06.2567.01A.01R.1849.01	55.1438343825432
GBM.TCGA.06.2569.01A.01R.1849.01	38.8454538916582
GBM.TCGA.06.2570.01A.01R.1849.01	50.3869777220659
GBM.TCGA.06.5408.01A.01R.1849.01	60.1318518352433
GBM.TCGA.06.5411.01A.01R.1849.01	53.9123679144653
GBM.TCGA.06.5413.01A.01R.1849.01	53.2380031705682
GBM.TCGA.06.5414.01A.01R.1849.01	52.6333439258451
GBM.TCGA.06.5418.01A.01R.1849.01	46.3784674506161
GBM.TCGA.06.5856.01A.01R.1849.01	55.2328949242916
GBM.TCGA.06.5858.01A.01R.1849.01	54.7550232129423
GBM.TCGA.06.5859.01A.01R.1849.01	51.417937186123
GBM.TCGA.08.0386.01A.01R.1849.01	48.2992367428467
OV.TCGA.09.0364.01A.02R.1564.13	45.1289543330748
OV.TCGA.09.0369.01A.01R.1564.13	43.247662204013
OV.TCGA.09.1673.01A.01R.1566.13	57.5455195918119
OV.TCGA.09.2044.01B.01R.1568.13	63.5709913169932
OV.TCGA.09.2051.01A.01R.1568.13	55.1238680179183
OV.TCGA.09.2053.01C.01R.1568.13	56.9616044812724
OV.TCGA.10.0927.01A.02R.1564.13	53.0149169124172
OV.TCGA.10.0928.01A.02R.1564.13	46.5920375665599
OV.TCGA.10.0931.01A.01R.1564.13	62.1108416174085
OV.TCGA.10.0933.01A.01R.1569.13	52.405733937486
OV.TCGA.10.0937.01A.02R.1564.13	53.9900846008967
GBM.TCGA.12.0616.01A.01R.1849.01	42.2781333827019
GBM.TCGA.12.0618.01A.01R.1849.01	51.81003615102
GBM.TCGA.12.0619.01A.01R.1849.01	51.1051486764547
GBM.TCGA.12.0821.01A.01R.1849.01	54.4367282159002
GBM.TCGA.12.3650.01A.01R.1849.01	43.263947355393
GBM.TCGA.12.3652.01A.01R.1849.01	43.2274407785353
GBM.TCGA.12.3653.01A.01R.1849.01	44.9445329567746
GBM.TCGA.12.5295.01A.01R.1849.01	41.3974657564997
GBM.TCGA.12.5299.01A.02R.1849.01	52.8393103138627
OV.TCGA.13.0714.01A.01R.1564.13	55.250635458347
OV.TCGA.13.0726.01A.01R.1564.13	51.403474940163
OV.TCGA.13.0795.01A.01R.1564.13	53.6866437769877
OV.TCGA.13.0800.01A.01R.1564.13	58.6868588858039
OV.TCGA.13.0804.01A.01R.1564.13	53.1596187283382
OV.TCGA.13.0883.01A.02R.1569.13	49.7844535246577
OV.TCGA.13.0884.01B.01R.1565.13	51.0440536364432
OV.TCGA.13.0885.01A.02R.1569.13	54.525610583561
OV.TCGA.13.0886.01A.01R.1569.13	53.9384320775481
OV.TCGA.13.0887.01A.01R.1564.13	49.9331949039992
OV.TCGA.13.0888.01A.01R.1564.13	55.2198231057384
OV.TCGA.13.0891.01A.01R.1564.13	52.4523054687999
OV.TCGA.13.0893.01B.01R.1565.13	46.5328482917938
OV.TCGA.13.0897.01A.01R.1564.13	58.1850185710942
OV.TCGA.13.0905.01B.01R.1565.13	60.9651450675633
OV.TCGA.13.0911.01A.01R.1564.13	58.1063180014933
OV.TCGA.13.0916.01A.01R.1564.13	60.3431902859757
OV.TCGA.13.0923.01A.01R.1564.13	45.9256751275725
OV.TCGA.13.1403.01A.01R.1565.13	53.4866807290808
OV.TCGA.13.1404.01A.01R.1565.13	52.2467084507185
OV.TCGA.13.1405.01A.01R.1565.13	48.7627022792028
OV.TCGA.13.1411.01A.01R.1565.13	54.9884798794864
OV.TCGA.13.1477.01A.01R.1565.13	45.8782018070051
OV.TCGA.13.1483.01A.01R.1565.13	49.5324020166173
OV.TCGA.13.1487.01A.01R.1565.13	51.8443208550201
OV.TCGA.13.1488.01A.01R.1565.13	54.0913372120903
OV.TCGA.13.1489.01A.01R.1565.13	44.9475830883262
OV.TCGA.13.1492.01A.01R.1565.13	53.7186472968496
OV.TCGA.13.1495.01A.01R.1565.13	47.12733459155
OV.TCGA.13.1496.01A.01R.1565.13	66.5116084701496
OV.TCGA.13.1497.01A.01R.1565.13	43.8026823287997
OV.TCGA.13.1498.01A.01R.1565.13	55.9651212351696
OV.TCGA.13.1499.01A.01R.1565.13	57.3009497886072
OV.TCGA.13.1501.01A.01R.1565.13	44.2925796434969
OV.TCGA.13.1505.01A.01R.1565.13	50.9067554533169
OV.TCGA.13.1506.01A.01R.1565.13	51.6200896913469
OV.TCGA.13.1507.01A.01R.1565.13	59.0938916795381
OV.TCGA.13.1509.01A.01R.1565.13	48.0490899316657
OV.TCGA.13.1510.01A.02R.1565.13	47.1727699742988
OV.TCGA.13.1511.01A.01R.1565.13	49.5700974001872
OV.TCGA.13.1512.01A.01R.1565.13	47.1798882343686
OV.TCGA.13.2060.01A.01R.1568.13	59.5215638531335
OV.TCGA.13.A5FT.01A.11R.A406.31	52.2337655202752
GBM.TCGA.14.0736.02A.01R.2005.01	46.2785658716907
GBM.TCGA.14.0787.01A.01R.1849.01	43.3806399912062
GBM.TCGA.14.0789.01A.01R.1849.01	49.0155191660238
GBM.TCGA.14.0790.01B.01R.1849.01	44.7052054151106
GBM.TCGA.14.0817.01A.01R.1849.01	51.175915067681
GBM.TCGA.14.0871.01A.01R.1849.01	49.788291057308
GBM.TCGA.14.1034.01A.01R.1849.01	40.3336001936704
GBM.TCGA.14.1034.02B.01R.2005.01	44.1203141693085
GBM.TCGA.14.1823.01A.01R.1849.01	47.2268226959541
GBM.TCGA.14.1825.01A.01R.1850.01	42.3666831914336
GBM.TCGA.14.1829.01A.01R.1850.01	45.3613621931554
GBM.TCGA.14.2554.01A.01R.1850.01	50.4405403124211
GBM.TCGA.15.0742.01A.01R.1850.01	46.4711675759559
GBM.TCGA.15.1444.01A.02R.1850.01	52.1428748794391
GBM.TCGA.16.0846.01A.01R.1850.01	51.5906404543555
GBM.TCGA.16.1045.01B.01R.1850.01	40.4415413896472
LUSC.TCGA.18.3406.01A.01R.0980.07	57.4951457983878
LUSC.TCGA.18.3408.01A.01R.0980.07	57.5325565307291
LUSC.TCGA.18.3410.01A.01R.0980.07	57.4395614741892
LUSC.TCGA.18.3411.01A.01R.0980.07	58.7304187486038
LUSC.TCGA.18.3412.01A.01R.0980.07	59.0867949583045
LUSC.TCGA.18.3414.01A.01R.0980.07	53.4263813722542
LUSC.TCGA.18.3415.01A.01R.0980.07	57.2833498255143
LUSC.TCGA.18.3416.01A.01R.0980.07	47.2217578618388
LUSC.TCGA.18.3417.01A.01R.1443.07	52.0708246371019
LUSC.TCGA.18.3421.01A.01R.0980.07	58.3491236889221
LUSC.TCGA.18.4083.01A.01R.1100.07	58.0896550161715
LUSC.TCGA.18.4721.01A.01R.1443.07	49.7631056471712
LUSC.TCGA.18.5592.01A.01R.1635.07	55.3635582156081
GBM.TCGA.19.1390.01A.01R.1850.01	43.420324706759
GBM.TCGA.19.1787.01B.01R.1850.01	58.6227277003709
GBM.TCGA.19.2619.01A.01R.1850.01	52.0052594251504
GBM.TCGA.19.2620.01A.01R.1850.01	45.2942276144705
GBM.TCGA.19.2624.01A.01R.1850.01	46.1522060589732
GBM.TCGA.19.2625.01A.01R.1850.01	47.339451920465
GBM.TCGA.19.2629.01A.01R.1850.01	48.6170944700941
GBM.TCGA.19.4065.01A.01R.2005.01	49.9559148942502
GBM.TCGA.19.4065.02A.11R.2005.01	47.4791125910434
GBM.TCGA.19.5960.01A.11R.1850.01	48.5344561952434
OV.TCGA.20.0987.01A.02R.1564.13	53.6043877532814
OV.TCGA.20.0991.01A.01R.1564.13	56.537922058245
OV.TCGA.20.1682.01A.01R.1564.13	41.8351372393822
OV.TCGA.20.1683.01A.01R.1566.13	48.0104734176682
OV.TCGA.20.1686.01A.01R.1566.13	38.281801696767
OV.TCGA.20.1687.01A.01R.1566.13	44.8147797423494
LUSC.TCGA.21.1075.01A.01R.0692.07	58.2894948940952
LUSC.TCGA.21.1080.01A.01R.0692.07	50.8468179982648
LUSC.TCGA.21.1081.01A.01R.0692.07	54.2186274047138
LUSC.TCGA.21.1082.01A.01R.0692.07	53.8314274376826
LUSC.TCGA.21.5782.01A.01R.1635.07	47.8163494649324
LUSC.TCGA.21.5783.01A.41R.2187.07	64.5519700901151
LUSC.TCGA.21.5786.01A.01R.1635.07	59.4387344964986
LUSC.TCGA.21.5787.01A.01R.1635.07	57.5719683674233
LUSC.TCGA.22.0940.01A.01R.0692.07	62.5899147234018
LUSC.TCGA.22.0944.01A.01R.0692.07	56.3035000158577
LUSC.TCGA.22.1002.01A.01R.0692.07	50.919986097667
LUSC.TCGA.22.1011.01A.01R.0692.07	54.9049772354939
LUSC.TCGA.22.1012.01A.01R.0692.07	53.7896615879105
LUSC.TCGA.22.1016.01A.01R.0692.07	57.415723915016
LUSC.TCGA.22.4591.01A.01R.1201.07	57.4299184950988
LUSC.TCGA.22.4593.01A.21R.1820.07	62.8009842775566
LUSC.TCGA.22.4595.01A.01R.1201.07	64.8158079005486
LUSC.TCGA.22.4596.01A.01R.1201.07	53.1700094808758
LUSC.TCGA.22.4599.01A.01R.1443.07	48.6133394776588
LUSC.TCGA.22.4601.01A.01R.1443.07	47.6438296531701
LUSC.TCGA.22.4604.01A.01R.1201.07	57.1072978142071
LUSC.TCGA.22.4607.01A.01R.1201.07	55.3007908137975
LUSC.TCGA.22.4609.01A.21R.2125.07	46.9432692880596
LUSC.TCGA.22.4613.01A.01R.1443.07	47.4416141805379
LUSC.TCGA.22.5471.01A.01R.1635.07	59.4986258082893
LUSC.TCGA.22.5472.01A.01R.1635.07	51.960582978439
LUSC.TCGA.22.5473.01A.01R.1635.07	57.1082540443703
LUSC.TCGA.22.5474.01A.01R.1635.07	55.6952799228528
LUSC.TCGA.22.5477.01A.01R.1635.07	55.6829061818342
LUSC.TCGA.22.5478.01A.01R.1635.07	54.0745967005518
LUSC.TCGA.22.5480.01A.01R.1635.07	71.3995991866892
LUSC.TCGA.22.5481.01A.31R.1949.07	45.0129881189189
LUSC.TCGA.22.5482.01A.01R.1635.07	55.1109694394344
LUSC.TCGA.22.5483.01A.01R.1820.07	51.1038940810781
LUSC.TCGA.22.5485.01A.01R.1635.07	59.6877651879943
LUSC.TCGA.22.5489.01A.01R.1635.07	69.693335506193
LUSC.TCGA.22.5491.01A.01R.1635.07	57.0497277530664
LUSC.TCGA.22.5492.01A.01R.1635.07	54.3010240147872
LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	59.4035268565225
OV.TCGA.23.1021.01B.01R.1564.13	49.1921566466879
OV.TCGA.23.1022.01A.01R.1564.13	44.3445198044019
OV.TCGA.23.1027.01A.02R.1564.13	52.070883539981
OV.TCGA.23.1029.01B.01R.1567.13	53.2998971730007
OV.TCGA.23.1030.01A.02R.1564.13	53.611450259658
OV.TCGA.23.1110.01A.01R.1564.13	54.8875203946632
OV.TCGA.23.1111.01A.01R.1567.13	51.0853645107429
OV.TCGA.23.1113.01A.01R.1564.13	50.0277978636873
OV.TCGA.23.1114.01B.01R.1566.13	42.3600440356831
OV.TCGA.23.1116.01A.01R.1564.13	54.9836706322633
OV.TCGA.23.1118.01A.01R.1564.13	46.7166429533374
OV.TCGA.23.1123.01A.01R.1565.13	64.6807470966703
OV.TCGA.23.1809.01A.01R.1566.13	41.8246203815933
OV.TCGA.23.2077.01A.01R.1568.13	53.1225035090088
OV.TCGA.23.2078.01A.01R.1568.13	41.2505658805483
