patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	45.9873065945706
GBM.TCGA.02.0055.01A.01R.1849.01	53.1574828725217
GBM.TCGA.02.2483.01A.01R.1849.01	50.063198856705
GBM.TCGA.02.2485.01A.01R.1849.01	55.2859265033872
GBM.TCGA.02.2486.01A.01R.1849.01	63.1138273988513
OV.TCGA.04.1331.01A.01R.1569.13	49.3056405500774
OV.TCGA.04.1341.01A.01R.1564.13	43.5528373343056
OV.TCGA.04.1343.01A.01R.1564.13	46.4720559546106
OV.TCGA.04.1347.01A.01R.1564.13	54.2466369771567
OV.TCGA.04.1356.01A.01R.1569.13	48.8502605658511
OV.TCGA.04.1357.01A.01R.1565.13	54.473048446318
OV.TCGA.04.1361.01A.01R.1565.13	44.6018970866285
OV.TCGA.04.1362.01A.01R.1565.13	59.5273602736485
OV.TCGA.04.1542.01A.01R.1566.13	43.2707849090053
OV.TCGA.04.1648.01A.01R.1567.13	44.8977053583601
OV.TCGA.04.1651.01A.01R.1567.13	52.9530525731835
OV.TCGA.04.1655.01A.01R.1566.13	50.3672030821608
LUAD.TCGA.05.4244.01A.01R.1107.07	61.1756401039925
LUAD.TCGA.05.4249.01A.01R.1107.07	56.1804628186774
LUAD.TCGA.05.4250.01A.01R.1107.07	63.0628930496187
LUAD.TCGA.05.4384.01A.01R.1755.07	47.5956465957412
LUAD.TCGA.05.4389.01A.01R.1206.07	52.4379098597503
LUAD.TCGA.05.4390.01A.02R.1755.07	49.3355199584415
LUAD.TCGA.05.4395.01A.01R.1206.07	68.1501945733958
LUAD.TCGA.05.4396.01A.21R.1858.07	47.3342297061513
LUAD.TCGA.05.4397.01A.01R.1206.07	68.2859523791826
LUAD.TCGA.05.4398.01A.01R.1206.07	64.1488042513805
LUAD.TCGA.05.4402.01A.01R.1206.07	63.2247135145619
LUAD.TCGA.05.4403.01A.01R.1206.07	51.2084746820174
LUAD.TCGA.05.4405.01A.21R.1858.07	50.2468475261765
LUAD.TCGA.05.4415.01A.22R.1858.07	60.3843088404773
LUAD.TCGA.05.4417.01A.22R.1858.07	61.4437737075789
LUAD.TCGA.05.4418.01A.01R.1206.07	65.9268083703345
LUAD.TCGA.05.4420.01A.01R.1206.07	56.8631990884766
LUAD.TCGA.05.4422.01A.01R.1206.07	52.2576825896784
LUAD.TCGA.05.4425.01A.01R.1755.07	48.6560103663089
LUAD.TCGA.05.4426.01A.01R.1206.07	62.8610615060048
LUAD.TCGA.05.4427.01A.21R.1858.07	63.9380262346476
LUAD.TCGA.05.4432.01A.01R.1206.07	49.059968912228
LUAD.TCGA.05.4433.01A.22R.1858.07	40.3628421436707
LUAD.TCGA.05.4434.01A.01R.1206.07	63.2304464676602
LUAD.TCGA.05.5423.01A.01R.1628.07	59.9376439144022
LUAD.TCGA.05.5425.01A.02R.1628.07	54.9350202843029
LUAD.TCGA.05.5428.01A.01R.1628.07	65.3963523027847
LUAD.TCGA.05.5429.01A.01R.1628.07	52.4903033683821
LUAD.TCGA.05.5715.01A.01R.1628.07	51.7980937150552
GBM.TCGA.06.0125.01A.01R.1849.01	50.0935642801404
GBM.TCGA.06.0125.02A.11R.2005.01	52.927539363589
GBM.TCGA.06.0129.01A.01R.1849.01	46.7594273322102
GBM.TCGA.06.0152.02A.01R.2005.01	49.8397857188505
GBM.TCGA.06.0157.01A.01R.1849.01	51.1330894366577
GBM.TCGA.06.0158.01A.01R.1849.01	48.9278470505733
GBM.TCGA.06.0168.01A.01R.1849.01	42.1639583665159
GBM.TCGA.06.0174.01A.01R.1849.01	49.8924454095341
GBM.TCGA.06.0184.01A.01R.1849.01	46.2659553087679
GBM.TCGA.06.0187.01A.01R.1849.01	50.2753728478121
GBM.TCGA.06.0190.01A.01R.1849.01	49.4480198526883
GBM.TCGA.06.0190.02A.01R.2005.01	50.9402827462601
GBM.TCGA.06.0210.02A.01R.2005.01	44.4119230635803
GBM.TCGA.06.0211.01B.01R.1849.01	45.3268114946599
GBM.TCGA.06.0211.02A.02R.2005.01	50.2912591630172
GBM.TCGA.06.0219.01A.01R.1849.01	52.1671587746956
GBM.TCGA.06.0221.02A.11R.2005.01	47.0693927345459
GBM.TCGA.06.0238.01A.02R.1849.01	54.6978610100464
GBM.TCGA.06.0644.01A.02R.1849.01	56.6050701588925
GBM.TCGA.06.0645.01A.01R.1849.01	49.4480198526883
GBM.TCGA.06.0646.01A.01R.1849.01	54.3865813228276
GBM.TCGA.06.0649.01B.01R.1849.01	47.7072985646218
GBM.TCGA.06.0686.01A.01R.1849.01	43.3697880950362
GBM.TCGA.06.0743.01A.01R.1849.01	47.4303964529666
GBM.TCGA.06.0744.01A.01R.1849.01	47.4303964529666
GBM.TCGA.06.0745.01A.01R.1849.01	46.7501010393659
GBM.TCGA.06.0747.01A.01R.1849.01	56.0444234288577
GBM.TCGA.06.0749.01A.01R.1849.01	47.5407887580274
GBM.TCGA.06.0750.01A.01R.1849.01	49.4321335374831
GBM.TCGA.06.0878.01A.01R.1849.01	44.9581319069357
GBM.TCGA.06.0882.01A.01R.1849.01	47.7685911572857
GBM.TCGA.06.1804.01A.01R.1849.01	51.1330894366577
GBM.TCGA.06.2557.01A.01R.1849.01	53.5117838328024
GBM.TCGA.06.2558.01A.01R.1849.01	46.2852880232973
GBM.TCGA.06.2559.01A.01R.1849.01	51.2415046729004
GBM.TCGA.06.2561.01A.02R.1849.01	41.9897321522756
GBM.TCGA.06.2562.01A.01R.1849.01	61.3159959099649
GBM.TCGA.06.2563.01A.01R.1849.01	45.781674320801
GBM.TCGA.06.2564.01A.01R.1849.01	45.2421790454685
GBM.TCGA.06.2565.01A.01R.1849.01	54.0832413329509
GBM.TCGA.06.2567.01A.01R.1849.01	54.6265386290618
GBM.TCGA.06.2569.01A.01R.1849.01	38.8454538916582
GBM.TCGA.06.2570.01A.01R.1849.01	49.5618833559607
GBM.TCGA.06.5408.01A.01R.1849.01	57.2222128026831
GBM.TCGA.06.5411.01A.01R.1849.01	48.9412722335334
GBM.TCGA.06.5413.01A.01R.1849.01	53.4893592028295
GBM.TCGA.06.5414.01A.01R.1849.01	51.7208395974084
GBM.TCGA.06.5418.01A.01R.1849.01	49.515372069197
GBM.TCGA.06.5856.01A.01R.1849.01	54.6839624110719
GBM.TCGA.06.5858.01A.01R.1849.01	56.292602235073
GBM.TCGA.06.5859.01A.01R.1849.01	50.273581104827
GBM.TCGA.08.0386.01A.01R.1849.01	48.4132725828423
OV.TCGA.09.0364.01A.02R.1564.13	44.4365168333897
OV.TCGA.09.0369.01A.01R.1564.13	43.2869011022256
OV.TCGA.09.1673.01A.01R.1566.13	60.3069897973782
OV.TCGA.09.2044.01B.01R.1568.13	62.2718278212123
OV.TCGA.09.2051.01A.01R.1568.13	55.1238680179183
OV.TCGA.09.2053.01C.01R.1568.13	54.1192017199664
OV.TCGA.10.0927.01A.02R.1564.13	51.8603305589787
OV.TCGA.10.0928.01A.02R.1564.13	43.7656999440724
OV.TCGA.10.0931.01A.01R.1564.13	62.1108416174085
OV.TCGA.10.0933.01A.01R.1569.13	52.107956698909
OV.TCGA.10.0937.01A.02R.1564.13	52.8542593302281
GBM.TCGA.12.0616.01A.01R.1849.01	42.2781333827019
GBM.TCGA.12.0618.01A.01R.1849.01	52.3507905142352
GBM.TCGA.12.0619.01A.01R.1849.01	52.8647398365804
GBM.TCGA.12.0821.01A.01R.1849.01	51.5429754985452
GBM.TCGA.12.3650.01A.01R.1849.01	39.119561438153
GBM.TCGA.12.3652.01A.01R.1849.01	46.0930117305908
GBM.TCGA.12.3653.01A.01R.1849.01	43.8111699599585
GBM.TCGA.12.5295.01A.01R.1849.01	41.0036225215871
GBM.TCGA.12.5299.01A.02R.1849.01	52.8393103138627
OV.TCGA.13.0714.01A.01R.1564.13	53.0877520406153
OV.TCGA.13.0726.01A.01R.1564.13	46.7707914552275
OV.TCGA.13.0795.01A.01R.1564.13	56.5712677690314
OV.TCGA.13.0800.01A.01R.1564.13	58.6868588858039
OV.TCGA.13.0804.01A.01R.1564.13	52.8490898732484
OV.TCGA.13.0883.01A.02R.1569.13	51.239317943249
OV.TCGA.13.0884.01B.01R.1565.13	47.5805348849614
OV.TCGA.13.0885.01A.02R.1569.13	52.1877087712594
OV.TCGA.13.0886.01A.01R.1569.13	52.2737716012079
OV.TCGA.13.0887.01A.01R.1564.13	49.9331949039992
OV.TCGA.13.0888.01A.01R.1564.13	52.8091703550591
OV.TCGA.13.0891.01A.01R.1564.13	46.7984079544644
OV.TCGA.13.0893.01B.01R.1565.13	46.5328482917938
OV.TCGA.13.0897.01A.01R.1564.13	53.1999490084736
OV.TCGA.13.0905.01B.01R.1565.13	61.4932578660881
OV.TCGA.13.0911.01A.01R.1564.13	56.7573689299003
OV.TCGA.13.0916.01A.01R.1564.13	60.3431902859757
OV.TCGA.13.0923.01A.01R.1564.13	48.3652347069922
OV.TCGA.13.1403.01A.01R.1565.13	54.4527654859062
OV.TCGA.13.1404.01A.01R.1565.13	52.5692200709187
OV.TCGA.13.1405.01A.01R.1565.13	44.6938130929404
OV.TCGA.13.1411.01A.01R.1565.13	51.7970924007867
OV.TCGA.13.1477.01A.01R.1565.13	48.1746510117648
OV.TCGA.13.1483.01A.01R.1565.13	49.5324020166173
OV.TCGA.13.1487.01A.01R.1565.13	46.277115304325
OV.TCGA.13.1488.01A.01R.1565.13	50.6774082934012
OV.TCGA.13.1489.01A.01R.1565.13	48.4427751643338
OV.TCGA.13.1492.01A.01R.1565.13	51.5012519657919
OV.TCGA.13.1495.01A.01R.1565.13	48.3199222945624
OV.TCGA.13.1496.01A.01R.1565.13	67.5019109293096
OV.TCGA.13.1497.01A.01R.1565.13	46.2718626239671
OV.TCGA.13.1498.01A.01R.1565.13	58.1905194519616
OV.TCGA.13.1499.01A.01R.1565.13	55.6610131127149
OV.TCGA.13.1501.01A.01R.1565.13	44.2925796434969
OV.TCGA.13.1505.01A.01R.1565.13	53.5942310412018
OV.TCGA.13.1506.01A.01R.1565.13	51.6200896913469
OV.TCGA.13.1507.01A.01R.1565.13	62.656938643263
OV.TCGA.13.1509.01A.01R.1565.13	49.9460572059168
OV.TCGA.13.1510.01A.02R.1565.13	47.1727699742988
OV.TCGA.13.1511.01A.01R.1565.13	49.3102357634478
OV.TCGA.13.1512.01A.01R.1565.13	47.022338081677
OV.TCGA.13.2060.01A.01R.1568.13	59.2148088636297
OV.TCGA.13.A5FT.01A.11R.A406.31	48.4969467926258
GBM.TCGA.14.0736.02A.01R.2005.01	46.2785658716907
GBM.TCGA.14.0787.01A.01R.1849.01	45.8225903221659
GBM.TCGA.14.0789.01A.01R.1849.01	52.7588484366559
GBM.TCGA.14.0790.01B.01R.1849.01	42.7839347765422
GBM.TCGA.14.0817.01A.01R.1849.01	52.7521255179642
GBM.TCGA.14.0871.01A.01R.1849.01	49.1866766266646
GBM.TCGA.14.1034.01A.01R.1849.01	44.4292531438957
GBM.TCGA.14.1034.02B.01R.2005.01	44.7705891936926
GBM.TCGA.14.1823.01A.01R.1849.01	45.1921982626094
GBM.TCGA.14.1825.01A.01R.1850.01	42.3666831914336
GBM.TCGA.14.1829.01A.01R.1850.01	46.0665914103363
GBM.TCGA.14.2554.01A.01R.1850.01	53.1963085722338
GBM.TCGA.15.0742.01A.01R.1850.01	43.9129568477698
GBM.TCGA.15.1444.01A.02R.1850.01	52.1428748794391
GBM.TCGA.16.0846.01A.01R.1850.01	54.7288549097726
GBM.TCGA.16.1045.01B.01R.1850.01	40.4415413896472
LUSC.TCGA.18.3406.01A.01R.0980.07	56.3813294283863
LUSC.TCGA.18.3408.01A.01R.0980.07	57.5325565307291
LUSC.TCGA.18.3410.01A.01R.0980.07	59.1090185455527
LUSC.TCGA.18.3411.01A.01R.0980.07	58.7304187486038
LUSC.TCGA.18.3412.01A.01R.0980.07	59.0867949583045
LUSC.TCGA.18.3414.01A.01R.0980.07	53.4263813722542
LUSC.TCGA.18.3415.01A.01R.0980.07	57.3372214658393
LUSC.TCGA.18.3416.01A.01R.0980.07	45.3683817448969
LUSC.TCGA.18.3417.01A.01R.1443.07	49.1245737655807
LUSC.TCGA.18.3421.01A.01R.0980.07	58.3001901592383
LUSC.TCGA.18.4083.01A.01R.1100.07	58.0896550161715
LUSC.TCGA.18.4721.01A.01R.1443.07	49.878812604983
LUSC.TCGA.18.5592.01A.01R.1635.07	52.6782361842503
GBM.TCGA.19.1390.01A.01R.1850.01	47.0854341136799
GBM.TCGA.19.1787.01B.01R.1850.01	58.0293477161022
GBM.TCGA.19.2619.01A.01R.1850.01	53.606560345235
GBM.TCGA.19.2620.01A.01R.1850.01	41.733038222375
GBM.TCGA.19.2624.01A.01R.1850.01	46.036423724535
GBM.TCGA.19.2625.01A.01R.1850.01	46.6954647976869
GBM.TCGA.19.2629.01A.01R.1850.01	51.5812958204425
GBM.TCGA.19.4065.01A.01R.2005.01	50.2586475839894
GBM.TCGA.19.4065.02A.11R.2005.01	47.4791125910434
GBM.TCGA.19.5960.01A.11R.1850.01	48.003512372951
OV.TCGA.20.0987.01A.02R.1564.13	52.8033960390987
OV.TCGA.20.0991.01A.01R.1564.13	54.5983149186708
OV.TCGA.20.1682.01A.01R.1564.13	43.0359648584757
OV.TCGA.20.1683.01A.01R.1566.13	50.4570075268255
OV.TCGA.20.1686.01A.01R.1566.13	38.281801696767
OV.TCGA.20.1687.01A.01R.1566.13	44.8147797423494
LUSC.TCGA.21.1075.01A.01R.0692.07	58.2894948940952
LUSC.TCGA.21.1080.01A.01R.0692.07	50.8468179982648
LUSC.TCGA.21.1081.01A.01R.0692.07	54.2186274047138
LUSC.TCGA.21.1082.01A.01R.0692.07	54.4920444127818
LUSC.TCGA.21.5782.01A.01R.1635.07	44.7851751881359
LUSC.TCGA.21.5783.01A.41R.2187.07	64.5519700901151
LUSC.TCGA.21.5786.01A.01R.1635.07	59.4387344964986
LUSC.TCGA.21.5787.01A.01R.1635.07	53.0427617728957
LUSC.TCGA.22.0940.01A.01R.0692.07	57.7797018289805
LUSC.TCGA.22.0944.01A.01R.0692.07	55.1237888262019
LUSC.TCGA.22.1002.01A.01R.0692.07	50.919986097667
LUSC.TCGA.22.1011.01A.01R.0692.07	54.9049772354939
LUSC.TCGA.22.1012.01A.01R.0692.07	53.7054233717899
LUSC.TCGA.22.1016.01A.01R.0692.07	60.2803514184531
LUSC.TCGA.22.4591.01A.01R.1201.07	57.4299184950988
LUSC.TCGA.22.4593.01A.21R.1820.07	62.8009842775566
LUSC.TCGA.22.4595.01A.01R.1201.07	64.1361572580382
LUSC.TCGA.22.4596.01A.01R.1201.07	53.2408781203259
LUSC.TCGA.22.4599.01A.01R.1443.07	51.1162148049219
LUSC.TCGA.22.4601.01A.01R.1443.07	48.0981356046876
LUSC.TCGA.22.4604.01A.01R.1201.07	57.1072978142071
LUSC.TCGA.22.4607.01A.01R.1201.07	55.3007908137975
LUSC.TCGA.22.4609.01A.21R.2125.07	46.9432692880596
LUSC.TCGA.22.4613.01A.01R.1443.07	45.7199581285303
LUSC.TCGA.22.5471.01A.01R.1635.07	59.4986258082893
LUSC.TCGA.22.5472.01A.01R.1635.07	51.960582978439
LUSC.TCGA.22.5473.01A.01R.1635.07	57.1082540443703
LUSC.TCGA.22.5474.01A.01R.1635.07	55.6952799228528
LUSC.TCGA.22.5477.01A.01R.1635.07	55.6829061818342
LUSC.TCGA.22.5478.01A.01R.1635.07	54.372687884577
LUSC.TCGA.22.5480.01A.01R.1635.07	72.1805685794799
LUSC.TCGA.22.5481.01A.31R.1949.07	45.0129881189189
LUSC.TCGA.22.5482.01A.01R.1635.07	55.1109694394344
LUSC.TCGA.22.5483.01A.01R.1820.07	50.5873190696651
LUSC.TCGA.22.5485.01A.01R.1635.07	55.2328868384167
LUSC.TCGA.22.5489.01A.01R.1635.07	69.693335506193
LUSC.TCGA.22.5491.01A.01R.1635.07	57.0497277530664
LUSC.TCGA.22.5492.01A.01R.1635.07	54.3010240147872
LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	59.4035268565225
OV.TCGA.23.1021.01B.01R.1564.13	48.6637730501036
OV.TCGA.23.1022.01A.01R.1564.13	43.3307222987743
OV.TCGA.23.1027.01A.02R.1564.13	52.070883539981
