patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	52.7710387594841
GBM.TCGA.02.0055.01A.01R.1849.01	50.6398855330896
GBM.TCGA.02.2483.01A.01R.1849.01	52.3984481871325
GBM.TCGA.02.2485.01A.01R.1849.01	47.3385858714472
GBM.TCGA.02.2486.01A.01R.1849.01	48.9551911422326
OV.TCGA.04.1331.01A.01R.1569.13	54.7234237532144
OV.TCGA.04.1341.01A.01R.1564.13	52.955342946811
OV.TCGA.04.1343.01A.01R.1564.13	54.7548559660973
OV.TCGA.04.1347.01A.01R.1564.13	50.1851620759002
OV.TCGA.04.1356.01A.01R.1569.13	54.6362472542033
OV.TCGA.04.1357.01A.01R.1565.13	53.856772144763
OV.TCGA.04.1361.01A.01R.1565.13	54.3760898438987
OV.TCGA.04.1362.01A.01R.1565.13	53.5189830170518
OV.TCGA.04.1542.01A.01R.1566.13	57.488317776233
OV.TCGA.04.1648.01A.01R.1567.13	46.7284840311391
OV.TCGA.04.1651.01A.01R.1567.13	46.3910507637459
OV.TCGA.04.1655.01A.01R.1566.13	51.8932711506069
LUAD.TCGA.05.4244.01A.01R.1107.07	49.7114038718939
LUAD.TCGA.05.4249.01A.01R.1107.07	46.6014165836804
LUAD.TCGA.05.4250.01A.01R.1107.07	59.941389315292
LUAD.TCGA.05.4384.01A.01R.1755.07	51.4307099699789
LUAD.TCGA.05.4389.01A.01R.1206.07	51.2818470620548
LUAD.TCGA.05.4390.01A.02R.1755.07	52.9978366364204
LUAD.TCGA.05.4395.01A.01R.1206.07	55.4204465734572
LUAD.TCGA.05.4396.01A.21R.1858.07	52.5978733582843
LUAD.TCGA.05.4397.01A.01R.1206.07	45.6657018868444
LUAD.TCGA.05.4398.01A.01R.1206.07	59.8782922288637
LUAD.TCGA.05.4402.01A.01R.1206.07	46.9997244628272
LUAD.TCGA.05.4403.01A.01R.1206.07	48.8810817891096
LUAD.TCGA.05.4405.01A.21R.1858.07	50.7222847333863
LUAD.TCGA.05.4415.01A.22R.1858.07	71.7145294499807
LUAD.TCGA.05.4417.01A.22R.1858.07	52.8316917961902
LUAD.TCGA.05.4418.01A.01R.1206.07	49.508131227241
LUAD.TCGA.05.4420.01A.01R.1206.07	52.4825402894143
LUAD.TCGA.05.4422.01A.01R.1206.07	47.1119108906723
LUAD.TCGA.05.4425.01A.01R.1755.07	50.7632283247625
LUAD.TCGA.05.4426.01A.01R.1206.07	56.46398911962
LUAD.TCGA.05.4427.01A.21R.1858.07	56.6717382369633
LUAD.TCGA.05.4432.01A.01R.1206.07	41.4982941657254
LUAD.TCGA.05.4433.01A.22R.1858.07	50.8215847046807
LUAD.TCGA.05.4434.01A.01R.1206.07	52.0410384761958
LUAD.TCGA.05.5423.01A.01R.1628.07	51.0174955732061
LUAD.TCGA.05.5425.01A.02R.1628.07	49.2905530618443
LUAD.TCGA.05.5428.01A.01R.1628.07	48.9610623151652
