patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	51.3286895399464
GBM.TCGA.02.0055.01A.01R.1849.01	54.972637664553
GBM.TCGA.02.2483.01A.01R.1849.01	55.4919524613894
GBM.TCGA.02.2485.01A.01R.1849.01	52.6110950123585
GBM.TCGA.02.2486.01A.01R.1849.01	49.525659953722
OV.TCGA.04.1331.01A.01R.1569.13	51.9540415646003
OV.TCGA.04.1341.01A.01R.1564.13	52.5081503218923
OV.TCGA.04.1343.01A.01R.1564.13	54.7548559660973
OV.TCGA.04.1347.01A.01R.1564.13	54.9387712565179
OV.TCGA.04.1356.01A.01R.1569.13	53.7231578973541
OV.TCGA.04.1357.01A.01R.1565.13	52.7464041024992
OV.TCGA.04.1361.01A.01R.1565.13	54.3760898438987
OV.TCGA.04.1362.01A.01R.1565.13	54.7671140959617
OV.TCGA.04.1542.01A.01R.1566.13	55.7337438594541
OV.TCGA.04.1648.01A.01R.1567.13	51.335526235979
OV.TCGA.04.1651.01A.01R.1567.13	49.8019585910936
OV.TCGA.04.1655.01A.01R.1566.13	51.8932711506069
LUAD.TCGA.05.4244.01A.01R.1107.07	49.8972588863179
LUAD.TCGA.05.4249.01A.01R.1107.07	51.1189215214146
LUAD.TCGA.05.4250.01A.01R.1107.07	63.3522971426397
LUAD.TCGA.05.4384.01A.01R.1755.07	51.4307099699789
LUAD.TCGA.05.4389.01A.01R.1206.07	48.7406391036182
LUAD.TCGA.05.4390.01A.02R.1755.07	51.8272030312639
LUAD.TCGA.05.4395.01A.01R.1206.07	52.2333203856902
LUAD.TCGA.05.4396.01A.21R.1858.07	52.5978733582843
LUAD.TCGA.05.4397.01A.01R.1206.07	45.3461879390868
LUAD.TCGA.05.4398.01A.01R.1206.07	59.9457514370839
LUAD.TCGA.05.4402.01A.01R.1206.07	48.7726998126097
LUAD.TCGA.05.4403.01A.01R.1206.07	49.7180730892593
LUAD.TCGA.05.4405.01A.21R.1858.07	50.2531450439486
LUAD.TCGA.05.4415.01A.22R.1858.07	71.7145294499807
LUAD.TCGA.05.4417.01A.22R.1858.07	49.7807992738198
LUAD.TCGA.05.4418.01A.01R.1206.07	50.9676790502336
LUAD.TCGA.05.4420.01A.01R.1206.07	52.4825402894143
LUAD.TCGA.05.4422.01A.01R.1206.07	47.1119108906723
LUAD.TCGA.05.4425.01A.01R.1755.07	50.637385051677
LUAD.TCGA.05.4426.01A.01R.1206.07	56.46398911962
LUAD.TCGA.05.4427.01A.21R.1858.07	56.6717382369633
LUAD.TCGA.05.4432.01A.01R.1206.07	41.4982941657254
LUAD.TCGA.05.4433.01A.22R.1858.07	50.8215847046807
LUAD.TCGA.05.4434.01A.01R.1206.07	52.0410384761958
LUAD.TCGA.05.5423.01A.01R.1628.07	51.4657582292473
LUAD.TCGA.05.5425.01A.02R.1628.07	49.2905530618443
LUAD.TCGA.05.5428.01A.01R.1628.07	48.6551049016994
LUAD.TCGA.05.5429.01A.01R.1628.07	50.1451107577962
LUAD.TCGA.05.5715.01A.01R.1628.07	49.2768408195355
GBM.TCGA.06.0125.01A.01R.1849.01	54.1221469658426
GBM.TCGA.06.0125.02A.11R.2005.01	51.8447430305254
GBM.TCGA.06.0129.01A.01R.1849.01	52.7590792303064
GBM.TCGA.06.0152.02A.01R.2005.01	53.4945229843552
GBM.TCGA.06.0157.01A.01R.1849.01	51.7858535728502
GBM.TCGA.06.0158.01A.01R.1849.01	54.3219561767939
GBM.TCGA.06.0168.01A.01R.1849.01	50.5984086479016
GBM.TCGA.06.0174.01A.01R.1849.01	55.3240797854006
GBM.TCGA.06.0184.01A.01R.1849.01	50.0189159690746
GBM.TCGA.06.0187.01A.01R.1849.01	54.3862705893956
GBM.TCGA.06.0190.01A.01R.1849.01	51.2014987093174
GBM.TCGA.06.0190.02A.01R.2005.01	57.2469003649217
GBM.TCGA.06.0210.02A.01R.2005.01	51.7916264107354
GBM.TCGA.06.0211.01B.01R.1849.01	53.3687774921219
GBM.TCGA.06.0211.02A.02R.2005.01	51.9737492954718
GBM.TCGA.06.0219.01A.01R.1849.01	50.4987103942066
GBM.TCGA.06.0221.02A.11R.2005.01	53.6778505766141
GBM.TCGA.06.0238.01A.02R.1849.01	55.1988557287122
GBM.TCGA.06.0644.01A.02R.1849.01	58.3184719272664
GBM.TCGA.06.0645.01A.01R.1849.01	46.2286132827085
GBM.TCGA.06.0646.01A.01R.1849.01	49.6347421329035
GBM.TCGA.06.0649.01B.01R.1849.01	50.8971388947896
GBM.TCGA.06.0686.01A.01R.1849.01	53.3466064131036
GBM.TCGA.06.0743.01A.01R.1849.01	52.6060855178432
GBM.TCGA.06.0744.01A.01R.1849.01	53.6366835818935
GBM.TCGA.06.0745.01A.01R.1849.01	52.2534540536238
GBM.TCGA.06.0747.01A.01R.1849.01	52.5708557063583
GBM.TCGA.06.0749.01A.01R.1849.01	53.8072629637373
GBM.TCGA.06.0750.01A.01R.1849.01	48.51715296098
GBM.TCGA.06.0878.01A.01R.1849.01	54.0975084510796
GBM.TCGA.06.0882.01A.01R.1849.01	52.4450526417808
GBM.TCGA.06.1804.01A.01R.1849.01	52.3317232579185
GBM.TCGA.06.2557.01A.01R.1849.01	53.5524323788334
GBM.TCGA.06.2558.01A.01R.1849.01	52.3731108076941
GBM.TCGA.06.2559.01A.01R.1849.01	50.8984409506575
GBM.TCGA.06.2561.01A.02R.1849.01	49.452097356829
GBM.TCGA.06.2562.01A.01R.1849.01	52.5708557063583
GBM.TCGA.06.2563.01A.01R.1849.01	52.4843856422899
GBM.TCGA.06.2564.01A.01R.1849.01	52.395147207828
GBM.TCGA.06.2565.01A.01R.1849.01	57.6314074846182
GBM.TCGA.06.2567.01A.01R.1849.01	53.9243686990704
GBM.TCGA.06.2569.01A.01R.1849.01	51.072173133024
GBM.TCGA.06.2570.01A.01R.1849.01	53.9082680045426
GBM.TCGA.06.5408.01A.01R.1849.01	48.3502177480034
GBM.TCGA.06.5411.01A.01R.1849.01	51.4462439470891
GBM.TCGA.06.5413.01A.01R.1849.01	52.9373254030728
GBM.TCGA.06.5414.01A.01R.1849.01	54.2107581353053
GBM.TCGA.06.5418.01A.01R.1849.01	49.8941641648329
GBM.TCGA.06.5856.01A.01R.1849.01	53.5319880566207
GBM.TCGA.06.5858.01A.01R.1849.01	54.3602084619831
GBM.TCGA.06.5859.01A.01R.1849.01	50.4361901299904
GBM.TCGA.08.0386.01A.01R.1849.01	53.0634867642628
OV.TCGA.09.0364.01A.02R.1564.13	53.2506915915192
OV.TCGA.09.0369.01A.01R.1564.13	48.5484407402118
OV.TCGA.09.1673.01A.01R.1566.13	51.5610673432592
OV.TCGA.09.2044.01B.01R.1568.13	51.9896172663355
OV.TCGA.09.2051.01A.01R.1568.13	52.2754863404678
OV.TCGA.09.2053.01C.01R.1568.13	55.7798697513105
OV.TCGA.10.0927.01A.02R.1564.13	51.0398949935362
OV.TCGA.10.0928.01A.02R.1564.13	54.1564438277344
OV.TCGA.10.0931.01A.01R.1564.13	54.2284333140763
OV.TCGA.10.0933.01A.01R.1569.13	48.4997861621736
OV.TCGA.10.0937.01A.02R.1564.13	46.0827960251892
GBM.TCGA.12.0616.01A.01R.1849.01	54.2446167125929
GBM.TCGA.12.0618.01A.01R.1849.01	53.7763618688184
GBM.TCGA.12.0619.01A.01R.1849.01	46.4014876956247
GBM.TCGA.12.0821.01A.01R.1849.01	54.2778775979783
GBM.TCGA.12.3650.01A.01R.1849.01	54.2446167125929
GBM.TCGA.12.3652.01A.01R.1849.01	51.0681942229587
GBM.TCGA.12.3653.01A.01R.1849.01	55.798282757026
GBM.TCGA.12.5295.01A.01R.1849.01	55.267320178135
GBM.TCGA.12.5299.01A.02R.1849.01	55.4203836607191
OV.TCGA.13.0714.01A.01R.1564.13	50.9799135561227
OV.TCGA.13.0726.01A.01R.1564.13	51.8354600261322
OV.TCGA.13.0795.01A.01R.1564.13	49.7696245395833
OV.TCGA.13.0800.01A.01R.1564.13	51.9818879070132
OV.TCGA.13.0804.01A.01R.1564.13	48.4697677940651
OV.TCGA.13.0883.01A.02R.1569.13	54.2736448746069
OV.TCGA.13.0884.01B.01R.1565.13	51.5276043025298
OV.TCGA.13.0885.01A.02R.1569.13	54.8628707016181
OV.TCGA.13.0886.01A.01R.1569.13	50.2012768230409
OV.TCGA.13.0887.01A.01R.1564.13	54.9501524712496
OV.TCGA.13.0888.01A.01R.1564.13	56.3090902370188
OV.TCGA.13.0891.01A.01R.1564.13	50.300474469356
OV.TCGA.13.0893.01B.01R.1565.13	55.0348679882171
OV.TCGA.13.0897.01A.01R.1564.13	47.8355840320686
OV.TCGA.13.0905.01B.01R.1565.13	50.4335484309095
OV.TCGA.13.0911.01A.01R.1564.13	51.2597625283117
OV.TCGA.13.0916.01A.01R.1564.13	54.4433527456259
OV.TCGA.13.0923.01A.01R.1564.13	48.5876924723218
OV.TCGA.13.1403.01A.01R.1565.13	53.9762947375743
OV.TCGA.13.1404.01A.01R.1565.13	49.2630053833507
OV.TCGA.13.1405.01A.01R.1565.13	53.640058130333
OV.TCGA.13.1411.01A.01R.1565.13	54.4088676744827
OV.TCGA.13.1477.01A.01R.1565.13	59.5473668460118
OV.TCGA.13.1483.01A.01R.1565.13	50.9396781993969
OV.TCGA.13.1487.01A.01R.1565.13	49.266378447415
OV.TCGA.13.1488.01A.01R.1565.13	48.0017611595655
OV.TCGA.13.1489.01A.01R.1565.13	53.498415388832
OV.TCGA.13.1492.01A.01R.1565.13	49.3926110480421
OV.TCGA.13.1495.01A.01R.1565.13	53.8587954504913
OV.TCGA.13.1496.01A.01R.1565.13	54.7302647985056
OV.TCGA.13.1497.01A.01R.1565.13	53.2503764062037
OV.TCGA.13.1498.01A.01R.1565.13	52.3662716071531
OV.TCGA.13.1499.01A.01R.1565.13	50.7664615840731
OV.TCGA.13.1501.01A.01R.1565.13	51.1335281969485
OV.TCGA.13.1505.01A.01R.1565.13	49.0301349258451
OV.TCGA.13.1506.01A.01R.1565.13	55.1847645997191
OV.TCGA.13.1507.01A.01R.1565.13	51.3436676029954
OV.TCGA.13.1509.01A.01R.1565.13	52.7172372157532
OV.TCGA.13.1510.01A.02R.1565.13	52.2568241570631
OV.TCGA.13.1511.01A.01R.1565.13	56.5094839686078
OV.TCGA.13.1512.01A.01R.1565.13	49.7468686613614
OV.TCGA.13.2060.01A.01R.1568.13	49.3518640362212
OV.TCGA.13.A5FT.01A.11R.A406.31	57.1155038258934
GBM.TCGA.14.0736.02A.01R.2005.01	45.4580449889197
GBM.TCGA.14.0787.01A.01R.1849.01	52.5541785787616
GBM.TCGA.14.0789.01A.01R.1849.01	50.6288078104635
GBM.TCGA.14.0790.01B.01R.1849.01	53.0621707466145
GBM.TCGA.14.0817.01A.01R.1849.01	49.2020182000244
GBM.TCGA.14.0871.01A.01R.1849.01	52.2057231911072
GBM.TCGA.14.1034.01A.01R.1849.01	52.9628744901565
GBM.TCGA.14.1034.02B.01R.2005.01	51.5260961002342
GBM.TCGA.14.1823.01A.01R.1849.01	51.4136896741917
GBM.TCGA.14.1825.01A.01R.1850.01	51.8689650189533
GBM.TCGA.14.1829.01A.01R.1850.01	49.5858478640843
GBM.TCGA.14.2554.01A.01R.1850.01	46.3814502694076
GBM.TCGA.15.0742.01A.01R.1850.01	52.3862710423635
GBM.TCGA.15.1444.01A.02R.1850.01	53.6013159814462
GBM.TCGA.16.0846.01A.01R.1850.01	52.0053605921564
GBM.TCGA.16.1045.01B.01R.1850.01	50.8984268575153
LUSC.TCGA.18.3406.01A.01R.0980.07	44.1903371736158
LUSC.TCGA.18.3408.01A.01R.0980.07	41.9794959539905
LUSC.TCGA.18.3410.01A.01R.0980.07	42.3620433413599
LUSC.TCGA.18.3411.01A.01R.0980.07	39.9475624202523
LUSC.TCGA.18.3412.01A.01R.0980.07	36.7964052241385
LUSC.TCGA.18.3414.01A.01R.0980.07	42.8106574860174
LUSC.TCGA.18.3415.01A.01R.0980.07	41.7812279033515
LUSC.TCGA.18.3416.01A.01R.0980.07	43.5492288653813
LUSC.TCGA.18.3417.01A.01R.1443.07	61.4731864128655
LUSC.TCGA.18.3421.01A.01R.0980.07	47.6291077951945
LUSC.TCGA.18.4083.01A.01R.1100.07	40.2897872033643
LUSC.TCGA.18.4721.01A.01R.1443.07	47.764429457181
LUSC.TCGA.18.5592.01A.01R.1635.07	40.0230861271602
GBM.TCGA.19.1390.01A.01R.1850.01	52.6149462742676
GBM.TCGA.19.1787.01B.01R.1850.01	52.1719426580723
GBM.TCGA.19.2619.01A.01R.1850.01	51.3867775655137
GBM.TCGA.19.2620.01A.01R.1850.01	51.9692572960712
GBM.TCGA.19.2624.01A.01R.1850.01	52.9979678069611
GBM.TCGA.19.2625.01A.01R.1850.01	51.8733422871749
GBM.TCGA.19.2629.01A.01R.1850.01	49.8915768005145
GBM.TCGA.19.4065.01A.01R.2005.01	50.284901712085
GBM.TCGA.19.4065.02A.11R.2005.01	53.2733317064997
GBM.TCGA.19.5960.01A.11R.1850.01	54.5569653077921
OV.TCGA.20.0987.01A.02R.1564.13	49.9869563414588
OV.TCGA.20.0991.01A.01R.1564.13	52.9750089083336
OV.TCGA.20.1682.01A.01R.1564.13	46.503674660409
OV.TCGA.20.1683.01A.01R.1566.13	53.5377084924339
OV.TCGA.20.1686.01A.01R.1566.13	47.7350623451163
OV.TCGA.20.1687.01A.01R.1566.13	55.0805537139983
LUSC.TCGA.21.1075.01A.01R.0692.07	40.830264417431
LUSC.TCGA.21.1080.01A.01R.0692.07	42.7393086451961
LUSC.TCGA.21.1081.01A.01R.0692.07	37.268999605142
LUSC.TCGA.21.1082.01A.01R.0692.07	37.9977191581831
LUSC.TCGA.21.5782.01A.01R.1635.07	47.0740972153088
LUSC.TCGA.21.5783.01A.41R.2187.07	52.5591957119933
LUSC.TCGA.21.5786.01A.01R.1635.07	44.4586868808238
LUSC.TCGA.21.5787.01A.01R.1635.07	51.5207911068225
LUSC.TCGA.22.0940.01A.01R.0692.07	50.8202532179032
LUSC.TCGA.22.0944.01A.01R.0692.07	42.8692450318972
LUSC.TCGA.22.1002.01A.01R.0692.07	37.5738197911062
LUSC.TCGA.22.1011.01A.01R.0692.07	31.7006831833271
LUSC.TCGA.22.1012.01A.01R.0692.07	40.8108006987816
LUSC.TCGA.22.1016.01A.01R.0692.07	44.9278527194428
LUSC.TCGA.22.4591.01A.01R.1201.07	40.5861489498444
LUSC.TCGA.22.4593.01A.21R.1820.07	48.425987205774
LUSC.TCGA.22.4595.01A.01R.1201.07	36.894120174107
LUSC.TCGA.22.4596.01A.01R.1201.07	50.066725232602
LUSC.TCGA.22.4599.01A.01R.1443.07	47.7238100208179
LUSC.TCGA.22.4601.01A.01R.1443.07	40.2683015404583
LUSC.TCGA.22.4604.01A.01R.1201.07	42.146106383142
LUSC.TCGA.22.4607.01A.01R.1201.07	47.8956117149385
LUSC.TCGA.22.4609.01A.21R.2125.07	40.661824143463
LUSC.TCGA.22.4613.01A.01R.1443.07	45.6754515358577
LUSC.TCGA.22.5471.01A.01R.1635.07	40.4879212590271
LUSC.TCGA.22.5472.01A.01R.1635.07	51.5260751738661
LUSC.TCGA.22.5473.01A.01R.1635.07	42.0512092833545
LUSC.TCGA.22.5474.01A.01R.1635.07	37.2879679567042
LUSC.TCGA.22.5477.01A.01R.1635.07	42.4652957256446
LUSC.TCGA.22.5478.01A.01R.1635.07	45.8152154477341
LUSC.TCGA.22.5480.01A.01R.1635.07	43.0088754180632
LUSC.TCGA.22.5481.01A.31R.1949.07	55.1423147015599
LUSC.TCGA.22.5482.01A.01R.1635.07	40.1623358161218
LUSC.TCGA.22.5483.01A.01R.1820.07	49.8212045405585
LUSC.TCGA.22.5485.01A.01R.1635.07	41.1091561628505
LUSC.TCGA.22.5489.01A.01R.1635.07	40.3050097286313
LUSC.TCGA.22.5491.01A.01R.1635.07	38.3775755437407
LUSC.TCGA.22.5492.01A.01R.1635.07	38.4830903120276
LUSC.TCGA.22.A5C4.01A.12R.A27Q.07	41.1248628283656
OV.TCGA.23.1021.01B.01R.1564.13	55.6025779945094
OV.TCGA.23.1022.01A.01R.1564.13	52.1210920604606
OV.TCGA.23.1027.01A.02R.1564.13	50.4566647662463
OV.TCGA.23.1029.01B.01R.1567.13	55.6611308770444
OV.TCGA.23.1030.01A.02R.1564.13	59.1877390551034
OV.TCGA.23.1110.01A.01R.1564.13	52.859232184125
OV.TCGA.23.1111.01A.01R.1567.13	61.9511545990499
OV.TCGA.23.1113.01A.01R.1564.13	56.8128462992047
OV.TCGA.23.1114.01B.01R.1566.13	55.495609749665
OV.TCGA.23.1116.01A.01R.1564.13	54.1348193738863
OV.TCGA.23.1118.01A.01R.1564.13	51.1102426419217
OV.TCGA.23.1123.01A.01R.1565.13	51.3375666152854
OV.TCGA.23.1809.01A.01R.1566.13	55.7481122245523
OV.TCGA.23.2077.01A.01R.1568.13	48.6213964766167
OV.TCGA.23.2078.01A.01R.1568.13	53.831965051685
OV.TCGA.23.2084.01A.02R.1568.13	56.4591590849884
OV.TCGA.24.0970.01B.01R.1565.13	51.154112477312
OV.TCGA.24.0982.01A.01R.1565.13	53.8948505258546
OV.TCGA.24.1103.01A.01R.1565.13	51.9288742426344
OV.TCGA.24.1104.01A.01R.1565.13	51.7057358384441
OV.TCGA.24.1413.01A.01R.1565.13	59.1113666554336
OV.TCGA.24.1416.01A.01R.1565.13	52.4509655397642
OV.TCGA.24.1417.01A.01R.1565.13	50.0059701655692
OV.TCGA.24.1418.01A.01R.1565.13	55.7081213804229
OV.TCGA.24.1419.01A.01R.1565.13	52.5481759999489
OV.TCGA.24.1422.01A.01R.1565.13	49.1104813986373
OV.TCGA.24.1423.01A.01R.1565.13	51.8124104805764
OV.TCGA.24.1424.01A.01R.1565.13	51.3201100558595
OV.TCGA.24.1425.01A.02R.1566.13	48.6909039429383
OV.TCGA.24.1426.01A.01R.1565.13	56.4610634555838
OV.TCGA.24.1427.01A.01R.1565.13	49.3983928449246
OV.TCGA.24.1428.01A.01R.1564.13	50.4543675757143
OV.TCGA.24.1430.01A.01R.1566.13	60.5977301333052
OV.TCGA.24.1431.01A.01R.1566.13	57.0422737262069
OV.TCGA.24.1434.01A.01R.1566.13	52.3652222141704
OV.TCGA.24.1435.01A.01R.1566.13	50.7714843932672
OV.TCGA.24.1464.01A.01R.1566.13	52.4251017365293
OV.TCGA.24.1467.01A.01R.1566.13	51.4664625543419
OV.TCGA.24.1469.01A.01R.1566.13	53.4099138603718
OV.TCGA.24.1470.01A.01R.1566.13	52.1776058727527
OV.TCGA.24.1471.01A.01R.1566.13	59.9757515033399
OV.TCGA.24.1474.01A.01R.1566.13	46.0268792826888
OV.TCGA.24.1549.01A.01R.1566.13	56.8658250626676
OV.TCGA.24.1550.01A.01R.1566.13	50.9634247125673
OV.TCGA.24.1551.01A.01R.1566.13	55.8635109470562
OV.TCGA.24.1552.01A.01R.1566.13	55.8322848775224
OV.TCGA.24.1562.01A.01R.1566.13	52.2895437979165
OV.TCGA.24.1563.01A.01R.1566.13	55.781419182363
OV.TCGA.24.1565.01A.01R.1566.13	49.2538551575462
OV.TCGA.24.1603.01A.01R.1566.13	48.5568120060251
OV.TCGA.24.1616.01A.01R.1566.13	54.5873536327635
OV.TCGA.24.1842.01A.01R.1567.13	57.9042500334179
OV.TCGA.24.1843.01A.01R.1567.13	50.9488445350848
OV.TCGA.24.1844.01A.01R.1567.13	51.0816001475551
OV.TCGA.24.1845.01A.01R.1567.13	55.0002362954527
OV.TCGA.24.1846.01A.01R.1567.13	52.0273245043085
OV.TCGA.24.1847.01A.01R.1566.13	56.7476838446679
OV.TCGA.24.1850.01A.01R.1567.13	51.1786716845499
OV.TCGA.24.2024.01A.02R.1568.13	54.1327719551166
OV.TCGA.24.2033.01A.01R.1568.13	50.7946950281493
OV.TCGA.24.2035.01A.01R.1568.13	53.433094956166
OV.TCGA.24.2038.01A.01R.1568.13	59.4492476470978
OV.TCGA.24.2254.01A.01R.1568.13	47.7826339286109
OV.TCGA.24.2261.01A.01R.1568.13	50.9657849073089
OV.TCGA.24.2262.01A.01R.1568.13	48.5395662292102
OV.TCGA.24.2267.01A.01R.1568.13	53.225236853273
OV.TCGA.24.2271.01A.01R.1568.13	50.9367080827326
OV.TCGA.24.2280.01A.01R.1568.13	49.6396847196499
OV.TCGA.24.2281.01A.01R.1568.13	53.8195869966374
OV.TCGA.24.2288.01A.01R.1568.13	54.7848850402902
OV.TCGA.24.2289.01A.01R.1568.13	48.0694935224044
OV.TCGA.24.2290.01A.01R.1568.13	58.6393646600274
OV.TCGA.24.2293.01A.01R.1568.13	51.6125769043795
OV.TCGA.24.2298.01A.01R.1569.13	51.2892686489329
OV.TCGA.25.1312.01A.01R.1565.13	56.8793304428751
OV.TCGA.25.1313.01A.01R.1565.13	47.7257208597513
OV.TCGA.25.1315.01A.01R.1565.13	53.4324546904879
OV.TCGA.25.1319.01A.01R.1565.13	52.3956940198266
OV.TCGA.25.1320.01A.01R.1565.13	51.213713080229
OV.TCGA.25.1322.01A.01R.1565.13	53.4893092015226
OV.TCGA.25.1323.01A.01R.1565.13	54.5916124951326
OV.TCGA.25.1329.01A.01R.1565.13	56.2250307382321
OV.TCGA.25.2042.01A.01R.1568.13	49.1527950682735
OV.TCGA.25.2391.01A.01R.1569.13	50.4335484309095
OV.TCGA.25.2392.01A.01R.1569.13	46.6888599634735
