patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	56.6290864378163
GBM.TCGA.02.0055.01A.01R.1849.01	70.3532751059897
GBM.TCGA.02.2483.01A.01R.1849.01	63.1302966402259
GBM.TCGA.02.2485.01A.01R.1849.01	61.8214787871548
GBM.TCGA.02.2486.01A.01R.1849.01	61.053189260183
OV.TCGA.04.1331.01A.01R.1569.13	38.0990709243177
OV.TCGA.04.1341.01A.01R.1564.13	41.1870151051197
OV.TCGA.04.1343.01A.01R.1564.13	40.6699454775554
OV.TCGA.04.1347.01A.01R.1564.13	47.5667792750045
OV.TCGA.04.1356.01A.01R.1569.13	45.5037926992199
OV.TCGA.04.1357.01A.01R.1565.13	40.7022100042618
OV.TCGA.04.1361.01A.01R.1565.13	40.197097968003
OV.TCGA.04.1362.01A.01R.1565.13	33.0933951327079
OV.TCGA.04.1542.01A.01R.1566.13	48.7625811305259
OV.TCGA.04.1648.01A.01R.1567.13	45.3153566142901
OV.TCGA.04.1651.01A.01R.1567.13	34.058700509722
OV.TCGA.04.1655.01A.01R.1566.13	47.5475840449287
LUAD.TCGA.05.4244.01A.01R.1107.07	58.9710029353442
LUAD.TCGA.05.4249.01A.01R.1107.07	44.1948180501774
LUAD.TCGA.05.4250.01A.01R.1107.07	66.7756283418312
LUAD.TCGA.05.4384.01A.01R.1755.07	28.8890078907061
LUAD.TCGA.05.4389.01A.01R.1206.07	24.860632297829
LUAD.TCGA.05.4390.01A.02R.1755.07	36.9135007839286
LUAD.TCGA.05.4395.01A.01R.1206.07	52.2231056912651
LUAD.TCGA.05.4396.01A.21R.1858.07	26.9771003755387
LUAD.TCGA.05.4397.01A.01R.1206.07	35.9676544425501
LUAD.TCGA.05.4398.01A.01R.1206.07	54.2450835070944
LUAD.TCGA.05.4402.01A.01R.1206.07	35.0692939579025
LUAD.TCGA.05.4403.01A.01R.1206.07	27.0261848989324
LUAD.TCGA.05.4405.01A.21R.1858.07	45.543205283118
LUAD.TCGA.05.4415.01A.22R.1858.07	63.4136275962596
LUAD.TCGA.05.4417.01A.22R.1858.07	34.4883970785574
LUAD.TCGA.05.4418.01A.01R.1206.07	41.0966468317974
LUAD.TCGA.05.4420.01A.01R.1206.07	38.727997598166
LUAD.TCGA.05.4422.01A.01R.1206.07	22.7779827759712
LUAD.TCGA.05.4425.01A.01R.1755.07	47.8444159056377
LUAD.TCGA.05.4426.01A.01R.1206.07	58.2273543620657
LUAD.TCGA.05.4427.01A.21R.1858.07	74.6310306991365
LUAD.TCGA.05.4432.01A.01R.1206.07	47.4721126331075
LUAD.TCGA.05.4433.01A.22R.1858.07	26.7989773187878
LUAD.TCGA.05.4434.01A.01R.1206.07	41.001519695922
LUAD.TCGA.05.5423.01A.01R.1628.07	43.7694096613425
LUAD.TCGA.05.5425.01A.02R.1628.07	42.9349407054318
LUAD.TCGA.05.5428.01A.01R.1628.07	35.4966344046803
LUAD.TCGA.05.5429.01A.01R.1628.07	32.5235172626845
LUAD.TCGA.05.5715.01A.01R.1628.07	30.6057478745631
GBM.TCGA.06.0125.01A.01R.1849.01	64.9462301389298
GBM.TCGA.06.0125.02A.11R.2005.01	70.527795323689
GBM.TCGA.06.0129.01A.01R.1849.01	45.2862246823503
GBM.TCGA.06.0152.02A.01R.2005.01	69.4444470200868
GBM.TCGA.06.0157.01A.01R.1849.01	58.7897630019561
GBM.TCGA.06.0158.01A.01R.1849.01	62.0635906591036
GBM.TCGA.06.0168.01A.01R.1849.01	53.42120663981
GBM.TCGA.06.0174.01A.01R.1849.01	66.798995445036
GBM.TCGA.06.0184.01A.01R.1849.01	43.1256043552014
GBM.TCGA.06.0187.01A.01R.1849.01	63.2991831644067
GBM.TCGA.06.0190.01A.01R.1849.01	63.2748963646611
GBM.TCGA.06.0190.02A.01R.2005.01	71.4082997314644
GBM.TCGA.06.0210.02A.01R.2005.01	63.3718800433476
GBM.TCGA.06.0211.01B.01R.1849.01	61.1976587256751
GBM.TCGA.06.0211.02A.02R.2005.01	64.6103834709158
