patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	56.6290864378163
GBM.TCGA.02.0055.01A.01R.1849.01	71.1406839313673
GBM.TCGA.02.2483.01A.01R.1849.01	64.7972936732064
GBM.TCGA.02.2485.01A.01R.1849.01	66.4576388309205
GBM.TCGA.02.2486.01A.01R.1849.01	55.3242180008266
OV.TCGA.04.1331.01A.01R.1569.13	38.1721509768528
OV.TCGA.04.1341.01A.01R.1564.13	41.1870151051197
OV.TCGA.04.1343.01A.01R.1564.13	40.8420697538305
OV.TCGA.04.1347.01A.01R.1564.13	47.5667792750045
OV.TCGA.04.1356.01A.01R.1569.13	45.5037926992199
OV.TCGA.04.1357.01A.01R.1565.13	40.7847254555988
OV.TCGA.04.1361.01A.01R.1565.13	40.4989892991916
OV.TCGA.04.1362.01A.01R.1565.13	30.837758345109
OV.TCGA.04.1542.01A.01R.1566.13	50.9434955594305
OV.TCGA.04.1648.01A.01R.1567.13	48.191113037823
OV.TCGA.04.1651.01A.01R.1567.13	34.058700509722
OV.TCGA.04.1655.01A.01R.1566.13	47.9967726292105
LUAD.TCGA.05.4244.01A.01R.1107.07	59.1354434034948
LUAD.TCGA.05.4249.01A.01R.1107.07	44.1948180501774
LUAD.TCGA.05.4250.01A.01R.1107.07	64.8638298402011
LUAD.TCGA.05.4384.01A.01R.1755.07	31.6522228683791
LUAD.TCGA.05.4389.01A.01R.1206.07	24.860632297829
LUAD.TCGA.05.4390.01A.02R.1755.07	35.6424485393743
LUAD.TCGA.05.4395.01A.01R.1206.07	47.1698613111408
LUAD.TCGA.05.4396.01A.21R.1858.07	32.4148370721562
LUAD.TCGA.05.4397.01A.01R.1206.07	35.9676544425501
LUAD.TCGA.05.4398.01A.01R.1206.07	50.3440222538014
LUAD.TCGA.05.4402.01A.01R.1206.07	36.85767618264
LUAD.TCGA.05.4403.01A.01R.1206.07	30.4506616149215
LUAD.TCGA.05.4405.01A.21R.1858.07	49.7594747472038
LUAD.TCGA.05.4415.01A.22R.1858.07	61.1548686038302
LUAD.TCGA.05.4417.01A.22R.1858.07	34.4883970785574
LUAD.TCGA.05.4418.01A.01R.1206.07	41.8122393305956
LUAD.TCGA.05.4420.01A.01R.1206.07	37.2963462210369
LUAD.TCGA.05.4422.01A.01R.1206.07	21.7697719022378
LUAD.TCGA.05.4425.01A.01R.1755.07	49.5303202470502
LUAD.TCGA.05.4426.01A.01R.1206.07	58.2273543620657
LUAD.TCGA.05.4427.01A.21R.1858.07	73.0323779013604
LUAD.TCGA.05.4432.01A.01R.1206.07	47.4721126331075
LUAD.TCGA.05.4433.01A.22R.1858.07	26.3209690023345
LUAD.TCGA.05.4434.01A.01R.1206.07	41.001519695922
LUAD.TCGA.05.5423.01A.01R.1628.07	46.6532378494035
LUAD.TCGA.05.5425.01A.02R.1628.07	42.9349407054318
LUAD.TCGA.05.5428.01A.01R.1628.07	36.6859153404402
LUAD.TCGA.05.5429.01A.01R.1628.07	32.5235172626845
LUAD.TCGA.05.5715.01A.01R.1628.07	30.6057478745631
GBM.TCGA.06.0125.01A.01R.1849.01	68.5011834898459
GBM.TCGA.06.0125.02A.11R.2005.01	70.7668994073666
GBM.TCGA.06.0129.01A.01R.1849.01	43.8242718835409
GBM.TCGA.06.0152.02A.01R.2005.01	68.5011834898459
GBM.TCGA.06.0157.01A.01R.1849.01	53.7205217840863
GBM.TCGA.06.0158.01A.01R.1849.01	58.8886444275223
GBM.TCGA.06.0168.01A.01R.1849.01	55.6176894024158
GBM.TCGA.06.0174.01A.01R.1849.01	63.2925359037301
GBM.TCGA.06.0184.01A.01R.1849.01	44.9215784463699
GBM.TCGA.06.0187.01A.01R.1849.01	62.0895730325531
GBM.TCGA.06.0190.01A.01R.1849.01	64.2480903131893
GBM.TCGA.06.0190.02A.01R.2005.01	71.4082997314644
GBM.TCGA.06.0210.02A.01R.2005.01	58.7091824978287
GBM.TCGA.06.0211.01B.01R.1849.01	62.4266039703016
GBM.TCGA.06.0211.02A.02R.2005.01	62.2599491308647
GBM.TCGA.06.0219.01A.01R.1849.01	41.094889485888
GBM.TCGA.06.0221.02A.11R.2005.01	43.4709476799478
GBM.TCGA.06.0238.01A.02R.1849.01	54.5661647750714
GBM.TCGA.06.0644.01A.02R.1849.01	63.4540249362532
GBM.TCGA.06.0645.01A.01R.1849.01	58.6562024966467
GBM.TCGA.06.0646.01A.01R.1849.01	65.4624927991511
GBM.TCGA.06.0649.01B.01R.1849.01	52.816109077487
GBM.TCGA.06.0686.01A.01R.1849.01	60.9656622045932
GBM.TCGA.06.0743.01A.01R.1849.01	57.9241225449978
GBM.TCGA.06.0744.01A.01R.1849.01	59.3544007353283
GBM.TCGA.06.0745.01A.01R.1849.01	57.1883725550388
GBM.TCGA.06.0747.01A.01R.1849.01	58.4662466150411
GBM.TCGA.06.0749.01A.01R.1849.01	38.1258690193804
GBM.TCGA.06.0750.01A.01R.1849.01	54.4029297947563
GBM.TCGA.06.0878.01A.01R.1849.01	67.0580252990077
GBM.TCGA.06.0882.01A.01R.1849.01	46.0166011231488
GBM.TCGA.06.1804.01A.01R.1849.01	47.2036823895414
GBM.TCGA.06.2557.01A.01R.1849.01	47.6776913575349
GBM.TCGA.06.2558.01A.01R.1849.01	62.5764150637878
GBM.TCGA.06.2559.01A.01R.1849.01	66.1751753835563
GBM.TCGA.06.2561.01A.02R.1849.01	51.4461988238436
GBM.TCGA.06.2562.01A.01R.1849.01	64.1883934666678
GBM.TCGA.06.2563.01A.01R.1849.01	57.8230887528901
GBM.TCGA.06.2564.01A.01R.1849.01	60.1969338117663
GBM.TCGA.06.2565.01A.01R.1849.01	60.4390456837151
GBM.TCGA.06.2567.01A.01R.1849.01	53.6236658652311
GBM.TCGA.06.2569.01A.01R.1849.01	56.4934834556536
GBM.TCGA.06.2570.01A.01R.1849.01	68.3496743112358
GBM.TCGA.06.5408.01A.01R.1849.01	58.4803611758188
GBM.TCGA.06.5411.01A.01R.1849.01	45.6574913917985
GBM.TCGA.06.5413.01A.01R.1849.01	58.027557341439
GBM.TCGA.06.5414.01A.01R.1849.01	62.9233709332502
GBM.TCGA.06.5418.01A.01R.1849.01	61.5293132607236
GBM.TCGA.06.5856.01A.01R.1849.01	57.371755715608
GBM.TCGA.06.5858.01A.01R.1849.01	64.8432147699299
GBM.TCGA.06.5859.01A.01R.1849.01	47.6776913575349
GBM.TCGA.08.0386.01A.01R.1849.01	64.2828675308492
OV.TCGA.09.0364.01A.02R.1564.13	31.3279863688032
OV.TCGA.09.0369.01A.01R.1564.13	45.3634829375746
OV.TCGA.09.1673.01A.01R.1566.13	45.8792364921126
OV.TCGA.09.2044.01B.01R.1568.13	29.9028497339632
OV.TCGA.09.2051.01A.01R.1568.13	30.5489617909913
OV.TCGA.09.2053.01C.01R.1568.13	40.7800133790761
OV.TCGA.10.0927.01A.02R.1564.13	48.1703628649406
OV.TCGA.10.0928.01A.02R.1564.13	50.6988013763544
OV.TCGA.10.0931.01A.01R.1564.13	38.9223266820863
OV.TCGA.10.0933.01A.01R.1569.13	38.8237458451728
OV.TCGA.10.0937.01A.02R.1564.13	38.1377457698498
GBM.TCGA.12.0616.01A.01R.1849.01	66.1592808025261
GBM.TCGA.12.0618.01A.01R.1849.01	63.2925359037301
GBM.TCGA.12.0619.01A.01R.1849.01	55.2789891847419
GBM.TCGA.12.0821.01A.01R.1849.01	60.2538452130354
GBM.TCGA.12.3650.01A.01R.1849.01	48.845913200395
GBM.TCGA.12.3652.01A.01R.1849.01	61.1084210687568
GBM.TCGA.12.3653.01A.01R.1849.01	57.152196312154
GBM.TCGA.12.5295.01A.01R.1849.01	43.0139417121342
GBM.TCGA.12.5299.01A.02R.1849.01	63.1374780959593
OV.TCGA.13.0714.01A.01R.1564.13	50.276682565083
OV.TCGA.13.0726.01A.01R.1564.13	47.2744378103396
OV.TCGA.13.0795.01A.01R.1564.13	33.8236401630181
OV.TCGA.13.0800.01A.01R.1564.13	38.8627828330463
OV.TCGA.13.0804.01A.01R.1564.13	42.7634758338427
OV.TCGA.13.0883.01A.02R.1569.13	57.6739213220721
OV.TCGA.13.0884.01B.01R.1565.13	39.901463323011
OV.TCGA.13.0885.01A.02R.1569.13	36.3598358333091
OV.TCGA.13.0886.01A.01R.1569.13	38.3059134629561
OV.TCGA.13.0887.01A.01R.1564.13	34.7708989336681
OV.TCGA.13.0888.01A.01R.1564.13	45.6429525379921
OV.TCGA.13.0891.01A.01R.1564.13	40.3274295740916
OV.TCGA.13.0893.01B.01R.1565.13	36.408061906679
OV.TCGA.13.0897.01A.01R.1564.13	37.2895972617399
OV.TCGA.13.0905.01B.01R.1565.13	36.2856117449875
OV.TCGA.13.0911.01A.01R.1564.13	43.809173530014
OV.TCGA.13.0916.01A.01R.1564.13	32.7682435089508
OV.TCGA.13.0923.01A.01R.1564.13	39.3059697998591
OV.TCGA.13.1403.01A.01R.1565.13	45.2043924543015
OV.TCGA.13.1404.01A.01R.1565.13	39.8455571092337
