patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	64.5969119853686
GBM.TCGA.02.0055.01A.01R.1849.01	65.2537697214529
GBM.TCGA.02.2483.01A.01R.1849.01	65.2620508600701
GBM.TCGA.02.2485.01A.01R.1849.01	69.5500911548161
GBM.TCGA.02.2486.01A.01R.1849.01	64.701463171261
OV.TCGA.04.1331.01A.01R.1569.13	58.7100953489259
OV.TCGA.04.1341.01A.01R.1564.13	54.4718437469293
OV.TCGA.04.1343.01A.01R.1564.13	53.6265577725571
OV.TCGA.04.1347.01A.01R.1564.13	61.0089990312519
OV.TCGA.04.1356.01A.01R.1569.13	72.4186745101784
OV.TCGA.04.1357.01A.01R.1565.13	66.8320105018329
OV.TCGA.04.1361.01A.01R.1565.13	52.0362806696832
OV.TCGA.04.1362.01A.01R.1565.13	56.2716137727163
OV.TCGA.04.1542.01A.01R.1566.13	50.2527403281903
OV.TCGA.04.1648.01A.01R.1567.13	56.9892043254088
OV.TCGA.04.1651.01A.01R.1567.13	56.6052487030209
OV.TCGA.04.1655.01A.01R.1566.13	55.0386522307975
LUAD.TCGA.05.4244.01A.01R.1107.07	61.1373949189058
LUAD.TCGA.05.4249.01A.01R.1107.07	68.7979793654225
LUAD.TCGA.05.4250.01A.01R.1107.07	67.7375490026683
LUAD.TCGA.05.4384.01A.01R.1755.07	58.9497719203085
LUAD.TCGA.05.4389.01A.01R.1206.07	65.8881434601567
LUAD.TCGA.05.4390.01A.02R.1755.07	65.6015189216306
LUAD.TCGA.05.4395.01A.01R.1206.07	54.7943643360838
LUAD.TCGA.05.4396.01A.21R.1858.07	69.8327840627084
LUAD.TCGA.05.4397.01A.01R.1206.07	57.2004654151379
LUAD.TCGA.05.4398.01A.01R.1206.07	66.2440289738903
LUAD.TCGA.05.4402.01A.01R.1206.07	50.0766078259617
LUAD.TCGA.05.4403.01A.01R.1206.07	52.1568801121079
LUAD.TCGA.05.4405.01A.21R.1858.07	71.2535708254709
LUAD.TCGA.05.4415.01A.22R.1858.07	72.1656746840069
LUAD.TCGA.05.4417.01A.22R.1858.07	65.8726870128746
LUAD.TCGA.05.4418.01A.01R.1206.07	59.0264273504312
LUAD.TCGA.05.4420.01A.01R.1206.07	73.6375185713579
LUAD.TCGA.05.4422.01A.01R.1206.07	62.3215887288311
LUAD.TCGA.05.4425.01A.01R.1755.07	68.54827103389
LUAD.TCGA.05.4426.01A.01R.1206.07	50.8904429717144
LUAD.TCGA.05.4427.01A.21R.1858.07	73.6890957667675
LUAD.TCGA.05.4432.01A.01R.1206.07	65.6171598527355
LUAD.TCGA.05.4433.01A.22R.1858.07	60.8037732237494
LUAD.TCGA.05.4434.01A.01R.1206.07	43.3476627282046
LUAD.TCGA.05.5423.01A.01R.1628.07	68.6665760381889
