patients	pseudospace
GBM.TCGA.02.0047.01A.01R.1849.01	64.3018261612936
GBM.TCGA.02.0055.01A.01R.1849.01	65.879918535862
GBM.TCGA.02.2483.01A.01R.1849.01	62.4246722635522
GBM.TCGA.02.2485.01A.01R.1849.01	64.5555684836298
GBM.TCGA.02.2486.01A.01R.1849.01	64.701463171261
OV.TCGA.04.1331.01A.01R.1569.13	56.1426711316691
OV.TCGA.04.1341.01A.01R.1564.13	53.4494253434246
OV.TCGA.04.1343.01A.01R.1564.13	55.5893611798654
OV.TCGA.04.1347.01A.01R.1564.13	60.9565112457705
OV.TCGA.04.1356.01A.01R.1569.13	67.9795067759079
OV.TCGA.04.1357.01A.01R.1565.13	62.180970145318
OV.TCGA.04.1361.01A.01R.1565.13	52.2694520236182
OV.TCGA.04.1362.01A.01R.1565.13	57.7908932457701
OV.TCGA.04.1542.01A.01R.1566.13	50.2527403281903
OV.TCGA.04.1648.01A.01R.1567.13	59.2280003614186
OV.TCGA.04.1651.01A.01R.1567.13	56.6052487030209
OV.TCGA.04.1655.01A.01R.1566.13	53.6252613089644
LUAD.TCGA.05.4244.01A.01R.1107.07	65.9144701111359
LUAD.TCGA.05.4249.01A.01R.1107.07	68.7979793654225
LUAD.TCGA.05.4250.01A.01R.1107.07	67.1790441848854
LUAD.TCGA.05.4384.01A.01R.1755.07	61.3635195954211
LUAD.TCGA.05.4389.01A.01R.1206.07	65.6397788048477
LUAD.TCGA.05.4390.01A.02R.1755.07	68.1153539243113
LUAD.TCGA.05.4395.01A.01R.1206.07	54.4105709458015
LUAD.TCGA.05.4396.01A.21R.1858.07	69.8327840627084
LUAD.TCGA.05.4397.01A.01R.1206.07	56.8698861997153
LUAD.TCGA.05.4398.01A.01R.1206.07	64.7679661660756
LUAD.TCGA.05.4402.01A.01R.1206.07	50.0766078259617
LUAD.TCGA.05.4403.01A.01R.1206.07	48.7816065750402
LUAD.TCGA.05.4405.01A.21R.1858.07	68.359945579752
LUAD.TCGA.05.4415.01A.22R.1858.07	68.7300434196156
LUAD.TCGA.05.4417.01A.22R.1858.07	65.8726870128746
LUAD.TCGA.05.4418.01A.01R.1206.07	58.3333886551619
LUAD.TCGA.05.4420.01A.01R.1206.07	73.6375185713579
LUAD.TCGA.05.4422.01A.01R.1206.07	65.5501022785308
LUAD.TCGA.05.4425.01A.01R.1755.07	68.54827103389
LUAD.TCGA.05.4426.01A.01R.1206.07	50.8904429717144
