patients	pseudospace
MGH26_A02	53.5800845540293
MGH26_A03	51.3535526627715
MGH26_A05	53.2165244338355
MGH26_A07	60.9732470984275
MGH26_A08	55.3885748940099
MGH26_A09	48.7404540844784
MGH26_A12	60.6225297352356
MGH26_B01	60.3232279915078
MGH26_B02	55.483639350628
MGH26_B05	68.9454823491319
MGH26_B06	59.8424897832202
MGH26_B10	62.0753754817083
MGH26_B12	51.5256659171363
MGH26_C01	55.5814881125206
MGH26_C03	57.2263793984694
MGH26_C05	46.3137395494127
MGH26_C12	57.4713684355625
MGH26_D01	52.4769496265603
MGH26_D03	51.0708211668761
MGH26_D06	53.035530137243
MGH26_D07	58.2668017010912
MGH26_D08	55.1480961534926
MGH26_D10	66.9354293160579
MGH26_E02	69.5641572006414
MGH26_E04	51.9877572134002
MGH26_E05	56.5176294687204
MGH26_E06	55.7853569790311
MGH26_E07	51.0146804402267
MGH26_E08	52.991247561005
MGH26_E10	54.5241481713078
MGH26_E12	51.2732723208008
MGH26_F02	49.7999879072845
MGH26_F05	56.5554493350077
MGH26_F08	54.72194492805
MGH26_F09	59.2770137810027
MGH26_F10	56.3483308876704
MGH26_F11	59.7179219131492
MGH26_F12	46.8529479514502
MGH26_G01	59.6855401378651
MGH26_G02	62.9853405072739
MGH26_G03	59.8119521593059
MGH26_G06	53.2833056163565
MGH26_G09	55.1845173798147
MGH26_G10	57.0934767197965
MGH26_G11	56.7919872438677
MGH26_G12	50.993535508766
MGH26_H01	59.3632276829302
MGH26_H02	62.0536496203035
MGH26_H05	58.7330270205166
MGH26_H07	57.2444243209628
MGH26_H08	58.0483856198941
MGH26_H11	53.1830622835417
MGH26_H12	48.4274126850141
MGH28_A01	60.3885063918663
MGH28_A02	65.7551955248281
MGH28_A03	56.1564057263615
MGH28_A04	65.8232145246883
MGH28_A05	69.5154935931957
MGH28_A06	46.7542352014268
MGH28_A07	59.0494990825791
MGH28_A08	61.5283974609828
MGH28_A09	59.8140284984238
MGH28_A10	67.6638959122817
MGH28_A11	66.1437367590257
MGH28_A12	62.1793138370133
MGH28_B01	72.4307449340456
MGH28_B02	70.9681268014843
MGH28_B03	65.4300945360012
MGH28_B04	65.4226291764011
MGH28_B05	61.1291631924599
MGH28_B06	66.9653520997868
MGH28_B07	61.3387148659831
MGH28_B08	64.9205612280091
MGH28_B09	62.8309573867276
MGH28_B10	63.8990029946294
MGH28_B11	66.1887242850749
MGH28_B12	58.3753703537308
MGH28_C01	65.2015350014087
MGH28_C02	63.1845377453087
MGH28_C03	65.7855906732457
MGH28_C04	54.1603609288894
MGH28_C05	70.3962091785421
MGH28_C06	61.2067090236915
MGH28_C07	58.3081097726822
MGH28_C08	59.6763250651867
MGH28_C09	66.0456489911337
MGH28_C10	63.3503758121121
MGH28_C11	65.3325185993495
MGH28_C12	67.7873011214271
MGH28_D01	69.0748246584106
MGH28_D03	64.3571146011994
MGH28_D04	49.8652214416627
MGH28_D05	69.7439035055291
MGH28_D06	62.0428408299423
MGH28_D07	67.8008734936041
MGH28_D08	58.6710979720552
MGH28_D09	59.2643363835404
MGH28_D10	64.2188967907802
MGH28_D11	64.4663028275452
MGH28_D12	67.6285377834378
MGH28_E01	59.3174959638143
MGH28_E02	62.3842084824531
MGH28_E03	68.4613566022502
MGH28_E04	58.1524148160912
MGH28_E05	68.8644441568442
MGH28_E06	67.7121955320399
MGH28_E07	65.7609837174699
MGH28_E08	66.4408265158783
MGH28_E09	66.5286907093958
MGH28_E10	69.7240417012173
MGH28_E11	70.7986376242048
MGH28_E12	62.3763352443281
MGH28_F01	55.2880090407946
MGH28_F02	66.9218443060117
MGH28_F03	62.6949141591781
MGH28_F04	71.7146025003419
MGH28_F05	67.4976656110793
MGH28_F06	60.5518740762156
MGH28_F07	63.8681757514134
MGH28_F08	65.1127725895847
MGH28_F09	62.4408906436442
MGH28_F11	63.3025905602439
MGH28_F12	64.2397228967957
MGH28_G01	67.4017395508299
MGH28_G02	54.3147153791224
MGH28_G03	69.8642989632757
MGH28_G04	53.7064829686431
MGH28_G05	67.8094639566503
MGH28_G06	71.5607478328027
MGH28_G07	70.480184845474
MGH28_G08	69.0865757697901
MGH28_G09	62.7751138320304
MGH28_G10	62.1348902047008
MGH28_G11	69.0864991266664
MGH28_G12	66.2662510135325
MGH28_H01	68.8727146373482
MGH28_H02	62.0930626523056
MGH28_H03	63.6621902543408
MGH28_H04	58.9058904579059
MGH28_H05	71.5686529354363
MGH28_H06	67.1199806921069
MGH28_H07	64.2366692542999
MGH28_H08	69.1641128465163
MGH28_H09	62.5718730520944
MGH28_H10	55.9624230364056
MGH28_H11	58.2959255818379
MGH28_H12	64.6873132504046
MGH29_A01	63.7518804565028
MGH29_A02	64.1515914812928
MGH29_A03	64.6553808937995
MGH29_A04	57.3192704677521
MGH29_A05	59.692124454364
MGH29_A06	67.9486955085232
MGH29_A07	68.2795692439992
MGH29_A08	64.53312835111
MGH29_A10	63.7615100937774
MGH29_A11	62.8685911625974
MGH29_A12	64.2975641737743
MGH29_B02	63.4693879623875
MGH29_B03	63.1236580358055
MGH29_B04	67.1685143276865
MGH29_B05	67.5564197842346
MGH29_B06	64.1289726437222
MGH29_B08	68.0008182550319
MGH29_B09	61.4758689946791
MGH29_B10	69.1253455237209
MGH29_B12	62.2639615023489
MGH29_C01	62.9664155729191
MGH29_C03	67.3560664878447
MGH29_C04	51.465419617758
MGH29_C07	66.4589180325217
MGH29_C08	66.6024729406411
MGH29_C09	61.5598876509849
MGH29_C10	67.7529882535838
MGH29_C11	62.5599177757347
MGH29_C12	51.8206322664359
MGH29_D02	56.064872059827
MGH29_D03	61.389583689744
MGH29_D04	55.4266286029112
MGH29_D05	56.7116431953094
MGH29_D07	69.7090258496457
MGH29_D08	61.2339976522701
MGH29_D09	68.8114889869262
MGH29_D10	57.5700284935889
MGH29_D11	54.263728004197
MGH29_D12	64.5053417792382
MGH29_E01	66.0849155429901
MGH29_E02	64.6272321611465
MGH29_E03	65.0763975018356
MGH29_E04	66.9236769897602
MGH29_E05	70.1007749893417
MGH29_E06	57.8513231699653
MGH29_E07	67.7707060590105
MGH29_E09	58.6600240383121
MGH29_E12	60.7125282628182
MGH29_F01	65.8248052790754
MGH29_F02	63.5694567238025
MGH29_F03	66.458585121345
MGH29_F04	59.6462517604403
MGH29_F05	62.4532868933975
MGH29_F06	63.3698759139203
MGH29_F10	68.929661057473
MGH29_F11	58.5575522323027
MGH29_F12	67.0951311731389
MGH29_G03	65.5427031976007
MGH29_G04	54.066132814922
MGH29_G06	54.1012715075126
MGH29_G07	65.1947580751906
MGH29_G08	67.4797567252279
MGH29_G09	61.1188386015221
MGH29_G11	62.5116593793811
MGH29_H01	62.459129644451
MGH29_H02	68.3913039709296
MGH29_H03	63.7217981721405
MGH29_H04	60.2089517829996
MGH29_H05	65.6598320806333
MGH29_H06	71.2881204066289
MGH29_H07	64.2068543019357
MGH29_H08	71.7482289888224
MGH29_H10	64.6533639626451
MGH29_H11	70.4550675639028
MGH29_H12	57.9123549789692
MGH30_A01	64.4732248849319
MGH30_A06	54.0905797065715
MGH30_A07	73.2059013560242
MGH30_A08	64.1479836406599
MGH30_A09	59.5221859556811
MGH30_A11	65.693641779735
MGH30_A12	58.7756471074254
MGH30_B02	53.5222557618932
MGH30_B03	59.8302111581586
MGH30_B05	58.480644509908
MGH30_B06	70.0478937228498
MGH30_B07	62.7106527644011
MGH30_B08	52.2621136297286
MGH30_B09	63.0233642617833
MGH30_B10	54.5872689891286
MGH30_B12	61.3616069035062
MGH30_C01	59.4399381424071
MGH30_C05	53.5444929524902
MGH30_C06	68.7443763230939
MGH30_C07	54.0612121162296
MGH30_C08	46.7728889522195
MGH30_C09	47.0189422318328
MGH30_C10	68.6163423237869
MGH30_C11	66.8439143841172
MGH30_C12	51.6389929879767
MGH30_D01	63.1236782407842
MGH30_D02	66.5637867801935
MGH30_D03	49.8092314091498
MGH30_D04	66.7502061298922
MGH30_D05	61.6734780863486
MGH30_D06	66.5646714898166
MGH30_D07	61.5542336927975
MGH30_D08	69.8403972228122
MGH30_D09	62.9758604429921
MGH30_D10	64.4827651543496
MGH30_D11	62.5959851725872
MGH30_D12	67.6970881728169
MGH30_E01	69.3789149700882
MGH30_E05	67.2806819095739
MGH30_E07	59.8275334482286
MGH30_E08	57.4454906737262
MGH30_E09	57.2634387910577
MGH30_E11	50.0117371226506
MGH30_E12	64.7908110968211
MGH30_F01	53.2409108331369
MGH30_F02	66.6985087243403
MGH30_F03	60.0441323370662
MGH30_F06	62.880583404652
MGH30_F08	48.8335168492542
MGH30_F09	61.0474940671502
MGH30_F10	58.4075963149032
MGH30_F11	65.1348369656741
MGH30_F12	67.8666778708754
MGH30_G01	49.4521865107287
MGH30_G04	60.0643986601818
MGH30_G05	57.6300225426488
MGH30_G06	50.4892022481498
MGH30_G07	67.5134158300438
MGH30_G08	51.9964349695069
MGH30_G09	66.8411139835368
MGH30_G10	62.3466928604098
MGH30_G11	62.7615078271966
MGH30_H02	61.7719262066143
MGH30_H03	57.7362397269759
MGH30_H04	67.9795447840184
MGH30_H05	70.5094740118822
MGH30_H06	62.8847693710758
MGH30_H07	67.0236410813873
MGH30_H08	59.1330051076405
MGH30_H09	65.2413140749417
MGH30_H10	60.2232652718287
MGH30_H11	62.6463291263803
MGH30_H12	67.7542609099041
MGH31_A02	68.6874637279813
MGH31_A03	55.4016387818835
MGH31_A04	56.963791580853
MGH31_A05	70.1845791274349
MGH31_A06	65.2829219989709
MGH31_A07	57.582373020956
MGH31_A08	55.8108993294805
MGH31_A10	54.2603535726201
MGH31_A11	56.0229359922048
MGH31_B01	65.7322373666645
MGH31_B02	56.7019198131935
MGH31_B04	62.8560622933811
MGH31_B05	60.3805867346036
MGH31_B06	62.3844008805241
MGH31_B07	60.9676270678103
MGH31_B08	48.4388127179669
MGH31_B09	67.3423019288198
MGH31_B10	59.4833897116718
MGH31_C02	65.4472260910266
MGH31_C03	59.9638660588379
MGH31_C04	65.269056467124
MGH31_C05	63.0970177406196
MGH31_C06	65.5610587633367
MGH31_C07	51.9071011139599
MGH31_C09	57.7153216038258
MGH31_C10	60.2009145549903
MGH31_C11	56.7202055592118
MGH31_D01	49.647010741422
MGH31_D02	54.2532565247559
MGH31_D05	57.2728631176714
MGH31_D07	60.6595094754625
MGH31_D09	51.7274327127305
MGH31_D10	61.3199180228702
MGH31_D11	72.0177916868127
MGH31_D12	64.3740194526576
MGH31_E01	64.365422263548
MGH31_E02	53.4288567706505
MGH31_E03	61.7199899308266
MGH31_E04	51.0483043086392
MGH31_E05	69.71041966328
MGH31_E08	55.6789998874341
MGH31_E09	52.2074687564197
MGH31_E12	61.9842609051499
MGH31_F02	68.7476568568057
MGH31_F03	66.8927738863865
MGH31_F04	67.8889999359589
MGH31_F06	65.7023354516246
MGH31_F07	62.7549397610398
MGH31_F08	64.3502704768835
MGH31_F09	50.2806305518476
MGH31_F10	49.8555624930059
MGH31_F11	68.0866681455478
MGH31_F12	54.9198982316814
MGH31_G01	64.3370110275735
MGH31_G02	55.7637386117217
MGH31_G05	65.8521429253428
MGH31_G07	62.1683198840312
MGH31_G09	69.3664134658698
MGH31_G12	62.8194897110387
MGH31_H01	67.1827003498864
MGH31_H02	66.9956900653017
MGH31_H04	59.8598225128314
MGH31_H05	49.2614709115377
MGH31_H06	63.1645625049935
MGH31_H07	57.1062960635056
MGH31_H08	55.5276507096763
MGH31_H09	48.3910380469993
MGH31_H10	51.9974707665038
MGH31_H11	67.5284804459464
MGH31_H12	53.0497427548718
MGH26Tumor	64.0651715901724
MGH28Tumor	64.5042081516279
MGH29Tumor	62.5400203860838
MGH30Tumor	62.0352338763481
MGH31Tumor	61.4279188242874
