patients	pseudospace
MGH26_A02	62.6678340671613
MGH26_A03	62.8913132916011
MGH26_A05	67.8401366173022
MGH26_A07	66.0433718446295
MGH26_A08	69.3615251094738
MGH26_A09	62.8371924967647
MGH26_A12	72.5730792466808
MGH26_B01	70.8734743344184
MGH26_B02	67.4836910706874
MGH26_B05	77.5562009363172
MGH26_B06	73.7398225568066
MGH26_B10	68.9082153956013
MGH26_B12	62.1863200222451
MGH26_C01	63.34193322673
MGH26_C03	70.1596412086334
MGH26_C05	66.4274986033409
MGH26_C12	71.226064569256
MGH26_D01	65.4553699800548
MGH26_D03	68.0520454647421
MGH26_D06	64.8115726355371
MGH26_D07	68.6932107094339
MGH26_D08	67.8228503474018
MGH26_D10	69.148151234857
MGH26_E02	72.2262103174566
MGH26_E04	67.1425389089262
MGH26_E05	67.5457078450259
MGH26_E06	68.3432966804275
MGH26_E07	67.4878725262399
MGH26_E08	68.3616542823803
MGH26_E10	70.4133027642158
MGH26_E12	70.2073408979386
MGH26_F02	73.5758204630631
MGH26_F05	68.8019877892909
MGH26_F08	74.5873525097102
MGH26_F09	66.3503423432407
MGH26_F10	65.210941509277
MGH26_F11	66.4484459971305
MGH26_F12	65.8105698894184
MGH26_G01	68.025449198525
MGH26_G02	68.8530947355069
MGH26_G03	69.0705356682767
MGH26_G06	58.3278706836052
MGH26_G09	63.6464287659975
MGH26_G10	67.0765641081264
MGH26_G11	67.9065158071968
MGH26_G12	71.1640776391173
MGH26_H01	76.1598709783851
MGH26_H02	66.8982525694841
MGH26_H05	66.440729665346
MGH26_H07	68.808804611653
MGH26_H08	72.6210948958044
MGH26_H11	64.5546541200839
MGH26_H12	67.3721370925085
MGH28_A01	71.084998601547
MGH28_A02	64.0535003675401
MGH28_A03	64.3611552718434
MGH28_A04	76.166867208033
MGH28_A05	72.5586864759068
MGH28_A06	73.1314871304668
MGH28_A07	72.5014390463246
MGH28_A08	68.4667971919089
MGH28_A09	75.7101259417395
MGH28_A10	78.0256794369958
MGH28_A11	74.831569889905
MGH28_A12	65.7020881130673
MGH28_B01	74.7845495471585
MGH28_B02	68.0091611665376
MGH28_B03	66.0932253461712
MGH28_B04	77.9468259187649
MGH28_B05	75.3256313912201
MGH28_B06	73.3649064307468
MGH28_B07	79.0919959594081
MGH28_B08	66.666684474734
MGH28_B09	70.5978270791782
MGH28_B10	78.6431552774328
MGH28_B11	75.7530753941264
MGH28_B12	74.1037101207884
MGH28_C01	68.8129949331481
MGH28_C02	76.5610771216294
MGH28_C03	73.3927852641209
MGH28_C04	76.2247512896859
MGH28_C05	64.3426196455362
MGH28_C06	78.2240357087067
MGH28_C07	75.4669070287398
MGH28_C08	74.9099123347713
MGH28_C09	83.1326825981004
MGH28_C10	77.0378132925546
MGH28_C11	74.7805694639733
MGH28_C12	74.215236114756
MGH28_D01	68.2505186821424
MGH28_D03	71.3476118933983
MGH28_D04	57.4765246779454
MGH28_D05	75.2524413571521
MGH28_D06	81.0146602852194
MGH28_D07	78.4557621220282
MGH28_D08	67.3273504512247
MGH28_D09	76.5314615693323
MGH28_D10	61.4040900236729
