patients	pseudospace
MGH26_A02	53.2819543344203
MGH26_A03	47.0861704753114
MGH26_A05	45.8180673937504
MGH26_A07	52.3526251116479
MGH26_A08	52.1809967148336
MGH26_A09	45.9365631493337
MGH26_A12	50.1060054416851
MGH26_B01	54.936807460067
MGH26_B02	43.0757523877877
MGH26_B05	45.4172511058451
MGH26_B06	53.6493487136427
MGH26_B10	42.9615215440608
MGH26_B12	48.8718376343842
MGH26_C01	50.5315155982082
MGH26_C03	41.4827861685669
MGH26_C05	48.2311460381328
MGH26_C12	51.4595668491709
MGH26_D01	42.1773671842681
MGH26_D03	43.3876598560933
MGH26_D06	49.8372135886683
MGH26_D07	42.5144260934178
MGH26_D08	48.0785356264935
MGH26_D10	45.4869198428567
MGH26_E02	34.4774092880141
MGH26_E04	55.4624092272281
MGH26_E05	47.4856984776098
MGH26_E06	42.2628211327266
MGH26_E07	49.5710445433296
MGH26_E08	42.0522763929109
MGH26_E10	51.8758124101202
MGH26_E12	55.8834314749852
MGH26_F02	50.833569125965
MGH26_F05	42.4881357786919
MGH26_F08	47.1876789762646
MGH26_F09	43.2201087217957
MGH26_F10	43.5817476018152
MGH26_F11	42.1239375019055
MGH26_F12	44.0283066485678
MGH26_G01	44.3145022559318
MGH26_G02	42.656161279248
MGH26_G03	43.3463173041297
MGH26_G06	48.9528665592632
MGH26_G09	42.7343735441753
MGH26_G10	47.4274627888324
MGH26_G11	44.5017960535533
MGH26_G12	43.3260523014289
MGH26_H01	42.5347195000185
MGH26_H02	49.0890303495663
MGH26_H05	47.1556472071412
MGH26_H07	46.0385782945936
MGH26_H08	43.0959515310223
MGH26_H11	46.4414385641544
MGH26_H12	50.3737072133325
MGH28_A01	56.4524754662632
MGH28_A02	50.2535145383937
MGH28_A03	47.9331677373303
MGH28_A04	47.8689184292925
MGH28_A05	54.8605619349318
MGH28_A06	46.0845346166898
MGH28_A07	51.6526279410559
MGH28_A08	51.2027800246475
MGH28_A09	48.080227508709
MGH28_A10	55.2035711381186
MGH28_A11	59.713620537029
MGH28_A12	50.1729122956751
MGH28_B01	49.1093344859536
MGH28_B02	56.9727428535253
MGH28_B03	49.596798394925
MGH28_B04	58.5824278786601
MGH28_B05	49.0568590180183
MGH28_B06	53.5470004239706
MGH28_B07	52.2083962718446
