patients	pseudospace
BC01_Pooled	42.9711151403925
BC02_Pooled	48.3051388276554
BC03_Pooled	40.6118381008339
BC03LN_Pooled	43.1978021578524
BC04_Pooled	53.5243757931379
BC05_Pooled	43.4022585206894
BC08_Pooled	53.7934156705099
BC10_Pooled	47.9598420976002
BC11_Pooled	50.8971291856068
BC01_02	37.5303590856615
BC01_03	41.5673360380762
BC01_04	42.5079817299244
BC01_05	44.6118474798418
BC01_06	44.830606503837
BC01_08	47.1636437191017
BC01_10	40.1113335946291
BC01_12	43.4391702784012
BC01_33	38.4958830528395
BC01_34	40.28415959819
BC01_53	42.767522622321
BC01_55	42.4250737046696
BC01_57	42.7227984368356
BC01_66	48.7413612169282
BC01_69	37.5003113094052
BC01_70	37.4395139698053
BC01_72	45.5721863429843
BC01_77	34.9535549771837
BC01_87	44.3313285020193
BC01_95	44.2634690673075
BC02_02	36.8828801478096
BC02_08	44.6613970133286
BC02_09	56.8047109177015
BC02_10	33.6698454051135
BC02_11	42.4047470834843
BC02_12	36.8429955630733
BC02_13	44.0625177701768
BC02_14	33.6655580763686
BC02_15	49.8969019925566
BC02_18	35.9350368045196
BC02_19	43.2471281807847
BC02_22	52.6776869089713
BC02_24	43.837829126615
BC02_25	57.6461440826872
BC02_26	37.5696480578155
BC02_28	34.7326121165178
BC02_31	34.2993305008409
BC02_34	46.2837540505265
BC02_44	49.5635440563418
BC02_47	48.8181896868308
BC02_50	34.8545441762476
BC02_51	33.8450004009861
BC02_53	34.3257228104184
BC02_54	42.2654795052341
BC02_55	40.938675045666
BC02_58	51.525275784174
BC02_59	50.7732951330713
BC02_60	45.0517353811967
BC02_61	41.9777641466909
BC02_62	35.6641101270645
BC02_63	35.5694026655789
BC02_64	40.9597822463412
BC02_66	36.7246079403994
BC02_67	38.6062991895257
BC02_68	31.2006902936702
BC02_70	43.2775330464414
BC02_71	39.0475409226242
BC02_73	44.5639361264522
BC02_74	44.5104397950119
BC02_75	38.3676239455104
BC02_76	44.6194729189525
BC02_79	44.7680064173899
BC02_81	37.2747382844813
BC02_82	32.7209517914162
BC02_83	49.2359207625057
BC02_86	36.3108400979729
BC02_88	39.6533477125897
BC02_89	43.6164819026167
BC02_90	37.1548301215631
BC02_93	34.4646171585895
BC02_94	46.5557494150339
BC02_95	47.4549072797116
BC02_96	33.5066045556328
BC03_09	27.8997322416929
BC03_11	34.810446864907
BC03_13	33.0271070143575
BC03_16	42.5372618604036
BC03_17	37.4672479155593
BC03_19	33.0839149737733
BC03_20	40.8370874735361
BC03_21	35.4224014810518
BC03_23	43.6750771527442
BC03_26	36.734729276793
BC03_29	30.9507930614799
BC03_35	43.0416750181432
BC03_37	39.8596021656809
BC03_41	46.492945278962
BC03_43	32.111993260356
BC03LN_05	34.7512980395522
BC03LN_19	41.8598959877268
BC03LN_23	29.8186281272309
BC03LN_25	43.7526980375319
BC03LN_28	38.4514540726787
BC03LN_35	37.9952109191234
BC03LN_47	37.6994779756811
BC03LN_57	36.9172286452323
BC03LN_61	42.7492806919822
BC03LN_89	36.6194542433369
BC04_01	45.901259997486
BC04_02	52.8138942146085
BC04_07	45.0062179194366
BC04_09	52.3693080214092
BC04_11	50.5091505726776
BC04_13	47.3990514121583
BC04_14	49.5529976415799
BC04_16	47.9375595322908
BC04_20	52.7953362527606
BC04_22	54.0530198440537
BC04_23	44.6674766050528
BC04_24	45.2586011728143
BC04_27	45.5133935772616
BC04_28	49.064676490851
BC04_29	45.6017805596981
BC04_30	46.8724589411021
BC04_31	47.4590290254545
BC04_32	48.6931849776089
BC04_33	44.3259252890437
BC04_36	48.9278034717229
BC04_37	45.7481036339542
BC04_39	44.4162029027024
BC04_40	49.3195742168906
BC04_41	36.2970874924774
BC04_45	43.3268091265082
BC04_49	41.6011827724756
BC04_53	52.2654147952951
BC04_54	51.8563746993325
BC04_56	47.4480759414792
BC04_58	42.6450223173806
BC04_59	49.1843096909965
BC04_60	43.7918921197463
BC04_61	43.6528539261086
BC04_63	48.1842062878091
BC04_64	43.3772095740727
BC04_69	56.6124246058742
BC04_71	47.5683736013801
BC04_77	44.4205218707712
BC04_78	43.5943218494149
BC04_82	51.5092048333187
BC04_85	46.5308737503174
BC04_86	48.6307615006545
BC04_88	57.3277968121654
BC04_90	44.4684259826684
BC04_91	48.9621340162526
BC04_92	49.8590830282951
BC04_93	45.3882464891187
BC05_01	37.6355554077936
BC05_02	49.0831238607281
BC05_04	37.5756134253727
BC05_07	41.6699400087385
BC05_08	41.3149913787447
BC05_09	43.3869026842647
BC05_12	45.0739980229235
BC05_13	40.1378433884548
BC05_16	46.4066729646608
BC05_17	42.046131100763
BC05_18	45.2351926252281
BC05_20	45.1665407390301
BC05_21	42.504124314489
BC05_22	36.3237584115549
BC05_23	49.0702818517426
BC05_25	43.0511560066336
BC05_26	46.512674740961
BC05_27	39.5560007065339
BC05_28	52.5993310796009
BC05_29	34.719018247074
BC05_30	47.3981895278037
BC05_31	40.3684515762104
BC05_32	33.5016573523404
BC05_33	45.0958020038755
BC05_34	41.3670349294284
BC05_35	38.9833228949811
BC05_36	44.7989121929322
BC05_37	39.8764326924608
BC05_38	41.1184964238937
BC05_39	42.7332017539658
BC05_41	42.2899162935481
BC05_42	44.752983142885
BC05_43	41.8626886949381
BC05_44	39.2476703169343
BC05_45	51.5515244614857
BC05_46	44.4724001033477
BC05_47	52.1173586039709
BC05_48	42.434937232879
BC05_49	44.6695392185366
BC05_50	39.5897013896529
BC05_52	49.5418536807199
BC05_53	39.6398246319668
BC05_55	37.3602240554792
BC05_57	40.3599272567534
BC05_59	39.2235677163945
BC05_60	48.5034841048385
BC05_61	44.237942769021
BC05_62	45.1735423632053
BC05_63	44.6496355929524
BC05_64	41.7770990520714
BC05_68	40.3128211706135
BC05_69	50.2681372182752
BC05_70	38.9979542551976
BC05_71	47.6332231177014
BC05_72	39.5412758626618
BC05_73	41.3318560418225
BC05_75	53.6220595283896
BC05_77	42.8094535221415
BC05_78	39.1204727105455
BC05_79	43.7235402156127
BC05_80	50.3251353583294
BC05_81	42.9864555791545
BC05_83	50.895746040814
BC05_84	51.5785253014672
BC05_85	43.9753904804271
BC05_86	37.6665902692945
BC05_87	40.9802235682753
BC05_88	42.6862988604761
BC05_90	43.9171709010921
BC05_91	46.6659809321154
BC05_92	44.7403514404335
BC05_93	52.0514911495706
BC05_94	43.5918422202521
BC05_95	42.2815053479502
BC05_96	45.8581825659501
BC06_10	55.0929551010635
BC06_23	53.3246419972164
BC06_27	50.1512318175031
BC06_28	45.7776573214861
BC06_32	57.6550673217441
BC06_39	50.2550750311132
BC06_60	55.7663201331149
BC06_74	57.587882647228
BC07_01	39.9938271700864
BC07_06	47.4264984424245
BC07_08	42.2955597457034
BC07_12	50.0743301747944
BC07_15	51.0571219491577
BC07_18	42.4803209081366
BC07_20	48.4071081381689
BC07_24	52.9095290423111
BC07_27	42.6912641781176
BC07_31	57.2955756178237
BC07_35	42.8532796527903
BC07_36	49.9100389946175
BC07_38	48.4971705760852
BC07_39	48.0355564333411
BC07_43	44.6124775559759
BC07_57	48.3806242367263
BC07_59	47.5969712960203
BC07_65	47.4153693444654
BC07_66	43.2920103556774
BC07_67	48.8056501564648
BC07_72	49.6392104265682
BC07_73	52.2909756073638
BC07_75	50.0770383347859
BC07_78	42.4526587084072
BC07_87	48.0118120868579
BC07_89	54.0861978350154
BC07LN_02	49.1447813891009
BC07LN_06	42.3104462345026
BC07LN_13	43.3653141936262
BC07LN_15	35.5460545948316
BC07LN_23	46.522436762423
BC07LN_26	43.3906448239542
BC07LN_29	43.6814835774631
BC07LN_30	43.3217949828811
BC07LN_31	51.5524879704927
BC07LN_34	39.0709665545538
BC07LN_35	37.7133432809966
BC07LN_36	43.4245611652542
BC07LN_40	51.6455862631711
BC07LN_41	39.9274354100283
BC07LN_42	45.3379588897831
BC07LN_51	44.5088116298605
BC07LN_52	33.9656402689887
BC07LN_57	52.2767409548016
BC07LN_60	48.1999048718293
BC07LN_73	52.9019446739434
BC07LN_75	48.5503058963273
BC07LN_79	46.8419968454617
BC07LN_82	43.4812847593614
BC07LN_86	44.3766433018369
BC07LN_91	45.634874157818
BC07LN_95	44.5544981973967
BC08_06	52.8991434768157
BC08_08	51.9473690891906
BC08_22	55.7952801211387
BC08_24	44.2921752978417
BC08_27	47.662754354606
BC08_33	48.7690426146955
BC08_36	52.8478799533787
BC08_48	51.2553290305056
BC08_51	51.538882021023
BC08_56	45.1719750963088
BC08_59	52.1962643789708
BC08_70	50.1584661118817
BC08_73	56.8502618792465
BC08_94	45.5725484549919
BC08_95	41.5729774477489
BC10_09	52.9366406670787
BC10_16	61.802383551827
BC10_47	55.9351389926309
BC10_54	60.5000548188508
BC10_58	50.8108045999054
BC10_69	53.1426812282361
BC10_73	62.8689529732566
BC10_80	61.3137193200823
BC10_81	53.7868400900089
BC10_85	50.9422185051939
BC10_95	54.3188470981896
BC11_01	47.448719510996
BC11_04	46.97113265821
BC11_07	48.5859366635546
BC11_28	47.6226458059512
BC11_43	46.3263184301882
BC11_56	48.9042971601656
BC11_69	49.4325747284716
BC11_70	34.9770803180221
BC11_78	45.9460752774695
BC11_81	42.6836077839096
BC11_88	41.2570152862622
